"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES"
"USW00000448","2016","32.93059","-96.43548","175.3","RALPH M HALL ROCKWALL MUNICIPAL AIRPORT, TX US","","","","","","","","","","","","","","","","","","","","","","","","","         5"," ","         3"," ","         2"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00000448","2017","32.93059","-96.43548","175.3","RALPH M HALL ROCKWALL MUNICIPAL AIRPORT, TX US","","","","","","","","","","","","","","","","","","","","","","","","","        24"," ","         5"," ","         6"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00000448","2018","32.93059","-96.43548","175.3","RALPH M HALL ROCKWALL MUNICIPAL AIRPORT, TX US","","","","","","","        96","W","        66","W","        13","W","        0","","","","","","","","","","","","        70"," ","         5"," ","        67"," ","","","     0"," ,W,1231,+","  64.8"," ,W,0922, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1090.5"," ,W","","","","","","","","","",""
"USW00000448","2019","32.93059","-96.43548","175.3","RALPH M HALL ROCKWALL MUNICIPAL AIRPORT, TX US","       3.4","W","   1510.8","","    1510.8","W","        79","W","        53","W","         9","W","        0","","         0","W","        26","W","         1","W","       235","W","       106","W","        62"," ","        12"," ","        66"," ","   -6.0","W,0305,+","     0"," ,W,1231,+","  73.9"," ,W,0616, ","   38.3","W,0826,+","-1.0","W,1031","-5.5","W,1112","-5.5","W,1112","","","","","-2.7","W,0306","-2.7","W,0306","-6.0","W,0305","","","","","","","","","    836.0"," ,W","     18.90","W","     24.39","W","     13.41","W","       320","W","      13.9","W"
"USW00000448","2020","32.93059","-96.43548","175.3","RALPH M HALL ROCKWALL MUNICIPAL AIRPORT, TX US","       3.5","W","   1372.8","","    1372.8","W","","","","","","","","","         0","W","        15","W","         0","W","       250","W","        92","W","        61"," ","         8"," ","        56"," ","   -3.2","W,0214, ","","","","","   39.4","W,0829,+","-0.5","W,1201","","","","","","","","","-2.1","W,0227","-3.2","W,0214","","","","","","","    1189.8","8","    1189.8","W","","","     19.01","W","     24.56","W","     13.46","W","       320","W","      14.8","W"
"USW00000448","2021","32.93059","-96.43548","175.3","RALPH M HALL ROCKWALL MUNICIPAL AIRPORT, TX US","       3.4","W","   1364.0","","    1364.0","W","        88","W","        56","W","         7","W","","","         1","W","        23","W","         9","W","       253","W","        82","W","        56"," ","         7"," ","        36"," ","  -18.2","W,0216, ","","","  45.7"," ,W,1001, ","   36.7","W,0920, ","0.0","W,1126","","","","","","","","","-3.2","W,0220","-3.2","W,0220","-9.9","W,0219","-9.9","W,0219","-9.9","W,0219","    1343.3","3","    1343.3","W","    825.6"," ,W","     18.82","W","     24.10","W","     13.54","W","       340","W","      13.9","W"
"USW00000448","2022","32.93059","-96.43548","175.3","RALPH M HALL ROCKWALL MUNICIPAL AIRPORT, TX US","       3.5","W","   1668.7","","    1668.7","W","        72","W","        37","W","         5","W","","","         0","W","        47","W","         3","W","       251","W","       112","W","        44"," ","         7"," ","        37"," ","  -12.1","W,1223, ","","","  48.3"," ,W,1028, ","   41.1","W,0720, ","-0.5","W,1113","-11.6","W,1222","-11.6","W,1222","-11.6","W,1222","-11.6","W,1222","-2.7","W,0312","-2.7","W,0312","-5.5","W,0225","-7.1","W,0102","","","    1090.0","0","    1090.0","W","    540.2"," ,W","     19.18","W","     25.17","W","     13.20","W","       200","W","      13.9","W"
"USW00000448","2023","32.93059","-96.43548","175.3","RALPH M HALL ROCKWALL MUNICIPAL AIRPORT, TX US","","","","","","","","","","","","","","","","","","","","","","","","","        42"," ","         2"," ","        32"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00000448","2024","32.93059","-96.43548","175.3","RALPH M HALL ROCKWALL MUNICIPAL AIRPORT, TX US","","","   1671.4","","    1671.4","D","        84","W","        52","W","        14","W","","","         0","D","        14","D","         3","D","       262","D","       104","D","        40"," ","         4"," ","        39"," ","  -12.1","D,0115, ","","","  61.5"," ,W,0420, ","   39.4","D,0818, ","-1.1","D,1206","","","","","","","","","-2.1","W,0218","-2.7","W,0121","-7.7","W,0120","-7.7","W,0120","-11.6","W,0116","","","","","    991.6"," ,W","     20.20","D","     25.60","D","     14.80","D","","","",""
"USW00000448","2025","32.93059","-96.43548","175.3","RALPH M HALL ROCKWALL MUNICIPAL AIRPORT, TX US","","","","","","","","","","","","","","","","","","","","","","","","","        15"," ","         2"," ","         6"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
