"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"SAM00040373","1984","28.335","46.125","357.8","QAISUMAH, SA","","","","","         0","S","       282","S","       183","S","","","   45.2","S,0704, ","","","     31.56","S","",""
"SAM00040373","1985","28.335","46.125","357.8","QAISUMAH, SA","","","","","         0","S","       269","S","       183","S","","","   47.8","S,0806, ","","","     32.11","S","",""
"SAM00040373","1986","28.335","46.125","357.8","QAISUMAH, SA","","","","","         0","S","       273","S","       181","S","","","   48.3","S,0822, ","","","     32.30","S","",""
"SAM00040373","1995","28.335","46.125","357.8","QAISUMAH, SA","","","","","         0","S","       262","S","       190","S","","","   47.0","S,0814, ","","","     32.07","S","",""
"SAM00040373","1996","28.335","46.125","357.8","QAISUMAH, SA","","","","","         0","S","       302","S","       191","S","","","   49.0","S,0820, ","","","     33.36","S","",""
"SAM00040373","1999","28.335","46.125","357.8","QAISUMAH, SA","","","","","         0","S","       283","S","       195","S","","","   48.0","S,0831,+","","","     33.95","S","",""
"SAM00040373","2000","28.335","46.125","357.8","QAISUMAH, SA","","","","","         0","S","       268","S","       198","S","","","   49.0","S,0807, ","","","     32.92","S","",""
"SAM00040373","2001","28.335","46.125","357.8","QAISUMAH, SA","","","","","         0","S","       285","S","       204","S","","","   49.8","S,0813, ","","","     33.82","S","",""
"SAM00040373","2002","28.335","46.125","357.8","QAISUMAH, SA","","","","","         0","S","       281","S","       192","S","","","   48.6","S,0719, ","","","     33.42","S","",""
"SAM00040373","2003","28.335","46.125","357.8","QAISUMAH, SA","","","","","         0","S","       269","S","       187","S","","","   50.5","S,0809, ","","","     33.58","S","",""
"SAM00040373","2005","28.335","46.125","357.8","QAISUMAH, SA","","","","","         0","S","       286","S","       188","S","","","   49.6","S,0719, ","","","     32.87","S","",""
"SAM00040373","2008","28.335","46.125","357.8","QAISUMAH, SA","","","","","         0","S","       281","S","       206","S","","","   49.5","S,0724, ","","","     33.64","S","",""
"SAM00040373","2009","28.335","46.125","357.8","QAISUMAH, SA","","","","","         0","S","       292","S","       203","S","","","   49.0","S,0821, ","","","     33.71","S","",""
"SAM00040373","2010","28.335","46.125","357.8","QAISUMAH, SA","         0","S","         0","S","         0","S","       327","S","       215","S","    0.5","S,0208, ","   50.6","S,0716, ","     27.27","S","     35.39","S","     19.15","S"
"SAM00040373","2011","28.335","46.125","357.8","QAISUMAH, SA","","","","","         0","S","       277","S","       189","S","","","   50.0","S,0803, ","","","     33.23","S","",""
"SAM00040373","2012","28.335","46.125","357.8","QAISUMAH, SA","","","","","         0","S","       279","S","       207","S","","","   49.2","S,0729,+","","","     33.92","S","",""
"SAM00040373","2015","28.335","46.125","357.8","QAISUMAH, SA","         0","S","         0","S","","","","","","","    1.0","S,0114, ","","","","","","","     18.97","S"
"SAM00040373","2016","28.335","46.125","357.8","QAISUMAH, SA","","","","","         0","S","       294","S","       205","S","","","   50.0","S,0722,+","","","     34.09","S","",""
"SAM00040373","2017","28.335","46.125","357.8","QAISUMAH, SA","","","","","         0","S","       294","S","       205","S","","","   50.0","S,0807,+","","","     34.95","S","",""
"SAM00040373","2018","28.335","46.125","357.8","QAISUMAH, SA","","","","","         0","S","       310","S","       207","S","","","   48.0","S,0901,+","","","     34.27","S","",""
"SAM00040373","2019","28.335","46.125","357.8","QAISUMAH, SA","","","","","         0","S","       299","S","       188","S","","","   49.0","S,0827, ","","","     33.85","S","",""
"SAM00040373","2020","28.335","46.125","357.8","QAISUMAH, SA","","","","","         0","S","       300","S","       214","S","","","   50.6","S,0731, ","","","     34.16","S","",""
"SAM00040373","2021","28.335","46.125","357.8","QAISUMAH, SA","","","","","         0","S","       292","S","       208","S","","","   50.4","S,0629, ","","","     34.85","S","",""
