"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES"
"ASN00085057","1950","-38.2333","146.4167","40.5","MARYVALE, AS","    739.1"," ,a"
"ASN00085057","1951","-38.2333","146.4167","40.5","MARYVALE, AS","    945.0"," ,a"
"ASN00085057","1953","-38.2333","146.4167","40.5","MARYVALE, AS","   1042.7"," ,a"
"ASN00085057","1954","-38.2333","146.4167","40.5","MARYVALE, AS","    789.3"," ,a"
"ASN00085057","1955","-38.2333","146.4167","40.5","MARYVALE, AS","    890.5"," ,a"
"ASN00085057","1956","-38.2333","146.4167","40.5","MARYVALE, AS","   1067.9"," ,a"
"ASN00085057","1957","-38.2333","146.4167","40.5","MARYVALE, AS","    813.1"," ,a"
"ASN00085057","1958","-38.2333","146.4167","40.5","MARYVALE, AS","    871.2"," ,a"
"ASN00085057","1959","-38.2333","146.4167","40.5","MARYVALE, AS","    704.5"," ,a"
"ASN00085057","1960","-38.2333","146.4167","40.5","MARYVALE, AS","    867.6"," ,a"
