"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DYFG","DYFG_ATTRIBUTES"
"USC00205667","1910","43.58333","-84.81667","235.0","MOUNT PLEASANT, MI US","         2"," "
"USC00205667","1913","43.58333","-84.81667","235.0","MOUNT PLEASANT, MI US","         2"," "
"USC00205667","1914","43.58333","-84.81667","235.0","MOUNT PLEASANT, MI US","         1"," "
"USC00205667","1915","43.58333","-84.81667","235.0","MOUNT PLEASANT, MI US","         1"," "
"USC00205667","1916","43.58333","-84.81667","235.0","MOUNT PLEASANT, MI US","         2"," "
"USC00205667","1917","43.58333","-84.81667","235.0","MOUNT PLEASANT, MI US","         1"," "
"USC00205667","1918","43.58333","-84.81667","235.0","MOUNT PLEASANT, MI US","         2"," "
"USC00205667","1919","43.58333","-84.81667","235.0","MOUNT PLEASANT, MI US","         2"," "
"USC00205667","1920","43.58333","-84.81667","235.0","MOUNT PLEASANT, MI US","         2"," "
"USC00205667","1921","43.58333","-84.81667","235.0","MOUNT PLEASANT, MI US","         1"," "
"USC00205667","1924","43.58333","-84.81667","235.0","MOUNT PLEASANT, MI US","         1"," "
"USC00205667","1927","43.58333","-84.81667","235.0","MOUNT PLEASANT, MI US","         1"," "
"USC00205667","1930","43.58333","-84.81667","235.0","MOUNT PLEASANT, MI US","         1"," "
"USC00205667","1937","43.58333","-84.81667","235.0","MOUNT PLEASANT, MI US","         6"," "
"USC00205667","1938","43.58333","-84.81667","235.0","MOUNT PLEASANT, MI US","         3"," "
"USC00205667","1939","43.58333","-84.81667","235.0","MOUNT PLEASANT, MI US","         2"," "
"USC00205667","1940","43.58333","-84.81667","235.0","MOUNT PLEASANT, MI US","         4"," "
"USC00205667","1941","43.58333","-84.81667","235.0","MOUNT PLEASANT, MI US","         4"," "
"USC00205667","1942","43.58333","-84.81667","235.0","MOUNT PLEASANT, MI US","         1"," "
"USC00205667","1943","43.58333","-84.81667","235.0","MOUNT PLEASANT, MI US","         3"," "
"USC00205667","1944","43.58333","-84.81667","235.0","MOUNT PLEASANT, MI US","         4"," "
"USC00205667","1945","43.58333","-84.81667","235.0","MOUNT PLEASANT, MI US","         1"," "
"USC00205667","1946","43.58333","-84.81667","235.0","MOUNT PLEASANT, MI US","         4"," "
"USC00205667","1947","43.58333","-84.81667","235.0","MOUNT PLEASANT, MI US","         2"," "
"USC00205667","1948","43.58333","-84.81667","235.0","MOUNT PLEASANT, MI US","         5"," "
