"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"CA005062835","2017","58.7","-98.5167","281.0","TADOULE LAKE, MB CA","","","","","        73","C","        37","C","         1","C","","","","","","","","","","","","","  45.7"," ,C,0717, ","","","","","","","","","","","","","","","","","","","","","","","    364.8"," ,C","","","","","","","        31","C","      85.0","C"
"CA005062835","2019","58.7","-98.5167","281.0","TADOULE LAKE, MB CA","     12.6","","      12.6","C","        66","C","        38","C","         1","C","       120","C","       238","C","       170","C","        27","C","         0","C","  -43.3","C,0131, ","  28.9"," ,C,0804, ","   29.4","C,0722, ","-0.6","C,0905","-2.6","C,0927","-4.4","C,1007","-7.3","C,1011","-9.7","C,1016","-0.5","C,0602","-4.8","C,0531","-4.8","C,0531","-8.6","C,0523","-12.7","C,0514","    328.1"," ,C","     -5.43","C","     -0.60","C","    -10.27","C","","","",""
