"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DYFG","DYFG_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES"
"USC00048662","1948","34.25","-118.28333","534.0","SUNLAND TUJUNGA, CA US","         3"," ","","","",""
"USC00048662","1949","34.25","-118.28333","534.0","SUNLAND TUJUNGA, CA US","        33"," ","    1484.8","8","    1484.8","0"
