"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00015660","1995","-25.3602","131.0196","530.0","ULURU RANGERS, AS","","","","","        39","a","        19","a","         1","a","","","","","","","","","","","","","  39.0"," ,a,1222, ","","","","","","","    189.8"," ,a","","","","","",""
"ASN00015660","1996","-25.3602","131.0196","530.0","ULURU RANGERS, AS","","","","","        30","a","        11","a","         0","a","         0","a","         3","a","         0","a","       305","a","       160","a","   -2.5","a,0720, ","  18.6"," ,a,0725, ","   44.9","a,1224, ","-0.1","a,0516","-2.5","a,0720","     90.4"," ,a","     22.56","a","     30.81","a","     14.30","a"
"ASN00015660","1997","-25.3602","131.0196","530.0","ULURU RANGERS, AS","","","","","        52","a","        25","a","         1","a","         0","a","        10","a","         0","a","       276","a","       151","a","   -2.0","a,0628, ","  73.0"," ,a,0210, ","   43.2","a,1128, ","-0.6","a,0617","","","    290.3"," ,a","     21.84","a","     29.52","a","     14.16","a"
"ASN00015660","1998","-25.3602","131.0196","530.0","ULURU RANGERS, AS","","","","","        55","a","        25","a","         1","a","","","","","         0","a","       292","a","       146","a","","","  38.0"," ,a,0421, ","   45.2","a,0117,+","","","","","    256.4"," ,a","","","     29.91","a","",""
"ASN00015660","1999","-25.3602","131.0196","530.0","ULURU RANGERS, AS","   1881.3","","    1881.3","a","        56","a","        29","a","         2","a","         0","a","         8","a","         0","a","       304","a","       132","a","   -1.9","a,0627, ","  36.0"," ,a,1217, ","   43.5","a,0118, ","-1.4","a,0626","","","    332.4"," ,a","     21.63","a","     29.51","a","     13.75","a"
"ASN00015660","2002","-25.3602","131.0196","530.0","ULURU RANGERS, AS","","","","","        28","a","        17","a","         2","a","","","","","","","","","","","","","  47.0"," ,a,0222, ","","","","","","","    241.7"," ,a","","","","","",""
"ASN00015660","2003","-25.3602","131.0196","530.0","ULURU RANGERS, AS","","","","","        42","a","        21","a","         4","a","","","","","","","","","","","","","  46.0"," ,a,0131, ","","","","","","","    311.2"," ,a","","","","","",""
"ASN00015660","2004","-25.3602","131.0196","530.0","ULURU RANGERS, AS","","","","","        43","a","        25","a","         3","a","","","","","","","","","","","","","  64.4"," ,a,0602, ","","","","","","","    346.2"," ,a","","","","","",""
"ASN00015660","2005","-25.3602","131.0196","530.0","ULURU RANGERS, AS","","","","","        41","a","        18","a","         2","a","","","","","","","","","","","","","  37.7"," ,a,0707, ","","","","","","","    228.5"," ,a","","","","","",""
"ASN00015660","2007","-25.3602","131.0196","530.0","ULURU RANGERS, AS","","","","","        28","a","        12","a","         2","a","","","","","","","","","","","","","  28.5"," ,a,0502, ","","","","","","","    174.8"," ,a","","","","","",""
"ASN00015660","2008","-25.3602","131.0196","530.0","ULURU RANGERS, AS","","","","","        28","a","        19","a","         2","a","","","","","","","","","","","","","  44.0"," ,a,1117, ","","","","","","","    214.7"," ,a","","","","","",""
"ASN00015660","2009","-25.3602","131.0196","530.0","ULURU RANGERS, AS","","","","","        30","a","        14","a","         1","a","","","","","","","","","","","","","  48.2"," ,a,1224, ","","","","","","","    154.7"," ,a","","","","","",""
"ASN00015660","2018","-25.3602","131.0196","530.0","ULURU RANGERS, AS","","","","","        32","a","        15","a","         3","a","","","","","","","","","","","","","  42.8"," ,a,1203, ","","","","","","","    262.1"," ,a","","","","","",""
"ASN00015660","2021","-25.3602","131.0196","530.0","ULURU RANGERS, AS","","","","","        44","a","        24","a","         2","a","","","","","","","","","","","","","  36.0"," ,a,1102, ","","","","","","","    268.2"," ,a","","","","","",""
