"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00410665","1954","31.1","-97.48333","202.4","BELTON DAM, TX US","   1771.7","","    1771.7","0","        50","0","        29","0","         3","0","        0","","         0","0","         0","0","        32","0","         1","0","       286","0","       133","0","","","   -7.2","0,0122, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  45.7"," ,0,0512, ","   42.2","0,0727,+","0.0","0,1105","-2.8","0,1214","-4.4","0,1230","","","","","-4.4","0,0315","-4.4","0,0315","-4.4","0,0315","-7.2","0,0122","","","    1146.6","6","    1146.6","0","","","","","    349.4"," ,0","        0"," ,0","     20.33","0","     27.59","0","     13.08","0","",""
"USC00410665","1955","31.1","-97.48333","202.4","BELTON DAM, TX US","   1592.6","","    1592.6","0","        64","0","        43","0","        10","0","        0","","         0","0","         0","0","        33","0","         0","0","       272","0","       125","0","         3"," ","   -7.8","0,1216, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  60.7"," ,0,0512, ","   40.0","0,0810, ","-0.6","0,1117","-3.3","0,1128","-7.8","0,1216","-7.8","0,1216","","","-3.9","0,0328","-3.9","0,0328","-5.0","0,0212","","","","","    1102.6","6","    1102.6","0","","","","","    776.6"," ,0","        0"," ,0","     19.54","0","     26.36","0","     12.71","0","",""
"USC00410665","1956","31.1","-97.48333","202.4","BELTON DAM, TX US","   1857.6","","    1857.6","0","        49","0","        21","0","         4","0","        0","","         0","0","         0","0","        27","0","         2","0","       277","0","       152","0","","","   -5.0","0,0205, ","     0"," ,0,1231,+","    20"," ,0,0203, ","  55.6"," ,0,0502, ","   41.1","0,0817,+","-0.6","0,1127","","","","","","","","","-0.6","0,0313","-3.3","0,0206","-5.0","0,0205","","","","","    1131.9","9","    1131.9","0","","","","","    377.6"," ,0","       20"," ,0","     20.47","0","     27.55","0","     13.39","0","",""
"USC00410665","1957","31.1","-97.48333","202.4","BELTON DAM, TX US","   1429.8","","    1429.8","0","       102","0","        67","0","        11","0","        0","","         0","0","         0","0","        17","0","         0","0","       246","0","        98","0","","","   -7.8","0,0117, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 129.0"," ,0,1014, ","   42.2","0,0731, ","-0.6","0,1028","-2.2","0,1201","-6.1","0,1212","","","","","-2.2","0,0308","-2.2","0,0308","-6.1","0,0128","-7.8","0,0117","","","    1050.3","3","    1050.3","0","","","","","   1170.4"," ,0","        0"," ,0","     19.13","0","     24.98","0","     13.28","0","",""
"USC00410665","1958","31.1","-97.48333","202.4","BELTON DAM, TX US","   1500.5","","    1500.5","0","        85","0","        48","0","         8","0","        0","","         0","0","         0","0","        31","0","         1","0","       226","0","       108","0","","","   -6.7","0,1214,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  92.2"," ,0,0222, ","   40.0","0,0803, ","-3.9","0,1129","-3.9","0,1129","-6.7","0,1214","-6.7","0,1214","","","-3.3","0,0217","-3.3","0,0217","-4.4","0,0216","-6.7","0,0213","","","    1332.0","0","    1332.0","0","","","","","    770.4"," ,0","        0"," ,0","     18.64","0","     24.44","0","     12.84","0","",""
"USC00410665","1959","31.1","-97.48333","202.4","BELTON DAM, TX US","   1442.8","","    1442.8","0","        94","0","        58","0","        10","0","        0","","         0","0","         0","0","        38","0","         2","0","       243","0","       102","0","","","  -11.7","0,0105,+","     0"," ,0,1231,+","     0"," ,0,1231,+"," 136.4"," ,0,1004, ","   38.3","0,0808, ","-0.6","0,1106","-3.3","0,1107","-4.4","0,1129","","","","","-1.1","0,0306","-2.2","0,0206","-6.7","0,0123","-6.7","0,0123","-11.7","0,0105","    1307.3","3","    1307.3","0","","","","","    997.1"," ,0","        0"," ,0","     18.58","0","     24.54","0","     12.61","0","",""
"USC00410665","1960","31.1","-97.48333","202.4","BELTON DAM, TX US","   1499.2","","    1499.2","0","        92","0","        55","0","        11","0","        0","","         0","0","         0","0","        39","0","         1","0","       241","0","       114","0","","","   -6.1","0,0225, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  70.1"," ,0,1208, ","   40.6","0,0730, ","-2.8","0,1111","-2.8","0,1111","-4.4","0,1221","","","","","-0.6","0,0318","-3.3","0,0304","-5.6","0,0226","","","","","    1425.2","2","    1425.2","0","","","","","    833.2"," ,0","        0"," ,0","     18.55","0","     24.63","0","     12.47","0","",""
"USC00410665","1961","31.1","-97.48333","202.4","BELTON DAM, TX US","   1277.8","","    1277.8","0","        78","0","        45","0","        12","0","        0","","         0","0","         0","0","        33","0","         2","0","       253","0","        93","0","","","   -7.2","0,0129, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  76.2"," ,0,0912, ","   37.2","0,0807, ","-4.4","0,1212","-4.4","0,1212","-4.4","0,1212","-6.7","0,1213","","","-0.6","0,0209","-2.2","0,0208","-6.1","0,0130","-7.2","0,0129","","","    1244.5","5","    1244.5","0","","","","","    840.0"," ,0","        0"," ,0","     18.32","0","     24.64","0","     12.01","0","",""
"USC00410665","1962","31.1","-97.48333","202.4","BELTON DAM, TX US","   1513.0","","    1513.0","0","        61","0","        38","0","        10","0","        0","","         0","0","         0","0","        35","0","         2","0","       259","0","       110","0","","","  -13.9","0,0112, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  65.0"," ,0,0529, ","   42.2","0,0813,+","-5.6","0,1212","-5.6","0,1212","-5.6","0,1212","","","","","0.0","0,0316","-4.4","0,0302","-4.4","0,0302","-6.7","0,0124","-12.2","0,0113","    1269.1","1","    1269.1","0","","","","","    682.5"," ,0","        0"," ,0","     19.24","0","     25.88","0","     12.61","0","",""
"USC00410665","1963","31.1","-97.48333","202.4","BELTON DAM, TX US","   1736.1","","    1736.1","0","        47","0","        38","0","         5","0","        0","","         0","0","         0","0","        47","0","         8","0","       266","0","       132","0","","","  -11.7","0,0124, ","     0"," ,0,1231,+","    20"," ,0,0212, ","  59.4"," ,0,1109, ","   39.4","0,0908,+","-0.6","0,1124","-2.2","0,1212","-4.4","0,1215","-8.3","0,1223","","","-1.1","0,0306","-2.2","0,0223","-5.6","0,0212","-7.8","0,0128","-10.6","0,0125","    1214.2","2","    1214.2","0","","","","","    515.9"," ,0","       20"," ,0","     19.37","0","     25.85","0","     12.89","0","",""
