"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"USC00369385","1971","41.3","-78.48333","536.4","WEEDVILLE 1 N, PA US","        99","0","        79","0","         5","0","      103","","","","","","   508"," ,0,0218,+","  44.5"," ,0,0214, ","    837.8"," ,0"
"USC00369385","1975","41.3","-78.48333","536.4","WEEDVILLE 1 N, PA US","       168","0","       109","0","         8","0","","","","","","","","","  33.5"," ,0,0612, ","   1181.0"," ,0"
"USC00369385","1976","41.3","-78.48333","536.4","WEEDVILLE 1 N, PA US","       152","0","        92","0","         2","0","","","","","","","","","  30.5"," ,0,0807, ","    815.3"," ,0"
"USC00369385","1978","41.3","-78.48333","536.4","WEEDVILLE 1 N, PA US","","","","","","","","","","","         4"," ","","","","","",""
"USC00369385","1979","41.3","-78.48333","536.4","WEEDVILLE 1 N, PA US","","","","","","","","","","","","","","","","","    827.6"," ,0"
"USC00369385","1980","41.3","-78.48333","536.4","WEEDVILLE 1 N, PA US","","","","","","","       71","","","","","","   152"," ,0,1222,+","","","",""
"USC00369385","1981","41.3","-78.48333","536.4","WEEDVILLE 1 N, PA US","       140","0","        82","0","         8","0","       72","","","","","","   254"," ,0,0210,+","  44.7"," ,0,1027, ","   1002.7"," ,0"
"USC00369385","1982","41.3","-78.48333","536.4","WEEDVILLE 1 N, PA US","       123","0","        74","0","         6","0","","","         1"," ","","","","","  43.7"," ,0,0922, ","    918.6"," ,0"
"USC00369385","1983","41.3","-78.48333","536.4","WEEDVILLE 1 N, PA US","","","","","","","","","         8"," ","","","","","","","",""
"USC00369385","1984","41.3","-78.48333","536.4","WEEDVILLE 1 N, PA US","","","","","","","","","        16"," ","         4"," ","","","","","",""
"USC00369385","1985","41.3","-78.48333","536.4","WEEDVILLE 1 N, PA US","       142","0","        78","0","         4","0","","","         1"," ","","","","","  43.4"," ,0,0808, ","    970.3"," ,0"
"USC00369385","1986","41.3","-78.48333","536.4","WEEDVILLE 1 N, PA US","       113","0","        84","0","         3","0","","","","","","","","","  34.5"," ,0,0710, ","    835.5"," ,0"
"USC00369385","1987","41.3","-78.48333","536.4","WEEDVILLE 1 N, PA US","","","","","","","","","         5"," ","","","","","","","",""
