"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ARM00087311","1981","-31.571","-68.418","597.1","SAN JUAN, AR","        23","S","         8","S","         1","S","","","","","",""," 199.9"," ,S,1118, ","","","","","","","","","","","","","","","    278.1"," ,S","",""
"ARM00087311","2001","-31.571","-68.418","597.1","SAN JUAN, AR","","","","","","","         0","S","        24","S","   -5.6","S,0620,+","","","-3.3","S,0501","-3.3","S,0501","-5.6","S,0619","","","0.0","S,0820","","","","","","","     10.74","S"
"ARM00087311","2006","-31.571","-68.418","597.1","SAN JUAN, AR","","","","","","","         0","S","        17","S","   -2.4","S,0816, ","","","-1.0","S,0520","","","","","","","-1.0","S,0904","-2.4","S,0816","","","","","     10.72","S"
"ARM00087311","2007","-31.571","-68.418","597.1","SAN JUAN, AR","","","","","","","         0","S","        64","S","   -8.0","S,0712, ","","","0.0","S,0525","-2.6","S,0601","-4.5","S,0616","-7.5","S,0711","-0.5","S,0924","-2.7","S,0826","-4.5","S,0811","","","      9.63","S"
"ARM00087311","2009","-31.571","-68.418","597.1","SAN JUAN, AR","","","","","","","         0","S","        46","S","   -6.2","S,0725, ","","","-1.5","S,0612","-2.3","S,0613","-5.0","S,0624","","","-2.2","S,0909","-2.2","S,0909","","","","","     10.59","S"
"ARM00087311","2010","-31.571","-68.418","597.1","SAN JUAN, AR","","","","","","","         0","S","        52","S","   -7.9","S,0720, ","","","-0.2","S,0525","-3.6","S,0618","-4.4","S,0701","-7.4","S,0719","-2.8","S,0817","-2.8","S,0817","-4.7","S,0815","","","      9.76","S"
"ARM00087311","2012","-31.571","-68.418","597.1","SAN JUAN, AR","","","","","","","         0","S","        53","S","   -6.3","S,0608,+","","","-1.6","S,0429","-4.3","S,0606","-6.3","S,0607","","","-1.6","S,0827","-3.2","S,0802","-4.4","S,0801","","","     10.56","S"
"ARM00087311","2014","-31.571","-68.418","597.1","SAN JUAN, AR","","","","","","","         0","S","        40","S","   -5.3","S,0726, ","","","-2.6","S,0524","-2.6","S,0524","-4.8","S,0629","","","-0.6","S,0811","","","","","","","     10.20","S"
"ARM00087311","2015","-31.571","-68.418","597.1","SAN JUAN, AR","","","","","","","         0","S","        42","S","   -4.5","S,0616, ","","","0.0","S,0503","-4.5","S,0616","-4.5","S,0616","","","-1.0","S,0910","","","","","","","     10.63","S"
"ARM00087311","2018","-31.571","-68.418","597.1","SAN JUAN, AR","","","","","","","         0","S","        54","S","   -7.0","S,0724, ","","","-0.3","S,0605","-3.1","S,0612","-4.5","S,0614","-7.0","S,0724","-2.0","S,0825","-3.5","S,0822","-6.0","S,0820","","","     10.09","S"
"ARM00087311","2019","-31.571","-68.418","597.1","SAN JUAN, AR","","","","","","","         0","S","        52","S","   -4.5","S,0809,+","","","-1.0","S,0524","-2.5","S,0602","-4.5","S,0702","","","-1.3","S,0912","-3.0","S,0810","-4.5","S,0809","","","     10.25","S"
"ARM00087311","2020","-31.571","-68.418","597.1","SAN JUAN, AR","","","","","","","         0","S","        55","S","   -6.4","S,0630,+","","","-2.5","S,0523","-2.5","S,0523","-4.8","S,0616","","","-0.3","S,0824","-2.5","S,0823","-6.0","S,0821","","","     10.22","S"
"ARM00087311","2022","-31.571","-68.418","597.1","SAN JUAN, AR","","","","","","","         0","S","        48","S","   -4.6","S,0713,+","","","-1.3","S,0518","-2.8","S,0601","-4.6","S,0704","","","-1.0","S,0910","-3.0","S,0819","","","","","     10.13","S"
"ARM00087311","2023","-31.571","-68.418","597.1","SAN JUAN, AR","","","","","","","         0","S","        26","S","   -5.0","S,0612, ","","","-0.4","S,0611","-5.0","S,0612","-5.0","S,0612","","","-0.2","S,0819","","","","","","","     11.33","S"
