"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"USC00245405","1960","46.75","-112.3","1641.0","MARYSVILLE 3, MT US","       114","0","        45","0","         1","0","","","  25.9"," ,0,0423, ","    366.1"," ,0"
"USC00245405","1961","46.75","-112.3","1641.0","MARYSVILLE 3, MT US","       124","0","        58","0","         0","0","         2"," ","  18.3"," ,0,0921, ","    446.0"," ,0"
"USC00245405","1962","46.75","-112.3","1641.0","MARYSVILLE 3, MT US","       124","0","        64","0","         4","0","","","  36.3"," ,0,0525, ","    619.2"," ,0"
"USC00245405","1964","46.75","-112.3","1641.0","MARYSVILLE 3, MT US","       138","0","        60","0","         5","0","","","  59.9"," ,0,0529, ","    679.0"," ,0"
"USC00245405","1965","46.75","-112.3","1641.0","MARYSVILLE 3, MT US","       136","0","        80","0","         1","0","","","  27.4"," ,0,0626, ","    678.7"," ,0"
"USC00245405","1966","46.75","-112.3","1641.0","MARYSVILLE 3, MT US","       118","0","        59","0","         0","0","","","  21.3"," ,0,0604, ","    443.9"," ,0"
"USC00245405","1967","46.75","-112.3","1641.0","MARYSVILLE 3, MT US","       153","0","        78","0","         1","0","","","  25.9"," ,0,0511, ","    641.9"," ,0"
"USC00245405","1968","46.75","-112.3","1641.0","MARYSVILLE 3, MT US","       125","0","        46","0","         1","0","","","  34.0"," ,0,0920, ","    471.6"," ,0"
"USC00245405","1969","46.75","-112.3","1641.0","MARYSVILLE 3, MT US","       103","0","        58","0","         2","0","","","  50.3"," ,0,0626, ","    507.1"," ,0"
"USC00245405","1970","46.75","-112.3","1641.0","MARYSVILLE 3, MT US","       129","0","        63","0","         1","0","","","  30.2"," ,0,0608, ","    503.7"," ,0"
