"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"CA002100FPP","1990","61.5167","-132.2667","1380.0","KETZA RIVER MINE, YT CA","","","","","    7308.8","8","    7308.8","C","",""
"CA002100FPP","1992","61.5167","-132.2667","1380.0","KETZA RIVER MINE, YT CA","        49","C","   190"," ,C,0330, ","","","","","     4025"," ,C"
