"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"SF003724960","1928","-27.783","30.8","1163.0","VRYHEID, SF","","","","","        34","I","        34","I","        11","I","  63.5"," ,I,0105, ","    654.8"," ,I"
"SF003724960","1929","-27.783","30.8","1163.0","VRYHEID, SF","","","","","        70","I","        65","I","        11","I","  53.8"," ,I,0112, ","    940.1"," ,I"
"SF003724960","1930","-27.783","30.8","1163.0","VRYHEID, SF","","","","","        45","I","        44","I","         6","I","  66.0"," ,I,0226, ","    635.7"," ,I"
"SF003724960","1931","-27.783","30.8","1163.0","VRYHEID, SF","","","","","        41","I","        37","I","         4","I","  38.1"," ,I,0201, ","    435.1"," ,I"
"SF003724960","1932","-27.783","30.8","1163.0","VRYHEID, SF","","","","","        90","I","        64","I","        10","I"," 107.2"," ,I,0221, ","    903.8"," ,I"
"SF003724960","1933","-27.783","30.8","1163.0","VRYHEID, SF","","","","","        64","I","        47","I","        11","I","  56.4"," ,I,1213, ","    808.9"," ,I"
"SF003724960","1934","-27.783","30.8","1163.0","VRYHEID, SF","","","","","        99","I","        63","I","         9","I","  48.0"," ,I,1117, ","    976.0"," ,I"
"SF003724960","1935","-27.783","30.8","1163.0","VRYHEID, SF","","","","","        81","I","        40","I","         6","I","  99.1"," ,I,1219, ","    654.3"," ,I"
"SF003724960","1936","-27.783","30.8","1163.0","VRYHEID, SF","","","","","        91","I","        67","I","        14","I","  80.3"," ,I,0118, ","   1093.1"," ,I"
"SF003724960","1937","-27.783","30.8","1163.0","VRYHEID, SF","","","","","        80","I","        52","I","         9","I"," 101.1"," ,I,1219, ","    859.3"," ,I"
"SF003724960","1938","-27.783","30.8","1163.0","VRYHEID, SF","","","","","        98","I","        55","I","        14","I"," 108.0"," ,I,1025, ","   1015.0"," ,I"
"SF003724960","1939","-27.783","30.8","1163.0","VRYHEID, SF","","","","","       109","I","        74","I","        14","I","  71.6"," ,I,0203, ","   1115.8"," ,I"
"SF003724960","1940","-27.783","30.8","1163.0","VRYHEID, SF","","","","","        90","I","        56","I","        10","I","  81.3"," ,I,0505, ","    953.6"," ,I"
"SF003724960","1941","-27.783","30.8","1163.0","VRYHEID, SF","","","","","        68","I","        48","I","        11","I","  82.8"," ,I,0405, ","    910.9"," ,I"
"SF003724960","1943","-27.783","30.8","1163.0","VRYHEID, SF","","","","","       106","I","        81","I","        19","I","  80.5"," ,I,1030, ","   1381.8"," ,I"
"SF003724960","1944","-27.783","30.8","1163.0","VRYHEID, SF","","","","","        80","I","        50","I","        14","I","  87.6"," ,I,0201, ","   1000.7"," ,I"
"SF003724960","1945","-27.783","30.8","1163.0","VRYHEID, SF","","","","","        59","I","        37","I","         6","I","  69.9"," ,I,0201, ","    528.3"," ,I"
"SF003724960","1946","-27.783","30.8","1163.0","VRYHEID, SF","","","","","        82","I","        48","I","        14","I"," 106.7"," ,I,0314, ","   1025.8"," ,I"
"SF003724960","1947","-27.783","30.8","1163.0","VRYHEID, SF","","","","","        96","I","        70","I","         7","I","  76.2"," ,I,0228, ","    844.5"," ,I"
"SF003724960","1948","-27.783","30.8","1163.0","VRYHEID, SF","","","","","        65","I","        49","I","         7","I","  47.5"," ,I,0218,+","    800.7"," ,I"
"SF003724960","1951","-27.783","30.8","1163.0","VRYHEID, SF","","","","","        62","I","        51","I","        11","I","  45.2"," ,I,1224, ","    804.3"," ,I"
"SF003724960","1952","-27.783","30.8","1163.0","VRYHEID, SF","","","","","        52","I","        44","I","         9","I","  66.5"," ,I,1225, ","    620.1"," ,I"
"SF003724960","1954","-27.783","30.8","1163.0","VRYHEID, SF","","","","","        70","I","        63","I","         8","I","  83.9"," ,I,0324, ","    900.2"," ,I"
"SF003724960","1955","-27.783","30.8","1163.0","VRYHEID, SF","","","","","        73","I","        56","I","        11","I","  61.1"," ,I,1004, ","    792.1"," ,I"
"SF003724960","1956","-27.783","30.8","1163.0","VRYHEID, SF","","","","","        80","I","        66","I","        12","I","  60.6"," ,I,0227, ","    967.2"," ,I"
"SF003724960","1957","-27.783","30.8","1163.0","VRYHEID, SF","","","","","        86","I","        72","I","        14","I","  84.5"," ,I,1002, ","   1330.6"," ,I"
"SF003724960","1958","-27.783","30.8","1163.0","VRYHEID, SF","","","","","        74","I","        52","I","         5","I","  80.0"," ,I,1210, ","    748.5"," ,I"
"SF003724960","1959","-27.783","30.8","1163.0","VRYHEID, SF","","","","","        64","I","        56","I","         6","I","  79.0"," ,I,1217, ","    748.9"," ,I"
"SF003724960","1960","-27.783","30.8","1163.0","VRYHEID, SF","","","","","        70","I","        63","I","        14","I"," 137.0"," ,I,1220, ","   1257.9"," ,I"
"SF003724960","1961","-27.783","30.8","1163.0","VRYHEID, SF","","","","","        53","I","        46","I","        10","I","  52.5"," ,I,0117, ","    741.7"," ,I"
"SF003724960","1962","-27.783","30.8","1163.0","VRYHEID, SF","","","","","        72","I","        63","I","        10","I","  50.0"," ,I,0324, ","    910.9"," ,I"
"SF003724960","1963","-27.783","30.8","1163.0","VRYHEID, SF","","","","","        50","I","        45","I","        13","I"," 170.0"," ,I,0703, ","    921.8"," ,I"
"SF003724960","1964","-27.783","30.8","1163.0","VRYHEID, SF","","","","","        57","I","        50","I","        12","I","  62.0"," ,I,1018, ","    764.5"," ,I"
"SF003724960","1965","-27.783","30.8","1163.0","VRYHEID, SF","","","","","        32","I","        32","I","         5","I","  43.5"," ,I,1018, ","    491.8"," ,I"
"SF003724960","1966","-27.783","30.8","1163.0","VRYHEID, SF","","","","","        38","I","        38","I","         5","I","  60.0"," ,I,1105, ","    589.3"," ,I"
"SF003724960","1967","-27.783","30.8","1163.0","VRYHEID, SF","","","","","        59","I","        50","I","         9","I","  60.0"," ,I,0131, ","    846.1"," ,I"
