"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES"
"USC00471880","1915","44.35","-90.0","304.8","CRANMOOR, WI US","         7"," ","",""
"USC00471880","1917","44.35","-90.0","304.8","CRANMOOR, WI US","         8"," ","",""
"USC00471880","1985","44.35","-90.0","304.8","CRANMOOR, WI US","","","         5"," "
"USC00471880","1986","44.35","-90.0","304.8","CRANMOOR, WI US","        18"," ","        14"," "
"USC00471880","1987","44.35","-90.0","304.8","CRANMOOR, WI US","         4"," ","         9"," "
"USC00471880","1988","44.35","-90.0","304.8","CRANMOOR, WI US","         7"," ","         5"," "
"USC00471880","1989","44.35","-90.0","304.8","CRANMOOR, WI US","         6"," ","         3"," "
"USC00471880","1990","44.35","-90.0","304.8","CRANMOOR, WI US","         7"," ","         9"," "
"USC00471880","1991","44.35","-90.0","304.8","CRANMOOR, WI US","        31"," ","        13"," "
"USC00471880","1992","44.35","-90.0","304.8","CRANMOOR, WI US","        52"," ","        21"," "
"USC00471880","1993","44.35","-90.0","304.8","CRANMOOR, WI US","        69"," ","        35"," "
