"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000ODUN","1997","43.9578","-124.1197","6.1","DUNES OREGON, OR US","      2.0","","       2.0","U","         0","U","         7","U","         0","U","        47","U","         0","U","   -3.9","U,0113, ","   26.7","U,0920, ","0.0","U,1218","","","","","","","-1.1","U,0308","-3.9","U,0113","","","    2585.0","0","    2585.0","U","     11.93","U","     15.88","U","      7.98","U"
"USR0000ODUN","1999","43.9578","-124.1197","6.1","DUNES OREGON, OR US","      2.5","","       2.5","U","         0","U","         5","U","         0","U","         9","U","         0","U","   -1.1","U,0307, ","   31.7","U,0912, ","","","","","","","","","0.0","U,0401","","","","","    2812.0","0","    2812.0","U","     10.53","U","     13.96","U","      7.10","U"
"USR0000ODUN","2000","43.9578","-124.1197","6.1","DUNES OREGON, OR US","      1.7","","       1.7","U","         0","U","         2","U","         0","U","        14","U","         0","U","   -0.6","U,1111, ","   28.9","U,0913, ","-0.6","U,1111","","","","","","","","","","","","","    2678.7","7","    2678.7","U","     10.93","U","     14.58","U","      7.29","U"
"USR0000ODUN","2001","43.9578","-124.1197","6.1","DUNES OREGON, OR US","      0.9","","       0.9","U","         0","U","         5","U","         0","U","        12","U","         0","U","   -1.7","U,0207,+","   27.8","U,0930, ","","","","","","","","","0.0","U,0407","","","","","    2787.7","7","    2787.7","U","     10.60","U","     14.31","U","      6.88","U"
"USR0000ODUN","2002","43.9578","-124.1197","6.1","DUNES OREGON, OR US","      0.3","","       0.3","U","         0","U","         7","U","         0","U","         9","U","         0","U","   -1.7","U,0129, ","   26.7","U,0922, ","","","","","","","","","0.0","U,0317","","","","","    2836.3","3","    2836.3","U","     10.71","U","     14.50","U","      6.91","U"
"USR0000ODUN","2003","43.9578","-124.1197","6.1","DUNES OREGON, OR US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    2556.6","6","    2556.6","U","","","","","",""
"USR0000ODUN","2007","43.9578","-124.1197","6.1","DUNES OREGON, OR US","","","","","         0","U","        15","U","","","","","","","   -4.4","U,0112, ","","","0.0","U,1125","","","","","","","0.0","U,0228","-3.3","U,0113","-4.4","U,0112","","","","","","","","","      6.90","U"
"USR0000ODUN","2008","43.9578","-124.1197","6.1","DUNES OREGON, OR US","      0.0","","       0.0","U","         0","U","        22","U","         0","U","        10","U","         0","U","   -4.4","U,1217,+","   26.1","U,0911, ","0.0","U,1214","-3.3","U,1215","-4.4","U,1216","","","0.0","U,0420","","","","","    2997.5","5","    2997.5","U","      9.95","U","     13.69","U","      6.20","U"
"USR0000ODUN","2009","43.9578","-124.1197","6.1","DUNES OREGON, OR US","      5.8","","       5.8","U","         0","U","        18","U","         0","U","        17","U","         1","U","   -5.6","U,1208,+","   32.2","U,0921, ","0.0","U,1204","-2.2","U,1206","-5.6","U,1207","","","0.0","U,0312","","","","","    2869.9","9","    2869.9","U","     10.67","U","     14.59","U","      6.76","U"
"USR0000ODUN","2010","43.9578","-124.1197","6.1","DUNES OREGON, OR US","      0.9","","       0.9","U","         0","U","         9","U","         0","U","        12","U","         0","U","   -0.6","U,1124,+","   26.7","U,0824, ","0.0","U,1121","","","","","","","0.0","U,0409","","","","","    2640.4","4","    2640.4","U","     10.91","U","     14.49","U","      7.32","U"
"USR0000ODUN","2011","43.9578","-124.1197","6.1","DUNES OREGON, OR US","      2.0","","       2.0","U","         0","U","        16","U","         0","U","        15","U","         0","U","   -4.4","U,0226, ","   25.6","U,1018, ","0.0","U,1203","","","","","","","-4.4","U,0226","-4.4","U,0226","-4.4","U,0226","    2859.0","0","    2859.0","U","     10.37","U","     14.11","U","      6.62","U"
"USR0000ODUN","2012","43.9578","-124.1197","6.1","DUNES OREGON, OR US","      0.0","","       0.0","U","         0","U","        10","U","         0","U","         7","U","         0","U","   -1.7","U,0307, ","   24.4","U,0804, ","","","","","","","","","0.0","U,0312","","","","","    2855.6","6","    2855.6","U","     10.50","U","     14.23","U","      6.77","U"
