"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USS0016F02S","2000","43.76","-116.1","1932.4","BOGUS BASIN, ID US","       1.3","T","     50.6","","      50.6","T","       107","T","       107","T","         2","T","      203","","         0","T","       168","T","        40","T","        61","T","         0","T","  -13.9","T,1211, ","  2337"," ,T,0227, ","  30.5"," ,T,1012,+","   31.1","T,0730, ","-0.8","T,0909","-4.4","T,0923","-4.4","T,0923","-7.2","T,1107","-9.7","T,1109","-0.1","T,0601","-2.2","T,0531","-5.2","T,0330","-6.7","T,0324","-9.8","T,0225","","","","","    809.0"," ,T","      5.92","T","     10.50","T","      1.35","T"
"USS0016F02S","2001","43.76","-116.1","1932.4","BOGUS BASIN, ID US","       1.2","T","     47.9","","      47.9","T","        85","T","        85","T","         3","T","      179","","         0","T","       161","T","        48","T","        76","T","         0","T","  -14.8","T,0208, ","  1575"," ,T,1213, ","  38.1"," ,T,1213, ","   30.5","T,0703, ","-1.0","T,1008","-3.3","T,1010","-5.9","T,1024","-8.1","T,1123","-9.5","T,1126","-0.8","T,0613","-3.6","T,0506","-5.3","T,0502","-9.0","T,0414","-9.0","T,0414","    4645.3","3","    4645.3","T","    638.6"," ,T","      6.22","T","     11.05","T","      1.38","T"
"USS0016F02S","2002","43.76","-116.1","1932.4","BOGUS BASIN, ID US","       1.0","T","     47.0","","      47.0","T","        62","T","        62","T","         2","T","      196","","         0","T","       173","T","        40","T","        59","T","         2","T","  -15.8","T,0129, ","  2108"," ,T,0319, ","  30.5"," ,T,1230, ","   32.7","T,0712, ","-0.3","T,0929","-3.3","T,1001","-5.1","T,1011","-13.2","T,1030","-13.2","T,1030","-0.9","T,0610","-3.4","T,0608","-6.9","T,0508","-6.9","T,0508","-14.1","T,0318","    4570.9","9","    4570.9","T","    533.1"," ,T","      5.68","T","     10.41","T","      0.94","T"
"USS0016F02S","2003","43.76","-116.1","1932.4","BOGUS BASIN, ID US","       1.0","T","     78.0","","      78.0","T","        92","T","        92","T","         5","T","      205","","         0","T","       164","T","        41","T","        81","T","         1","T","  -15.6","T,1230, ","  1676"," ,T,0406, ","  35.6"," ,T,1224, ","   32.4","T,0723, ","-0.2","T,0917","-2.2","T,1010","-7.1","T,1029","-7.1","T,1029","-11.7","T,1031","-2.5","T,0519","-2.5","T,0519","-4.8","T,0518","-7.4","T,0407","-9.5","T,0302","    4445.4","4","    4445.4","T","    709.8"," ,T","      6.51","T","     11.19","T","      1.83","T"
"USS0016F02S","2004","43.76","-116.1","1932.4","BOGUS BASIN, ID US","","","     45.2","","      45.2","T","        90","T","        90","T","         2","T","      213","","         1","T","       140","T","        35","T","        63","T","         0","T","  -21.8","T,0105, ","  2235"," ,T,0305, ","  45.7"," ,T,1208, ","   29.3","T,0717, ","-0.3","T,0921","-6.0","T,1024","-6.0","T,1024","-7.0","T,1031","-10.5","T,1128","-0.9","T,0529","-2.4","T,0513","-4.5","T,0401","-9.3","T,0303","-9.3","T,0303","    4338.9","9","    4338.9","T","    697.3"," ,T","      6.57","T","     11.15","T","      1.99","T"
"USS0016F02S","2005","43.76","-116.1","1932.4","BOGUS BASIN, ID US","","","     55.8","","      55.8","T","        94","T","        94","T","         5","T","      195","","         0","T","       131","T","        32","T","        61","T","         0","T","  -14.8","T,0106, ","  1626"," ,T,0404, ","  45.7"," ,T,1230, ","   30.6","T,0721, ","-0.2","T,0910","-2.4","T,1030","-5.7","T,1112","-8.7","T,1114","-9.0","T,1115","-1.0","T,0608","-4.5","T,0415","-4.5","T,0415","-7.6","T,0414","-12.1","T,0216","    4256.0","0","    4256.0","T","    788.5"," ,T","      6.71","T","     11.44","T","      1.98","T"
"USS0016F02S","2006","43.76","-116.1","1932.4","BOGUS BASIN, ID US","","","     80.1","","      80.1","T","       112","T","       112","T","         5","T","      196","","         0","T","       150","T","        34","T","        79","T","         0","T","  -15.9","T,0219, ","  2362"," ,T,0401, ","  27.9"," ,T,1126,+","   31.5","T,0722, ","-0.5","T,0914","-3.3","T,1026","-8.6","T,1030","-8.6","T,1030","-10.1","T,1031","-0.2","T,0509","-4.0","T,0419","-4.6","T,0418","-9.6","T,0312","-9.6","T,0312","    4305.2","2","    4305.2","T","    902.7"," ,T","      6.68","T","     11.50","T","      1.86","T"
"USS0016F02S","2007","43.76","-116.1","1932.4","BOGUS BASIN, ID US","","","    104.2","","     104.2","T","       109","T","       109","T","         3","T","      180","","         1","T","       147","T","        44","T","        79","T","         0","T","  -18.6","T,0112, ","  2057"," ,T,0301, ","  48.3"," ,T,1019, ","   32.1","T,0706, ","0.0","T,0928","-3.0","T,1017","-6.5","T,1113","-8.6","T,1120","-10.7","T,1121","-0.6","T,0528","-4.1","T,0504","-5.1","T,0419","-8.3","T,0302","-11.3","T,0224","    4218.5","5","    4218.5","T","    717.4"," ,T","      6.96","T","     11.91","T","      2.01","T"
"USS0016F02S","2008","43.76","-116.1","1932.4","BOGUS BASIN, ID US","","","     35.4","","      35.4","T","       116","T","       116","T","         2","T","      203","","         0","T","       170","T","        43","T","        71","T","         0","T","  -17.0","T,1216, ","  2235"," ,T,0331, ","  43.2"," ,T,1004, ","   29.9","T,0703,+","0.0","T,0923","-4.5","T,1009","-4.5","T,1009","-7.1","T,1123","-9.2","T,1214","-0.6","T,0611","-2.5","T,0512","-4.7","T,0501","-10.1","T,0421","-10.1","T,0421","    4654.1","1","    4654.1","T","    754.9"," ,T","      5.92","T","     10.69","T","      1.14","T"
"USS0016F02S","2009","43.76","-116.1","1932.4","BOGUS BASIN, ID US","","","     42.6","","      42.6","T","       111","T","       111","T","         5","T","      214","","         2","T","       169","T","        53","T","        72","T","         0","T","  -21.8","T,1209, ","  1981"," ,T,0403,+","  48.3"," ,T,0606, ","   30.5","T,0718, ","-1.6","T,0930","-4.7","T,1001","-4.7","T,1001","-7.5","T,1028","-11.4","T,1114","-5.0","T,0513","-5.0","T,0513","-5.0","T,0513","-7.3","T,0401","-10.1","T,0312","    4314.2","2","    4314.2","T","    851.9"," ,T","      5.91","T","     10.51","T","      1.32","T"
