"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"UKW00015040","1954","51.383","-1.283","121.9","GREENHAM, ENG UK","","","","","","","","","","","","","","","","","","","","","","","","","        99"," ","        13"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UKW00015040","1955","51.383","-1.283","121.9","GREENHAM, ENG UK","","","","","","","","","","","","","","","","","","","","","","","","","        57"," ","         2"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UKW00015040","1956","51.383","-1.283","121.9","GREENHAM, ENG UK","     10.3","","      10.3","X","       144","X","        66","X","         1","X","        9","","         7","X","         0","X","        61","X","        14","X","        28","X","         0","X","       147"," ","         8"," ","   -9.4","X,0204,+","    51"," ,X,1226, ","    76"," ,X,0110, ","  46.0"," ,X,0806, ","   27.8","X,0727,+","0.0","X,1107","-5.6","X,1122","-5.6","X,1122","","","","","-0.6","X,0420","-2.2","X,0316","-5.0","X,0226","-7.2","X,0225","-9.4","X,0204","","","","","    657.1"," ,X","      288"," ,X","      9.18","X","     12.75","X","      5.61","X","","","",""
"UKW00015040","1957","51.383","-1.283","121.9","GREENHAM, ENG UK","     43.7","","      43.7","X","       147","X","        75","X","         1","X","        0","","         1","X","         0","X","        27","X","         0","X","        38","X","         0","X","       125"," ","        15"," ","   -5.6","X,1217,+","     0"," ,X,1231,+","    25"," ,X,0221, ","  58.9"," ,X,0812, ","   31.1","X,0629, ","0.0","X,1108","-2.2","X,1124","-4.4","X,1203","","","","","0.0","X,0412","-2.2","X,0304","","","","","","","    2926.9","9","    2926.9","X","    642.6"," ,X","       25"," ,X","     10.43","X","     13.98","X","      6.88","X","","","",""
"UKW00015040","1958","51.383","-1.283","121.9","GREENHAM, ENG UK","","","","","","","","","","","","","","","","","","","","","","","","","       170"," ","        15"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UKW00015040","1959","51.383","-1.283","121.9","GREENHAM, ENG UK","     46.1","","      46.1","X","       127","X","        83","X","         2","X","        2","","         2","X","         0","X","        43","X","         4","X","        74","X","         1","X","       164"," ","        18"," ","   -5.0","X,0116,+","    51"," ,X,0104, ","    64"," ,X,0104, ","  30.2"," ,X,0811, ","   33.3","X,0705, ","-2.2","X,1107","-2.2","X,1107","","","","","","","-1.1","X,0220","-2.8","X,0130","-5.0","X,0116","","","","","    3034.7","7","    3034.7","X","    814.2"," ,X","      114"," ,X","     10.58","X","     14.43","X","      6.73","X","","","",""
"UKW00015040","1960","51.383","-1.283","121.9","GREENHAM, ENG UK","     13.2","","      13.2","X","       210","X","       104","X","         2","X","        7","","         7","X","         0","X","        25","X","         2","X","        30","X","         0","X","       250"," ","        15"," ","   -6.1","X,0114, ","   229"," ,X,0115, ","   163"," ,X,0113, ","  34.0"," ,X,0623, ","   27.8","X,0604, ","-0.6","X,1108","","","","","","","","","0.0","X,0417","-5.6","X,0224","-5.6","X,0224","","","","","    2828.7","7","    2828.7","X","   1019.5"," ,X","      574"," ,X","     10.00","X","     13.17","X","      6.82","X","","","",""
"UKW00015040","1961","51.383","-1.283","121.9","GREENHAM, ENG UK","     15.1","","      15.1","X","       159","X","        86","X","         1","X","        1","","         1","X","         0","X","        32","X","         3","X","        38","X","         0","X","       239"," ","         8"," ","   -8.3","X,1228, ","   102"," ,X,1231, ","   160"," ,X,1231, ","  35.8"," ,X,1022, ","   30.0","X,0829, ","-0.6","X,1110","-2.8","X,1207","-5.6","X,1218","-8.3","X,1228","","","0.0","X,0328","","","","","","","","","    2957.0","0","    2957.0","X","    769.3"," ,X","      160"," ,X","     10.15","X","     13.67","X","      6.63","X","","","",""
"UKW00015040","1962","51.383","-1.283","121.9","GREENHAM, ENG UK","      0.0","","       0.0","X","       162","X","        78","X","         1","X","       10","","         5","X","         0","X","        68","X","        11","X","        18","X","         0","X","       204"," ","         8"," ","   -8.9","X,1205, ","   229"," ,X,1231,+","   104"," ,X,1230, ","  37.8"," ,X,0807, ","   23.9","X,0902,+","-0.6","X,1027","-2.8","X,1116","-6.1","X,1204","-8.9","X,1205","-8.9","X,1205","-0.6","X,0414","-3.9","X,0325","-5.0","X,0318","-7.8","X,0101","","","    3362.8","8","    3362.8","X","    663.3"," ,X","      363"," ,X","      8.58","X","     12.02","X","      5.13","X","       270","X","      28.8","X"
"UKW00015040","1963","51.383","-1.283","121.9","GREENHAM, ENG UK","      2.2","","       2.2","X","       179","X","        87","X","         2","X","       56","","         4","X","         0","X","        81","X","        27","X","        25","X","         0","X","       276"," ","        12"," ","  -12.8","X,0125, ","   356"," ,X,0103, ","    61"," ,X,0101, ","  27.7"," ,X,0309, ","   26.7","X,0730, ","0.0","X,1120","-3.9","X,1208","-5.0","X,1220","-7.8","X,1224","","","-1.1","X,0324","-3.3","X,0304","-5.6","X,0226","-6.7","X,0224","-12.8","X,0125","    3778.7","7","    3778.7","X","    747.6"," ,X","      268"," ,X","      8.20","X","     11.33","X","      5.08","X","       180","X","      24.2","X"
"UKW00015040","1964","51.383","-1.283","121.9","GREENHAM, ENG UK","","","","","","","","","","","","","","","","","","","","","","","","","       122"," ","         7"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
