"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00093073","2009","39.22994","-106.87052","2339.9","ASPEN PITKIN CO AIRPORT SARDY FIELD, CO US","       2.5","W","      2.5","","       2.5","W","       106","W","        45","W","         0","W","        16","W","       210","W","        60","W","        90","W","         0","W","       115"," ","        23"," ","        26"," ","  -24.9","W,1209, ","  10.9"," ,W,0526, ","   30.0","W,0724, ","-1.6","W,0921","-5.5","W,1001","-5.5","W,1001","-7.7","W,1002","-10.5","W,1026","-1.0","W,0511","-7.1","W,0427","-7.1","W,0427","-7.1","W,0427","-12.1","W,0406","    4837.8","8","    4837.8","W","    304.1"," ,W","      4.26","W","     11.68","W","     -3.15","W","       240","W","       170","W","      14.8","W","      21.0","W"
"USW00093073","2010","39.22994","-106.87052","2339.9","ASPEN PITKIN CO AIRPORT SARDY FIELD, CO US","       2.4","W","      9.4","","       9.4","W","       133","W","        51","W","         1","W","        17","W","       226","W","        59","W","       110","W","         0","W","       148"," ","        26"," ","        25"," ","  -26.6","W,1125, ","  27.4"," ,W,0612, ","   30.0","W,0717, ","-1.0","W,0907","-2.7","W,1011","-7.7","W,1025","-7.7","W,1025","-11.0","W,1027","0.0","W,0612","-2.7","W,0530","-5.5","W,0525","-7.7","W,0430","-12.7","W,0402","    5327.0","0","    5327.0","W","    402.8"," ,W","      4.24","W","     11.83","W","     -3.35","W","       140","W","       160","W","      17.4","W","      25.0","W"
"USW00093073","2011","39.22994","-106.87052","2339.9","ASPEN PITKIN CO AIRPORT SARDY FIELD, CO US","","","     28.7","","      28.7","A","       118","A","        55","A","         1","A","        24","A","       219","A","        46","A","       116","A","         0","A","","","","","","","  -32.2","A,0203, ","  30.5"," ,A,0718, ","   31.1","A,0704, ","-2.8","A,1006","-2.8","A,1006","-6.1","A,1007","-7.8","A,1028","-11.7","A,1102","-1.7","A,0531","-2.2","A,0520","-5.0","A,0503","-7.8","A,0502","-10.0","A,0430","    5004.4","4","    5004.4","A","    421.3"," ,A","      4.89","A","     12.71","A","     -2.94","A","","","","","","","",""
"USW00093073","2012","39.22994","-106.87052","2339.9","ASPEN PITKIN CO AIRPORT SARDY FIELD, CO US","","","     52.6","","      52.6","W","        94","W","        41","W","         0","W","        18","W","       203","W","        38","W","       137","W","         3","W","        25"," ","","","        25"," ","  -25.5","W,1220, ","  20.8"," ,W,0823, ","   32.8","W,0624, ","0.0","W,0926","-3.2","W,1006","-6.0","W,1007","-7.1","W,1008","-12.7","W,1026","-2.1","W,0611","-2.7","W,0528","-5.5","W,0429","-10.5","W,0407","-10.5","W,0407","    4364.5","5","    4364.5","W","    316.2"," ,W","      6.59","W","     15.14","W","     -1.96","W","","","","","","","",""
"USW00093073","2013","39.22994","-106.87052","2339.9","ASPEN PITKIN CO AIRPORT SARDY FIELD, CO US","       2.5","W","     33.3","","      33.3","W","       131","W","        58","W","         0","W","        30","W","       222","W","        60","W","       110","W","         1","W","        50"," ","","","        32"," ","  -28.2","W,1205, ","  24.1"," ,W,1204, ","   32.2","W,0628, ","0.0","W,0920","-4.3","W,0928","-4.9","W,1005","-7.1","W,1006","-12.7","W,1104","-1.6","W,0601","-3.8","W,0504","-5.5","W,0503","-8.2","W,0502","-12.1","W,0419","    4803.4","4","    4803.4","W","    438.1"," ,W","      4.50","W","     12.31","W","     -3.31","W","       180","W","       190","W","      18.3","W","      23.3","W"
"USW00093073","2014","39.22994","-106.87052","2339.9","ASPEN PITKIN CO AIRPORT SARDY FIELD, CO US","       2.7","W","     28.0","","      28.0","W","       119","W","        49","W","         1","W","        10","W","       203","W","        43","W","       118","W","         2","W","        61"," ","         5"," ","        42"," ","  -23.2","W,1231, ","  38.1"," ,W,0131, ","   32.2","W,0723,+","-0.5","W,1002","-3.8","W,1014","-4.9","W,1028","-8.8","W,1110","-11.6","W,1111","0.0","W,0615","-4.3","W,0514","-6.6","W,0501","-8.2","W,0415","-9.9","W,0414","    4796.0","0","    4796.0","W","    392.2"," ,W","      5.92","W","     13.51","W","     -1.67","W","       170","W","       330","W","      17.4","W","      21.9","W"
"USW00093073","2015","39.22994","-106.87052","2339.9","ASPEN PITKIN CO AIRPORT SARDY FIELD, CO US","       2.6","W","     36.7","","      36.7","W","       138","W","        53","W","         0","W","        12","W","       192","W","        34","W","       121","W","         0","W","       113"," ","         6"," ","        56"," ","  -23.2","W,1227, ","  20.6"," ,W,0720, ","   31.1","W,0630, ","0.0","W,1023","-2.7","W,1024","-8.2","W,1028","-8.2","W,1028","-12.1","W,1107","0.0","W,0529","-3.2","W,0516","-7.1","W,0418","-7.1","W,0418","-11.6","W,0307","    4326.6","6","    4326.6","W","    471.5"," ,W","      6.58","W","     14.26","W","     -1.10","W","       180","W","       170","W","      17.9","W","      22.4","W"
"USW00093073","2016","39.22994","-106.87052","2339.9","ASPEN PITKIN CO AIRPORT SARDY FIELD, CO US","       2.7","W","     34.8","","      34.8","W","       133","W","        50","W","         0","W","        14","W","       205","W","        35","W","       120","W","         2","W","       109"," ","        14"," ","        48"," ","  -25.5","W,0101, ","  20.1"," ,W,0415, ","   33.3","W,0620, ","-1.0","W,0916","-3.2","W,1004","-4.9","W,1007","-7.1","W,1117","-12.7","W,1118","0.0","W,0529","-3.2","W,0511","-7.1","W,0406","-7.1","W,0406","-9.9","W,0401","    4465.5","5","    4465.5","W","    408.6"," ,W","      6.37","W","     14.47","W","     -1.73","W","       280","W","       190","W","      17.4","W","      27.7","W"
"USW00093073","2017","39.22994","-106.87052","2339.9","ASPEN PITKIN CO AIRPORT SARDY FIELD, CO US","       2.8","W","     52.0","","      52.0","W","       113","W","        41","W","         0","W","         7","W","       214","W","        21","W","       119","W","         0","W","        88"," ","        13"," ","        56"," ","  -24.3","W,0107, ","  19.3"," ,W,0711, ","   31.7","W,0709,+","-1.0","W,0924","-4.9","W,0925","-4.9","W,0925","-8.8","W,1015","-12.1","W,1118","0.0","W,0613","-2.7","W,0518","-6.0","W,0430","-9.3","W,0410","-9.3","W,0410","    4228.3","3","    4228.3","W","    343.3"," ,W","      7.17","W","     15.28","W","     -0.95","W","       170","W","       350","W","      17.0","W","      23.7","W"
"USW00093073","2018","39.22994","-106.87052","2339.9","ASPEN PITKIN CO AIRPORT SARDY FIELD, CO US","       2.8","W","     92.8","","      92.8","W","        93","W","        37","W","         0","W","         7","W","       196","W","        28","W","       140","W","         8","W","        86"," ","        12"," ","        33"," ","  -22.7","W,0221, ","  24.9"," ,W,0407, ","   32.8","W,0719,+","0.0","W,0921","-4.3","W,1013","-8.8","W,1015","-8.8","W,1015","-10.5","W,1016","-0.5","W,0515","-2.7","W,0427","-4.9","W,0425","-11.6","W,0418","-11.6","W,0418","    4052.1","1","    4052.1","W","    312.2"," ,W","      6.77","W","     14.92","W","     -1.38","W","       210","W","       330","W","      16.5","W","      26.8","W"
"USW00093073","2019","39.22994","-106.87052","2339.9","ASPEN PITKIN CO AIRPORT SARDY FIELD, CO US","       2.8","W","     54.4","","      54.4","W","       110","W","        55","W","         0","W","        18","W","       214","W","        47","W","       121","W","         0","W","       104"," ","        13"," ","        32"," ","  -24.3","W,0208, ","  18.8"," ,W,0429, ","   31.7","W,0903, ","-0.5","W,0921","-4.3","W,1003","-6.0","W,1007","-10.5","W,1010","-10.5","W,1010","0.0","W,0609","-2.7","W,0528","-4.9","W,0502","-8.2","W,0331","-12.1","W,0320","    4736.8","8","    4736.8","W","    401.6"," ,W","      5.40","W","     13.33","W","     -2.54","W","       170","W","       130","W","      16.5","W","      23.3","W"
"USW00093073","2020","39.22994","-106.87052","2339.9","ASPEN PITKIN CO AIRPORT SARDY FIELD, CO US","       2.8","W","     68.0","","      68.0","W","        87","W","        30","W","         0","W","        12","W","       202","W","        49","W","       139","W","         3","W","        87"," ","         9"," ","        28"," ","  -25.5","W,0205, ","  18.5"," ,W,0829, ","   32.2","W,0819,+","-0.5","W,0908","-4.3","W,0928","-5.5","W,1016","-9.3","W,1025","-9.3","W,1025","-2.7","W,0525","-2.7","W,0525","-6.6","W,0417","-7.1","W,0415","-12.7","W,0414","    4555.1","1","    4555.1","W","    233.5"," ,W","      6.35","W","     14.68","W","     -1.98","W","       200","W","       150","W","      16.5","W","      26.4","W"
"USW00093073","2021","39.22994","-106.87052","2339.9","ASPEN PITKIN CO AIRPORT SARDY FIELD, CO US","       2.7","W","     94.6","","      94.6","W","       113","W","        44","W","         0","W","         7","W","       205","W","        31","W","       126","W","         8","W","        92"," ","        11"," ","        42"," ","  -21.6","W,1211, ","  21.8"," ,W,0801, ","   33.3","W,0709, ","-2.1","W,0921","-2.7","W,1011","-5.5","W,1014","-7.1","W,1117","-10.5","W,1118","-0.5","W,0525","-3.2","W,0524","-9.3","W,0420","-9.3","W,0420","-9.3","W,0420","    4431.5","5","    4431.5","W","    373.4"," ,W","      6.80","W","     14.83","W","     -1.23","W","       190","W","       190","W","      16.5","W","      24.1","W"
"USW00093073","2022","39.22994","-106.87052","2339.9","ASPEN PITKIN CO AIRPORT SARDY FIELD, CO US","       2.8","W","     62.0","","      62.0","W","       115","W","        46","W","         1","W","        23","W","       209","W","        50","W","       122","W","         0","W","        98"," ","        13"," ","        49"," ","  -24.9","W,0101, ","  25.7"," ,W,0801, ","   31.7","W,0717, ","0.0","W,1004","-2.7","W,1014","-7.7","W,1024","-7.7","W,1024","-9.3","W,1025","-0.5","W,0621","-3.2","W,0525","-4.9","W,0430","-10.5","W,0414","-10.5","W,0414","    4441.3","3","    4441.3","W","    376.3"," ,W","      5.48","W","     13.46","W","     -2.49","W","       190","W","       190","W","      19.2","W","      27.7","W"
"USW00093073","2023","39.22994","-106.87052","2339.9","ASPEN PITKIN CO AIRPORT SARDY FIELD, CO US","       2.7","W","     41.2","","      41.2","W","       110","W","        35","W","         2","W","        13","W","       207","W","        48","W","       113","W","         2","W","       105"," ","        12"," ","        49"," ","  -24.3","W,0216, ","  26.9"," ,W,1028, ","   32.8","W,0724, ","0.0","W,0923","-3.8","W,1014","-11.0","W,1029","-11.0","W,1029","-11.0","W,1029","-1.0","W,0508","-3.2","W,0429","-4.9","W,0425","-11.6","W,0421","-11.6","W,0421","    4937.5","5","    4937.5","W","    327.2"," ,W","      5.23","W","     13.10","W","     -2.63","W","       180","W","       180","W","      19.2","W","      25.9","W"
"USW00093073","2024","39.22994","-106.87052","2339.9","ASPEN PITKIN CO AIRPORT SARDY FIELD, CO US","       2.8","W","     29.2","","      29.2","W","       122","W","        53","W","         0","W","         8","W","       201","W","        37","W","       131","W","         0","W","        99"," ","        10"," ","        41"," ","  -21.6","W,0228,+","  23.6"," ,W,1126, ","   31.1","W,0803,+","0.0","W,0918","-2.7","W,1022","-6.0","W,1030","-7.7","W,1031","-11.0","W,1106","-2.7","W,0524","-2.7","W,0524","-4.9","W,0522","-7.1","W,0508","-9.3","W,0407","    4455.6","6","    4455.6","W","    406.2"," ,W","      6.09","W","     13.93","W","     -1.76","W","       170","W","       310","W","      15.7","W","      23.7","W"
"USW00093073","2025","39.22994","-106.87052","2339.9","ASPEN PITKIN CO AIRPORT SARDY FIELD, CO US","","","","","","","","","","","","","","","","","","","","","","","        30"," ","         4"," ","         1"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
