"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00049111","1963","34.988","-120.3211","177.4","TWITCHELL DAM, CA US","    149.4","","     149.4","0","        48","0","        30","0","         5","0","        0","","         0","0","         0","0","        18","0","         0","0","       218","0","        12","0","   -4.4","0,0113, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  41.1"," ,0,0210, ","   41.1","0,0928, ","","","0.0","0,1211","","","","","","","-2.2","0,0123","-2.2","0,0123","-4.4","0,0113","","","","","","","","","","","    458.9"," ,0","        0"," ,0","     15.24","0","     22.40","0","      8.08","0","     32257","0"
"USC00049111","1964","34.988","-120.3211","177.4","TWITCHELL DAM, CA US","    123.4","","     123.4","0","        46","0","        24","0","         3","0","        0","","         0","0","         0","0","        23","0","         0","0","       195","0","         9","0","   -2.8","0,1120, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  34.0"," ,0,1029, ","   37.2","0,1019, ","","","0.0","0,1114","-2.8","0,1120","","","","","-0.6","0,0503","-2.2","0,0307","","","","","    1342.0","0","    1342.0","0","","","","","    321.8"," ,0","        0"," ,0","     14.35","0","     21.79","0","      6.91","0","",""
"USC00049111","1965","34.988","-120.3211","177.4","TWITCHELL DAM, CA US","    154.6","","     154.6","0","        46","0","        34","0","         4","0","        0","","         0","0","         0","0","        16","0","         0","0","       201","0","        18","0","   -3.9","0,0210, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  52.8"," ,0,1229, ","   37.8","0,1022, ","","","0.0","0,1215","-2.2","0,1223","","","","","0.0","0,0507","-2.2","0,0213","","","","","    1409.5","5","    1409.5","0","      9.95","0","     23.61","0","    428.9"," ,0","        0"," ,0","     14.64","0","     22.00","0","      7.29","0","",""
"USC00049111","1966","34.988","-120.3211","177.4","TWITCHELL DAM, CA US","    157.2","","     157.2","0","        30","0","        20","0","         5","0","        0","","         0","0","         0","0","        10","0","         0","0","       209","0","        22","0","   -2.2","0,0122, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  72.4"," ,0,1206, ","   36.7","0,0928,+","","","-1.1","0,1229","","","","","","","-1.7","0,0303","-2.2","0,0122","","","","","    1366.1","1","    1366.1","0","     10.39","0","     24.19","0","    298.0"," ,0","        0"," ,0","     15.05","0","     22.49","0","      7.61","0","",""
"USC00049111","1967","34.988","-120.3211","177.4","TWITCHELL DAM, CA US","    246.8","","     246.8","0","        51","0","        38","0","         4","0","        0","","         0","0","         0","0","         5","0","         0","0","       193","0","        23","0","   -3.3","0,1214, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  50.8"," ,0,0124, ","   38.9","0,0720, ","","","0.0","0,1213","-3.3","0,1214","","","","","","","","","","","","","    1262.0","0","    1262.0","0","     10.76","0","     24.32","0","    503.9"," ,0","        0"," ,0","     15.50","0","     22.50","0","      8.50","0","",""
"USC00049111","1968","34.988","-120.3211","177.4","TWITCHELL DAM, CA US","","","","","        41","0","        28","0","         3","0","        0","","         0","0","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  27.2"," ,0,0308, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    336.7"," ,0","        0"," ,0","","","","","","","",""
"USC00049111","1969","34.988","-120.3211","177.4","TWITCHELL DAM, CA US","","","","","        58","0","        36","0","         6","0","        0","","         0","0","         0","0","         1","0","         0","0","       194","0","         7","0","    0.0","0,0130, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  61.5"," ,0,0125, ","   42.8","0,0804, ","","","","","","","","","","","0.0","0,0130","","","","","","","","","","","      9.66","0","","","    643.8"," ,0","        0"," ,0","     14.94","0","     21.93","0","      7.94","0","",""
"USC00049111","1970","34.988","-120.3211","177.4","TWITCHELL DAM, CA US","","","","","        47","0","        30","0","         3","0","        0","","         0","0","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  55.4"," ,0,0116, ","","","","","","","","","","","","","","","","","","","","","    1081.9","9","    1081.9"," ","","","","","    318.0"," ,0","        0"," ,0","","","","","","","",""
"USC00049111","1972","34.988","-120.3211","177.4","TWITCHELL DAM, CA US","","","","","        32","0","        22","0","         2","0","        0","","         0","0","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  31.2"," ,0,1116, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    225.6"," ,0","        0"," ,0","","","","","","","",""
"USC00049111","1974","34.988","-120.3211","177.4","TWITCHELL DAM, CA US","","","","","        42","0","        31","0","         8","0","        0","","         0","0","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  62.5"," ,0,0302, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    518.6"," ,0","        0"," ,0","","","","","","","",""
"USC00049111","1975","34.988","-120.3211","177.4","TWITCHELL DAM, CA US","","","","","        42","0","        28","0","         2","0","        0","","         0","0","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  40.4"," ,0,0202, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    347.9"," ,0","        0"," ,0","","","","","","","",""
