"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00003170","1998","39.6013","-116.0055","1809.3","EUREKA AIRPORT, NV US","       3.1","X","    138.7","","     138.7","0","       110","0","        48","0","         1","0","         8","0","       218","0","        19","0","       115","0","        27","0","","","  -26.7","0,1223,+","  32.3"," ,0,0720, ","   38.3","0,0718,+","-0.6","0,0919","-2.8","0,1004","-7.2","0,1005","-7.2","0,1005","-9.4","0,1016","0.0","0,0627","-3.3","0,0530","-6.1","0,0427","-7.8","0,0415","-9.4","0,0414","","","","","    362.9"," ,0","      6.97","0","     15.21","0","     -1.27","0","       180","X","","","      18.3","X","",""
"USW00003170","1999","39.6013","-116.0055","1809.3","EUREKA AIRPORT, NV US","       3.3","X","     95.4","","      95.4","0","        77","0","        20","0","         1","0","        11","0","       228","0","        17","0","       159","0","        23","0","","","  -23.3","0,0127, ","  28.7"," ,0,0602, ","   35.6","0,0706, ","-0.6","0,0831","-3.3","0,0904","-7.8","0,0927","-7.8","0,0927","-8.9","0,1015","-0.6","0,0609","-2.8","0,0531","-7.2","0,0516","-7.2","0,0516","-8.9","0,0510","    4190.0","0","    4190.0","0","    167.3"," ,0","      7.44","0","     17.26","0","     -2.38","0","       200","X","        20","W","      17.9","X","      38.9","W"
"USW00003170","2000","39.6013","-116.0055","1809.3","EUREKA AIRPORT, NV US","       3.4","X","    168.6","","     168.6","0","        83","0","        28","0","         0","0","         4","0","       216","0","        10","0","       156","0","        42","0","","","  -18.9","0,0106, ","  16.3"," ,0,1101, ","   38.3","0,0730, ","-0.6","0,0905","-4.4","0,0923","-4.4","0,0923","-8.9","0,0924","-8.9","0,0924","-1.1","0,0620","-4.4","0,0514","-4.4","0,0514","-8.3","0,0512","-11.7","0,0401","    3673.7","7","    3673.7","0","    205.9"," ,0","      8.15","0","     17.71","0","     -1.41","0","       290","X","       290","W","      21.0","X","      25.9","W"
"USW00003170","2001","39.6013","-116.0055","1809.3","EUREKA AIRPORT, NV US","       3.2","X","    183.2","","     183.2","0","        89","0","        21","0","         0","0","        18","0","       201","0","        36","0","       167","0","        41","0","","","  -25.0","0,0117, ","  13.5"," ,0,0809, ","   36.7","0,0703,+","-0.6","0,0907","-3.9","0,0908","-7.2","0,1009","-7.2","0,1009","-9.4","0,1012","-1.7","0,0614","-7.2","0,0604","-7.2","0,0604","-7.2","0,0604","-13.3","0,0312","    4207.8","8","    4207.8","0","    191.9"," ,0","      7.82","0","     17.26","0","     -1.62","0","       170","X","       200","W","      18.3","X","      27.3","W"
"USW00003170","2002","39.6013","-116.0055","1809.3","EUREKA AIRPORT, NV US","","","    187.8","","     187.8","0","        63","0","        21","0","         0","0","        22","0","       227","0","        25","0","       149","0","        47","0","","","  -31.7","0,0130, ","  17.3"," ,0,0220, ","   39.4","0,0712, ","0.0","0,0908","-2.2","0,0919","-4.4","0,1003","-10.0","0,1012","-10.0","0,1012","-2.2","0,0611","-2.2","0,0611","-5.6","0,0610","-10.0","0,0508","-10.0","0,0508","    4021.7","7","    4021.7","0","    180.9"," ,0","      7.29","0","     17.03","0","     -2.44","0","","","       170","W","","","      21.5","W"
"USW00003170","2003","39.6013","-116.0055","1809.3","EUREKA AIRPORT, NV US","       3.2","X","    236.3","","     236.3","0","        87","0","        27","0","         0","0","         6","0","       203","0","        14","0","       160","0","        47","0","","","  -20.6","0,1227, ","  16.3"," ,0,0821, ","   38.3","0,0722, ","-3.3","0,0913","-3.3","0,0913","-4.4","0,0918","-7.8","0,1011","-9.4","0,1030","0.0","0,0625","-2.2","0,0520","-7.2","0,0419","-7.2","0,0419","-8.9","0,0415","    3873.2","2","    3873.2","0","    207.8"," ,0","      8.70","0","     17.96","0","     -0.56","0","       200","X","       180","W","      19.7","X","      25.0","W"
"USW00003170","2004","39.6013","-116.0055","1809.3","EUREKA AIRPORT, NV US","       3.1","X","    135.0","","     135.0","0","        72","0","        26","0","         0","0","        30","0","       200","0","        40","0","       150","0","        27","0","","","  -25.6","0,1203, ","  19.3"," ,0,0919, ","   36.1","0,0811,+","-1.1","0,0914","-2.2","0,1010","-4.4","0,1011","-9.4","0,1101","-9.4","0,1101","-1.7","0,0530","-2.8","0,0524","-6.7","0,0512","-6.7","0,0512","-10.6","0,0301","    3946.8","8","    3946.8","0","    214.3"," ,0","      7.24","0","     16.12","0","     -1.63","0","       230","X","       220","W","      20.1","X","      24.1","W"
"USW00003170","2005","39.6013","-116.0055","1809.3","EUREKA AIRPORT, NV US","       3.0","X","    201.2","","     201.2","0","        96","0","        32","0","         0","0","         5","0","       210","0","        18","0","       134","0","        35","0","","","  -19.4","0,0107, ","  17.8"," ,0,0801, ","   38.3","0,0715, ","-1.7","0,0831","-2.2","0,0913","-6.1","0,0925","-8.3","0,1005","-13.3","0,1115","-0.6","0,0608","-3.9","0,0421","-7.8","0,0415","-7.8","0,0415","-10.0","0,0414","    4064.2","2","    4064.2","0","    264.5"," ,0","      8.11","0","     16.91","0","     -0.69","0","       190","X","       170","B","      17.4","X","      21.5","B"
"USW00003170","2006","39.6013","-116.0055","1809.3","EUREKA AIRPORT, NV US","","","    235.7","","     235.7","0","        79","0","        33","0","         0","0","        21","0","       204","0","        26","0","       146","0","        43","0","","","  -25.6","0,1129, ","  17.3"," ,0,0328, ","   37.8","0,0727,+","-3.3","0,0916","-3.3","0,0916","-4.4","0,0917","-7.2","0,1021","-10.0","0,1025","-2.8","0,0530","-2.8","0,0530","-5.6","0,0419","-7.2","0,0418","-16.1","0,0315","    3812.7","7","    3812.7","0","    215.6"," ,0","      8.11","0","     17.43","0","     -1.21","0","","","","","","","",""
"USW00003170","2007","39.6013","-116.0055","1809.3","EUREKA AIRPORT, NV US","","","    298.5","","     298.5","0","        68","0","        26","0","         0","0","        28","0","       213","0","        34","0","       159","0","        57","0","","","  -30.6","0,0113, ","  19.8"," ,0,0801, ","   38.9","0,0705, ","0.0","0,0910","-4.4","0,0924","-4.4","0,0924","-8.3","0,1020","-11.7","0,1021","-1.1","0,0607","-3.9","0,0529","-5.6","0,0523","-11.1","0,0419","-11.1","0,0419","    4029.4","4","    4029.4","0","    208.1"," ,0","      8.01","0","     17.77","0","     -1.75","0","","","","","","","",""
"USW00003170","2008","39.6013","-116.0055","1809.3","EUREKA AIRPORT, NV US","","","    214.8","","     214.8","0","        62","0","        14","0","         0","0","        26","0","       225","0","        31","0","       149","0","        64","0","","","  -25.0","0,0123,+","   6.1"," ,0,1225,+","   36.7","0,0725,+","-1.7","0,0901","-2.8","0,0902","-5.0","0,1009","-8.3","0,1010","-8.9","0,1012","0.0","0,0613","-3.3","0,0611","-5.0","0,0523","-7.2","0,0513","-11.7","0,0501","    4479.1","1","    4479.1","0","     96.3"," ,0","      7.12","0","     16.94","0","     -2.71","0","","","","","","","",""
"USW00003170","2009","39.6013","-116.0055","1809.3","EUREKA AIRPORT, NV US","","","    170.7","","     170.7","0","        77","0","        35","0","         0","0","        23","0","       206","0","        28","0","       139","0","        33","0","","","  -27.8","0,0104, ","  16.8"," ,0,0614, ","   36.7","0,0821,+","-2.8","0,0921","-2.8","0,0921","-4.4","0,0930","-7.8","0,1001","-12.2","0,1029","-1.7","0,0513","-3.3","0,0509","-5.6","0,0429","-11.1","0,0417","-11.1","0,0417","    3965.0","0","    3965.0","0","    273.3"," ,0","      7.25","0","     16.56","0","     -2.05","0","       170","X","       140","X","      18.3","X","      22.8","X"
"USW00003170","2010","39.6013","-116.0055","1809.3","EUREKA AIRPORT, NV US","       3.1","W","    194.4","","     194.4","0","        81","0","        28","0","         0","0","         9","0","       214","0","        21","0","       141","0","        49","0","","","  -24.4","0,1124, ","  17.3"," ,0,0308, ","   37.2","0,0720,+","-4.4","0,0906","-4.4","0,0906","-4.4","0,0906","-8.3","0,1027","-9.4","0,1111","0.0","0,0621","-3.9","0,0617","-5.6","0,0524","-10.6","0,0507","-10.6","0,0507","    4387.6","6","    4387.6","0","    239.0"," ,0","      7.54","0","     16.35","0","     -1.28","0","       170","X","       180","X","      21.5","X","      26.4","X"
"USW00003170","2011","39.6013","-116.0055","1809.3","EUREKA AIRPORT, NV US","       3.2","W","    202.5","","     202.5","X","        71","X","        27","X","         0","X","        10","X","       206","X","        13","X","       142","X","        52","X","","","  -21.7","X,0217,+","  16.8"," ,X,0523, ","   37.2","X,0703, ","-1.7","X,1005","-2.2","X,1006","-7.2","X,1025","-7.2","X,1025","-13.3","X,1026","-1.1","X,0617","-6.1","X,0603","-6.1","X,0603","-8.3","X,0501","-10.0","X,0430","    3968.8","8","    3968.8","X","    202.2"," ,X","      7.89","X","     17.29","X","     -1.51","X","       180","X","       180","X","      18.3","X","      26.8","X"
"USW00003170","2012","39.6013","-116.0055","1809.3","EUREKA AIRPORT, NV US","       3.4","X","    280.2","","     280.2","X","        68","X","        23","X","         0","X","        10","X","       192","X","        16","X","       173","X","        55","X","","","  -23.3","X,1231, ","  24.4"," ,X,0317, ","   38.9","X,0711, ","-0.6","X,1005","-2.8","X,1006","-6.7","X,1007","-6.7","X,1007","-10.0","X,1026","-0.6","X,0611","-3.9","X,0610","-4.4","X,0606","-7.8","X,0507","-9.4","X,0407","    3664.5","5","    3664.5","X","    176.0"," ,X","      9.40","X","     19.10","X","     -0.30","X","       180","X","       230","X","      19.2","X","      24.6","X"
"USW00003170","2013","39.6013","-116.0055","1809.3","EUREKA AIRPORT, NV US","       3.2","W","    312.4","","     312.4","W","        70","W","        27","W","         0","W","        33","W","       207","W","        30","W","       144","W","        44","W","","","  -28.9","W,0112, ","  20.3"," ,W,0729, ","   38.9","W,0702, ","-0.5","W,0919","-4.3","W,1003","-4.9","W,1004","-7.7","W,1104","-9.9","W,1105","-1.0","W,0620","-3.2","W,0524","-8.2","W,0502","-8.2","W,0502","-9.9","W,0501","    3855.3","3","    3855.3","W","    217.5"," ,W","      7.87","W","     17.05","W","     -1.32","W","       240","W","       250","W","      18.3","W","      30.9","W"
