"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00192420","1894","42.55","-72.0","365.8","EAST TEMPLETON, MA US","        54","6","        44","6","         6","6","","","","","","","","","","","","","  85.6"," ,6,0130, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    719.0"," ,6","","","","","",""
"USC00192420","1895","42.55","-72.0","365.8","EAST TEMPLETON, MA US","        69","6","        52","6","         9","6","         7","6","       141","6","        56","6","       117","6","         2","6","  -24.4","6,0206, ","  84.1"," ,6,1014, ","   32.2","6,0708,+","-1.1","6,1010","-2.2","6,1021","-4.4","6,1111","-6.7","6,1112","-9.4","6,1122","-3.9","6,0411","-3.9","6,0411","-5.0","6,0331","-8.3","6,0321","-12.2","6,0315","","","","","    834.4"," ,6","      8.36","6","     12.89","6","      3.84","6"
"USC00192420","1896","42.55","-72.0","365.8","EAST TEMPLETON, MA US","        74","6","        56","6","         9","6","         9","6","       136","6","        71","6","       116","6","         3","6","  -27.8","6,0217, ","  53.8"," ,6,0906, ","   33.3","6,0811, ","0.0","6,1010","-2.2","6,1109","-5.6","6,1114","-6.7","6,1120","-8.9","6,1123","-0.6","6,0411","-2.2","6,0408","-5.6","6,0404","-6.7","6,0403","-13.3","6,0324","","","","","    794.1"," ,6","      8.32","6","     12.49","6","      4.15","6"
"USC00192420","1897","42.55","-72.0","365.8","EAST TEMPLETON, MA US","        90","6","        65","6","        12","6","","","","","","","","","","","",""," 124.5"," ,6,0713, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1031.7"," ,6","","","","","",""
"USC00192420","1898","42.55","-72.0","365.8","EAST TEMPLETON, MA US","        84","6","        73","6","        15","6","        10","6","       123","6","        42","6","       109","6","         2","6","  -22.2","6,1214,+","  63.5"," ,6,1128, ","   34.4","6,0703, ","0.0","6,1017","-3.9","6,1112","-7.8","6,1125","-7.8","6,1125","-10.0","6,1126","-2.2","6,0407","-2.2","6,0407","-4.4","6,0406","-6.7","6,0304","-9.4","6,0301","","","","","   1117.1"," ,6","      8.87","6","     12.96","6","      4.78","6"
"USC00192420","1899","42.55","-72.0","365.8","EAST TEMPLETON, MA US","        65","6","        52","6","        10","6","","","","","","","","","","","","","  64.0"," ,6,0214, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    803.2"," ,6","","","","","",""
"USC00192420","1900","42.55","-72.0","365.8","EAST TEMPLETON, MA US","        75","6","        60","6","        16","6","","","","","        48","6","       129","6","         8","6","","","  73.2"," ,6,0213, ","   34.4","6,0707, ","","","","","","","","","","","","","","","","","","","","","","","","","   1114.9"," ,6","","","     13.12","6","",""
"USC00192420","1902","42.55","-72.0","365.8","EAST TEMPLETON, MA US","        83","6","        62","6","        11","6","         4","6","       120","6","        58","6","        88","6","         0","6","  -25.6","6,1209, ","  55.9"," ,6,1028, ","   30.0","6,0731,+","0.0","6,1017","-2.2","6,1026","-4.4","6,1128","-6.7","6,1129","-13.3","6,1205","0.0","6,0510","-2.8","6,0320","-6.7","6,0319","-6.7","6,0319","-9.4","6,0224","","","","","    964.6"," ,6","      8.20","6","     12.39","6","      4.01","6"
"USC00192420","1903","42.55","-72.0","365.8","EAST TEMPLETON, MA US","        75","6","        60","6","        13","6","         9","6","       116","6","        49","6","       104","6","         2","6","  -23.3","6,0119, ","  50.0"," ,6,0613, ","   33.3","6,0709, ","-2.2","6,1024","-2.2","6,1024","-5.6","6,1118","-6.7","6,1119","-10.0","6,1121","-0.6","6,0418","-6.7","6,0405","-6.7","6,0405","-6.7","6,0405","-8.9","6,0223","","","","","   1012.3"," ,6","      8.20","6","     12.57","6","      3.84","6"
"USC00192420","1904","42.55","-72.0","365.8","EAST TEMPLETON, MA US","","","","","","","        17","6","       155","6","        79","6","       109","6","         2","6","  -25.6","6,0119, ","","","   32.8","6,0719, ","0.0","6,0922","-4.4","6,1028","-4.4","6,1028","-12.8","6,1117","-12.8","6,1117","0.0","6,0421","-2.8","6,0419","-7.8","6,0416","-7.8","6,0416","-9.4","6,0317","    3724.9","9","    3724.9","6","","","      7.00","6","     11.58","6","      2.42","6"
