"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ARM00087904","2004","-50.267","-72.05","204.0","EL CALAFATE AERO, AR","         0","S","       158","S","  -14.2","S,0717, ","-0.4","S,0310","-3.8","S,0329","-6.8","S,0330","-6.8","S,0330","-9.0","S,0502","-1.2","S,1215","-2.4","S,1103","-6.0","S,1023","-7.4","S,0926","-9.2","S,0816","      0.89","S"
"ARM00087904","2006","-50.267","-72.05","204.0","EL CALAFATE AERO, AR","         0","S","       170","S","  -15.8","S,0624, ","-4.4","S,0320","-4.4","S,0320","-4.4","S,0320","-9.0","S,0521","-9.0","S,0521","-1.3","S,1216","-2.8","S,1120","-6.9","S,1024","-6.9","S,1024","-9.4","S,0817","      0.06","S"
"ARM00087904","2007","-50.267","-72.05","204.0","EL CALAFATE AERO, AR","         0","S","       155","S","  -13.0","S,0623, ","-4.2","S,0306","-4.2","S,0306","-4.5","S,0411","-7.0","S,0504","-11.0","S,0527","-1.2","S,1123","-3.4","S,1029","-6.4","S,1010","-7.8","S,1008","","","      0.98","S"
"ARM00087904","2008","-50.267","-72.05","204.0","EL CALAFATE AERO, AR","         0","S","       151","S","  -16.6","S,0630,+","0.0","S,0330","-4.0","S,0409","-4.6","S,0506","-7.0","S,0517","-8.9","S,0519","-1.0","S,1129","-3.4","S,1105","-6.0","S,0911","-10.4","S,0821","-10.4","S,0821","      1.48","S"
"ARM00087904","2011","-50.267","-72.05","204.0","EL CALAFATE AERO, AR","         0","S","       126","S","   -9.4","S,0617, ","-2.0","S,0312","-6.6","S,0414","-6.6","S,0414","-7.0","S,0522","-9.0","S,0603","0.0","S,1220","-3.6","S,0926","-4.8","S,0909","","","","","      2.14","S"
"ARM00087904","2012","-50.267","-72.05","204.0","EL CALAFATE AERO, AR","         0","S","       154","S","  -11.8","S,0616,+","-0.2","S,0217","-2.2","S,0221","-5.6","S,0421","-7.4","S,0426","-9.0","S,0531","-0.4","S,1123","-2.2","S,1021","-6.0","S,1009","","","","","      1.68","S"
"ARM00087904","2013","-50.267","-72.05","204.0","EL CALAFATE AERO, AR","         0","S","       150","S","  -10.6","S,0526, ","-1.6","S,0216","-5.0","S,0411","-5.0","S,0411","-10.6","S,0526","-10.6","S,0526","-0.4","S,1121","-4.4","S,1113","-4.4","S,1113","-6.8","S,0911","-9.0","S,0831","      1.84","S"
"ARM00087904","2014","-50.267","-72.05","204.0","EL CALAFATE AERO, AR","         0","S","       159","S","  -17.4","S,0727, ","-0.8","S,0101","-2.6","S,0315","-4.8","S,0330","-10.6","S,0515","-10.6","S,0515","-2.4","S,1102","-2.4","S,1102","-5.6","S,1101","-8.4","S,0802","","","      1.12","S"
"ARM00087904","2015","-50.267","-72.05","204.0","EL CALAFATE AERO, AR","         0","S","       148","S","   -9.0","S,0915, ","0.0","S,0319","-3.8","S,0405","-5.4","S,0416","-7.2","S,0702","","","-0.2","S,1226","-2.8","S,1121","-4.8","S,1119","-8.2","S,0923","-9.0","S,0915","      1.60","S"
"ARM00087904","2016","-50.267","-72.05","204.0","EL CALAFATE AERO, AR","         0","S","       155","S","  -17.0","S,0726, ","-1.6","S,0309","-3.2","S,0408","-4.8","S,0410","-7.0","S,0424","-9.2","S,0430","0.0","S,1213","-4.4","S,1017","-4.4","S,1017","-10.2","S,0820","-10.2","S,0820","      1.31","S"
"ARM00087904","2017","-50.267","-72.05","204.0","EL CALAFATE AERO, AR","         0","S","       120","S","  -12.5","S,0626,+","-2.5","S,0321","-2.5","S,0321","-4.5","S,0518","-9.0","S,0615","-9.0","S,0615","0.0","S,1201","-4.2","S,1010","-6.5","S,0909","","","","","      2.12","S"
"ARM00087904","2018","-50.267","-72.05","204.0","EL CALAFATE AERO, AR","         0","S","       156","S","  -12.5","S,0706,+","-0.4","S,0309","-4.0","S,0320","-5.0","S,0430","-7.2","S,0602","-9.2","S,0609","-1.6","S,1205","-2.4","S,1109","-5.5","S,1018","-8.0","S,0808","-9.0","S,0807","      1.82","S"
"ARM00087904","2019","-50.267","-72.05","204.0","EL CALAFATE AERO, AR","         0","S","       141","S","  -11.0","S,0816, ","0.0","S,0109","-4.8","S,0503","-4.8","S,0503","-7.0","S,0529","-9.2","S,0627","-1.0","S,1101","-3.0","S,1028","-5.0","S,1014","-7.0","S,0912","-9.0","S,0820","      1.66","S"
"ARM00087904","2020","-50.267","-72.05","204.0","EL CALAFATE AERO, AR","         0","S","       141","S","  -15.0","S,0726, ","-0.5","S,0205","-4.0","S,0426","-5.2","S,0428","-6.8","S,0513","-9.4","S,0626","-1.0","S,1027","-4.8","S,1003","-4.8","S,1003","-9.0","S,1002","-9.0","S,1002","      1.82","S"
"ARM00087904","2022","-50.267","-72.05","204.0","EL CALAFATE AERO, AR","         0","S","       145","S","  -16.5","S,0711, ","0.0","S,0216","-5.0","S,0406","-5.0","S,0406","-7.5","S,0601","-9.5","S,0621","0.0","S,1029","-3.5","S,0930","-5.0","S,0921","-7.0","S,0907","","","      1.02","S"
