"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000TGEO","2003","28.3667","-98.1167","65.5","GEORGE WEST TEXAS, TX US","   1873.3","","    1873.3","U","         0","U","        19","U","         0","U","       297","U","       117","U","   -5.6","U,1230, ","   39.4","U,0809,+","-1.7","U,1125","-2.8","U,1129","-5.0","U,1217","","","-0.6","U,0225","-2.8","U,0124","","","","","","","     699.4","4","     699.4","U","     21.58","U","     27.56","U","     15.60","U"
"USR0000TGEO","2004","28.3667","-98.1167","65.5","GEORGE WEST TEXAS, TX US","   1831.3","","    1831.3","U","         0","U","        17","U","         0","U","       299","U","       120","U","   -5.6","U,1226, ","   37.8","U,0805,+","-1.1","U,1201","-2.8","U,1214","-5.0","U,1215","","","-1.1","U,0227","-2.2","U,0215","","","","","","","     567.7","7","     567.7","U","     21.78","U","     27.58","U","     15.97","U"
"USR0000TGEO","2005","28.3667","-98.1167","65.5","GEORGE WEST TEXAS, TX US","   2031.8","","    2031.8","U","         0","U","        10","U","         0","U","       309","U","       159","U","   -3.3","U,1206, ","   42.2","U,0925, ","-1.1","U,1117","-2.8","U,1129","","","","","-2.2","U,0117","-2.2","U,0117","","","","","","","     551.5","5","     551.5","U","     22.36","U","     29.05","U","     15.67","U"
"USR0000TGEO","2006","28.3667","-98.1167","65.5","GEORGE WEST TEXAS, TX US","   2245.8","","    2245.8","U","         0","U","        20","U","         0","U","       332","U","       170","U","   -7.8","U,0212, ","   41.7","U,0510, ","0.0","U,1117","-2.2","U,1201","","","","","-0.6","U,0325","-3.3","U,0213","-7.8","U,0212","-7.8","U,0212","","","     526.3","3","     526.3","U","     23.13","U","     30.05","U","     16.22","U"
"USR0000TGEO","2007","28.3667","-98.1167","65.5","GEORGE WEST TEXAS, TX US","   1839.2","","    1839.2","U","         0","U","        17","U","         0","U","       306","U","       120","U","   -5.0","U,0216, ","   37.8","U,0813, ","-0.6","U,1126","-2.2","U,1204","-4.4","U,1217","","","-0.6","U,0306","-3.3","U,0305","-5.0","U,0216","","","","","     650.7","7","     650.7","U","     21.51","U","     27.51","U","     15.51","U"
"USR0000TGEO","2008","28.3667","-98.1167","65.5","GEORGE WEST TEXAS, TX US","   1981.9","","    1981.9","U","         0","U","        20","U","         0","U","       333","U","       143","U","   -4.4","U,1211,+","   38.9","U,0913, ","-0.6","U,1028","-2.8","U,1116","-4.4","U,1211","","","-2.2","U,0227","-2.2","U,0227","-4.4","U,0120","","","","","     566.7","7","     566.7","U","     22.11","U","     29.20","U","     15.02","U"
"USR0000TGEO","2009","28.3667","-98.1167","65.5","GEORGE WEST TEXAS, TX US","   2236.9","","    2236.9","U","         0","U","        20","U","         0","U","       306","U","       160","U","   -5.6","U,1205,+","   41.7","U,0705, ","-0.6","U,1117","-2.2","U,1204","-5.6","U,1205","","","-2.8","U,0302","-2.8","U,0302","-5.0","U,0203","","","","","     552.6","6","     552.6","U","     22.67","U","     29.70","U","     15.64","U"
"USR0000TGEO","2011","28.3667","-98.1167","65.5","GEORGE WEST TEXAS, TX US","   2361.7","","    2361.7","U","         0","U","        25","U","         1","U","       312","U","       173","U","   -7.2","U,0205, ","   43.9","U,0828, ","-2.8","U,1111","-2.8","U,1111","-4.4","U,1128","","","0.0","U,0306","-5.6","U,0212","-5.6","U,0212","-7.2","U,0205","","","     647.4","4","     647.4","U","     22.93","U","     30.04","U","     15.82","U"
"USR0000TGEO","2012","28.3667","-98.1167","65.5","GEORGE WEST TEXAS, TX US","   2318.0","","    2318.0","U","         0","U","        10","U","         0","U","       317","U","       160","U","   -4.4","U,0113, ","   42.2","U,0626, ","-2.8","U,1212","-2.8","U,1212","","","","","-3.9","U,0114","-3.9","U,0114","-4.4","U,0113","","","","","     538.3","3","     538.3","U","     23.43","U","     29.99","U","     16.86","U"
"USR0000TGEO","2013","28.3667","-98.1167","65.5","GEORGE WEST TEXAS, TX US","   2041.5","","    2041.5","U","         0","U","        12","U","         0","U","       307","U","       139","U","   -3.3","U,1224,+","   43.3","U,0629, ","0.0","U,1128","-3.3","U,1216","","","","","-1.1","U,0301","","","","","","","","","     492.6","6","     492.6","U","     22.12","U","     28.57","U","     15.66","U"
"USR0000TGEO","2014","28.3667","-98.1167","65.5","GEORGE WEST TEXAS, TX US","   2134.8","","    2134.8","U","         0","U","        17","U","         0","U","       300","U","       141","U","   -4.4","U,0107,+","   40.0","U,0816,+","-0.6","U,1117","","","","","","","0.0","U,0303","-3.9","U,0125","-4.4","U,0107","","","","","     790.6","6","     790.6","U","     22.16","U","     28.33","U","     15.99","U"
"USR0000TGEO","2015","28.3667","-98.1167","65.5","GEORGE WEST TEXAS, TX US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     714.4","4","     714.4"," ","","","","","",""
"USR0000TGEO","2016","28.3667","-98.1167","65.5","GEORGE WEST TEXAS, TX US","   2238.4","","    2238.4","U","         0","U","        11","U","         0","U","       319","U","       156","U","   -3.3","U,0207, ","   40.6","U,0812,+","-1.1","U,1120","","","","","","","-1.7","U,0209","-3.3","U,0207","","","","","","","","","","","     23.19","U","     29.65","U","     16.73","U"
"USR0000TGEO","2017","28.3667","-98.1167","65.5","GEORGE WEST TEXAS, TX US","   2304.0","","    2304.0","U","         0","U","         6","U","         0","U","       323","U","       162","U","   -8.3","U,0108, ","   41.7","U,0622, ","0.0","U,1029","","","","","","","-8.3","U,0108","-8.3","U,0108","-8.3","U,0108","-8.3","U,0108","","","     262.9","9","     262.9","U","     23.60","U","     30.06","U","     17.15","U"
"USR0000TGEO","2018","28.3667","-98.1167","65.5","GEORGE WEST TEXAS, TX US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     572.6","6","     572.6","U","","","","","",""
"USR0000TGEO","2019","28.3667","-98.1167","65.5","GEORGE WEST TEXAS, TX US","   2203.6","","    2203.6","U","         0","U","         3","U","         0","U","       299","U","       153","U","   -2.8","U,1219, ","   41.7","U,0812,+","-1.7","U,1218","-2.8","U,1219","","","","","0.0","U,0305","","","","","","","","","","","","","     22.68","U","     28.68","U","     16.68","U"
