"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"NLM00006280","1949","53.1167","6.5831","4.0","EELDE 1, NL","","","","","","","","","         4","S","        62","S","         1","S","","","","","   32.2","S,0905, ","","","     13.68","S"
"NLM00006280","1951","53.1167","6.5831","4.0","EELDE 1, NL","       183","E","        99","E","         3","E","","","","","","","","","","","  34.6"," ,E,0801, ","","","    831.8"," ,E","",""
"NLM00006280","1952","53.1167","6.5831","4.0","EELDE 1, NL","       194","E","        95","E","         3","E","","","        14","S","        45","S","         0","S","","","  34.6"," ,E,0728, ","   28.9","S,0702, ","    838.1"," ,E","     12.02","S"
"NLM00006280","1953","53.1167","6.5831","4.0","EELDE 1, NL","       164","E","        76","E","         4","E","","","","","","","","","","","  36.2"," ,E,0822, ","","","    686.0"," ,E","",""
"NLM00006280","1954","53.1167","6.5831","4.0","EELDE 1, NL","       193","E","       102","E","         3","E","","","","","","","","","","","  39.2"," ,E,0519, ","","","    898.1"," ,E","",""
"NLM00006280","1955","53.1167","6.5831","4.0","EELDE 1, NL","       175","E","        73","E","         3","E","","","        30","S","        59","S","         0","S","","","  36.5"," ,E,0819, ","   27.8","S,0823,+","    722.8"," ,E","     11.91","S"
"NLM00006280","1956","53.1167","6.5831","4.0","EELDE 1, NL","       177","E","        89","E","         1","E","       22","","        27","S","        29","S","         0","S","   150"," ,E,0225,+","  25.7"," ,E,0530, ","   27.2","S,0709, ","    787.7"," ,E","     11.01","S"
"NLM00006280","1957","53.1167","6.5831","4.0","EELDE 1, NL","       193","E","       102","E","         3","E","        0","","","","","","","","    20"," ,E,1215,+","  28.2"," ,E,0712, ","","","    875.5"," ,E","",""
"NLM00006280","1958","53.1167","6.5831","4.0","EELDE 1, NL","       191","E","        96","E","         2","E","       11","","","","","","","","   150"," ,E,0125,+","  44.5"," ,E,0908, ","","","    818.2"," ,E","",""
"NLM00006280","1959","53.1167","6.5831","4.0","EELDE 1, NL","       136","E","        64","E","         0","E","       14","","","","","","","","   230"," ,E,0112, ","  20.6"," ,E,0711, ","","","    537.4"," ,E","",""
