"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00044590","1960","37.8","-120.65","103.9","KNIGHTS FERRY 2 SE, CA US","    797.7","","     797.7","0","        42","0","        27","0","         3","0","        0","","         0","0","         0","0","        37","0","         0","0","       206","0","       102","0","        18"," ","         1"," ","   -9.4","0,0102, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  33.5"," ,0,0209, ","   42.8","0,0721,+","0.0","0,1119","-2.2","0,1206","-5.6","0,1229","","","-0.6","0,0416","-2.2","0,0224","-5.6","0,0113","-7.2","0,0105","-9.4","0,0102","","","","","    373.2"," ,0","        0"," ,0","     15.85","0","     24.04","0","      7.66","0","",""
"USC00044590","1961","37.8","-120.65","103.9","KNIGHTS FERRY 2 SE, CA US","    704.8","","     704.8","0","        46","0","        30","0","         1","0","        0","","         0","0","         0","0","        40","0","         1","0","       203","0","        80","0","        35"," ","","","   -6.1","0,1211,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  34.8"," ,0,0126, ","   43.9","0,0622, ","0.0","0,1031","-6.1","0,1117","-6.1","0,1117","","","-0.6","0,0228","-2.2","0,0227","-5.0","0,0109","","","","","    1806.6","6","    1806.6","0","    303.9"," ,0","        0"," ,0","     15.15","0","     22.89","0","      7.41","0","",""
"USC00044590","1962","37.8","-120.65","103.9","KNIGHTS FERRY 2 SE, CA US","    618.8","","     618.8","0","        44","0","        28","0","         5","0","        1","","         1","0","         0","0","        42","0","         0","0","       200","0","        71","0","        29"," ","","","   -7.2","0,0227, ","    51"," ,0,0121, ","    48"," ,0,0121, ","  48.8"," ,0,1216, ","   38.9","0,0722,+","-2.2","0,1118","-2.2","0,1118","-5.0","0,1226","","","-0.6","0,0313","-2.8","0,0228","-7.2","0,0227","-7.2","0,0227","","","    1852.7","7","    1852.7","0","    434.9"," ,0","       48"," ,0","     15.23","0","     22.67","0","      7.79","0","",""
"USC00044590","1963","37.8","-120.65","103.9","KNIGHTS FERRY 2 SE, CA US","","","","","        59","0","        38","0","         7","0","        0","","         0","0","","","","","         0","0","       184","0","        68","0","         2"," ","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  65.0"," ,0,0201, ","   42.2","0,0927, ","","","","","","","","","","","","","","","","","","","    1584.7","7","    1584.7","0","    559.7"," ,0","        0"," ,0","","","     22.13","0","","","",""
"USC00044590","1964","37.8","-120.65","103.9","KNIGHTS FERRY 2 SE, CA US","","","","","        66","0","        44","0","         6","0","        0","","         0","0","         0","0","        60","0","         0","0","       200","0","        76","0","","","","","   -5.6","0,0214, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  41.4"," ,0,1029, ","   42.8","0,0626, ","-0.6","0,1114","-2.2","0,1116","","","","","0.0","0,0502","-5.0","0,0308","-5.0","0,0308","","","","","","","","","    521.9"," ,0","        0"," ,0","     14.91","0","     23.21","0","      6.61","0","",""
"USC00044590","1965","37.8","-120.65","103.9","KNIGHTS FERRY 2 SE, CA US","    495.4","","     495.4","0","        50","0","        35","0","         4","0","        0","","         0","0","         0","0","        30","0","         0","0","       205","0","        61","0","","","","","   -6.1","0,1219, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  88.4"," ,0,0313, ","   38.3","0,0716,+","0.0","0,1128","-2.8","0,1215","-4.4","0,1216","","","0.0","0,0225","-2.8","0,0212","-4.4","0,0210","","","","","","","","","    560.6"," ,0","        0"," ,0","     14.99","0","     22.60","0","      7.39","0","",""
"USC00044590","1966","37.8","-120.65","103.9","KNIGHTS FERRY 2 SE, CA US","    683.7","","     683.7","0","        39","0","        22","0","         4","0","        0","","         0","0","         0","0","        39","0","         0","0","       224","0","        80","0","","","","","   -5.0","0,0121,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  39.1"," ,0,0130, ","   41.1","0,0615, ","0.0","0,1124","-4.4","0,1227","-4.4","0,1227","","","-0.6","0,0322","-2.8","0,0317","-4.4","0,0304","","","","","    1516.8","8","    1516.8","0","    324.2"," ,0","        0"," ,0","     16.10","0","     24.12","0","      8.08","0","",""
"USC00044590","1967","37.8","-120.65","103.9","KNIGHTS FERRY 2 SE, CA US","    815.6","","     815.6","0","        58","0","        44","0","         3","0","        0","","         0","0","         0","0","        36","0","         0","0","       182","0","       104","0","","","","","   -7.8","0,1217, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  37.3"," ,0,0122, ","   40.6","0,0814,+","-3.3","0,1202","-3.3","0,1202","-4.4","0,1214","-7.2","0,1215","0.0","0,0428","-2.2","0,0123","-4.4","0,0108","","","","","    1734.1","1","    1734.1","0","    533.0"," ,0","        0"," ,0","     15.76","0","     23.50","0","      8.02","0","",""
"USC00044590","1968","37.8","-120.65","103.9","KNIGHTS FERRY 2 SE, CA US","    590.5","","     590.5","0","        47","0","        31","0","         4","0","        0","","         0","0","         0","0","        36","0","         0","0","       215","0","        79","0","","","","","   -7.2","0,0105, ","     0","T,0,1220, ","     3"," ,0,1220, ","  47.5"," ,0,1103, ","   41.1","0,0705, ","-0.6","0,1126","-2.8","0,1202","-5.6","0,1221","","","0.0","0,0422","-2.2","0,0418","-7.2","0,0105","-7.2","0,0105","","","    1491.8","8","    1491.8","0","    504.8"," ,0","        3"," ,0","     15.55","0","     23.67","0","      7.42","0","",""
"USC00044590","1969","37.8","-120.65","103.9","KNIGHTS FERRY 2 SE, CA US","","","","","        55","0","        41","0","         9","0","        0","","         0","0","","","","","         0","0","       203","0","        87","0","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  53.3"," ,0,1106, ","   40.0","0,0803, ","","","","","","","","","","","","","","","","","","","","","","","    688.6"," ,0","        0"," ,0","","","     23.56","0","","","",""
