"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES"
"ASN00086260","1969","-37.7567","145.0533","96.9","HEIDELBERG MMBW, AS","    716.8"," ,a"
"ASN00086260","1970","-37.7567","145.0533","96.9","HEIDELBERG MMBW, AS","    918.3"," ,a"
"ASN00086260","1971","-37.7567","145.0533","96.9","HEIDELBERG MMBW, AS","    937.8"," ,a"
"ASN00086260","1972","-37.7567","145.0533","96.9","HEIDELBERG MMBW, AS","    622.3"," ,a"
"ASN00086260","1973","-37.7567","145.0533","96.9","HEIDELBERG MMBW, AS","    957.6"," ,a"
"ASN00086260","1975","-37.7567","145.0533","96.9","HEIDELBERG MMBW, AS","    771.8"," ,a"
"ASN00086260","1976","-37.7567","145.0533","96.9","HEIDELBERG MMBW, AS","    613.7"," ,a"
"ASN00086260","1978","-37.7567","145.0533","96.9","HEIDELBERG MMBW, AS","    997.5"," ,a"
"ASN00086260","1979","-37.7567","145.0533","96.9","HEIDELBERG MMBW, AS","    591.7"," ,a"
"ASN00086260","1980","-37.7567","145.0533","96.9","HEIDELBERG MMBW, AS","    743.7"," ,a"
"ASN00086260","1981","-37.7567","145.0533","96.9","HEIDELBERG MMBW, AS","    695.0"," ,a"
"ASN00086260","1982","-37.7567","145.0533","96.9","HEIDELBERG MMBW, AS","    580.5"," ,a"
"ASN00086260","1983","-37.7567","145.0533","96.9","HEIDELBERG MMBW, AS","    746.6"," ,a"
"ASN00086260","1984","-37.7567","145.0533","96.9","HEIDELBERG MMBW, AS","    689.0"," ,a"
"ASN00086260","1986","-37.7567","145.0533","96.9","HEIDELBERG MMBW, AS","    606.1"," ,a"
"ASN00086260","1988","-37.7567","145.0533","96.9","HEIDELBERG MMBW, AS","    768.3"," ,a"
"ASN00086260","1989","-37.7567","145.0533","96.9","HEIDELBERG MMBW, AS","    908.2"," ,a"
"ASN00086260","1990","-37.7567","145.0533","96.9","HEIDELBERG MMBW, AS","    705.6"," ,a"
