"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00013833","2001","31.26951","-89.25609","44.7","HATTIESBURG CHAIN MUNICIPAL AIRPORT, MS US","       2.1","W","   1265.3","","    1265.3","W","       143","W","        74","W","        20","W","         0","W","        27","W","         0","W","       274","W","        66","W","","","","","","","   -7.8","W,0104, "," 118.9"," ,W,1013, ","   35.0","W,0804,+","-0.6","W,1121","-3.3","W,1226","","","","","-0.6","W,0310","-2.2","W,0206","-5.0","W,0121","-6.7","W,0110","","","","","","","   1662.4"," ,W","     19.13","W","     25.47","W","     12.79","W","       170","W","       150","W","      14.3","W","      20.1","W"
"USW00013833","2002","31.26951","-89.25609","44.7","HATTIESBURG CHAIN MUNICIPAL AIRPORT, MS US","       2.1","W","","","","","       135","W","        80","W","        22","W","","","","","","","","","","","","","","","","","",""," 100.8"," ,W,0926, ","","","","","","","","","","","","","","","","","","","","","     944.8","8","     944.8","W","   1641.4"," ,W","","","","","","","       290","W","       360","W","      17.9","W","      65.7","W"
"USW00013833","2003","31.26951","-89.25609","44.7","HATTIESBURG CHAIN MUNICIPAL AIRPORT, MS US","       2.1","W","   1280.0","","    1280.0","W","       132","W","        76","W","        20","W","         0","W","        46","W","         0","W","       268","W","        71","W","","","","","","","   -8.9","W,0124, "," 134.1"," ,W,0630, ","   35.0","W,0717, ","-3.3","W,1125","-3.3","W,1125","","","","","-1.1","W,0331","-3.3","W,0211","-4.4","W,0125","-8.9","W,0124","-8.9","W,0124","","","","","   1446.0"," ,W","     18.62","W","     24.84","W","     12.39","W","       280","W","       180","W","      13.4","W","      18.3","W"
"USW00013833","2004","31.26951","-89.25609","44.7","HATTIESBURG CHAIN MUNICIPAL AIRPORT, MS US","       2.2","W","   1353.0","","    1353.0","W","       114","W","        77","W","        18","W","         0","W","        36","W","         0","W","       273","W","        72","W","","","","","","","   -5.6","W,0128, ","  87.4"," ,W,0601, ","   36.1","W,0725,+","-0.6","W,1203","-4.4","W,1215","-4.4","W,1215","","","0.0","W,0228","-2.2","W,0218","-5.0","W,0208","","","","","    1142.1","1","    1142.1","W","   1438.0"," ,W","     19.04","W","     25.16","W","     12.92","W","       300","W","       310","W","      16.1","W","      21.9","W"
"USW00013833","2005","31.26951","-89.25609","44.7","HATTIESBURG CHAIN MUNICIPAL AIRPORT, MS US","","","","","","","        93","0","        62","0","        12","0","","","","","","","","","","","       237"," ","        44"," ","        62"," ","","","  72.9"," ,0,0401, ","","","","","","","","","","","","","","","","","","","","","     985.3","3","     985.3","0","   1029.3"," ,0","","","","","","","","","","","","","",""
"USW00013833","2006","31.26951","-89.25609","44.7","HATTIESBURG CHAIN MUNICIPAL AIRPORT, MS US","       2.3","W","   1521.5","","    1521.5","0","        95","0","        71","0","        12","0","         0","0","        37","0","         0","0","       276","0","       125","0","       244"," ","        53"," ","        57"," ","   -6.7","0,1209, ","  56.6"," ,0,0225, ","   39.4","0,0815, ","0.0","0,1104","-2.2","0,1121","-5.6","0,1205","-6.7","0,1209","0.0","0,0326","-2.8","0,0214","-5.0","0,0213","","","","","","","","","   1164.7"," ,0","     19.73","0","     26.58","0","     12.87","0","       350","X","       360","X","      20.6","X","      26.8","X"
"USW00013833","2007","31.26951","-89.25609","44.7","HATTIESBURG CHAIN MUNICIPAL AIRPORT, MS US","       1.9","W","   1478.1","","    1478.1","0","       110","0","        71","0","        13","0","         0","0","        33","0","         0","0","       280","0","       105","0","       244"," ","        51"," ","        80"," ","   -6.1","0,0129, "," 101.9"," ,0,1022, ","   39.4","0,0812,+","0.0","0,1108","-3.9","0,1217","","","","","-0.6","0,0306","-2.2","0,0305","-5.0","0,0216","","","","","    1107.0","0","    1107.0","0","   1190.5"," ,0","     19.66","0","     26.31","0","     13.00","0","       150","X","       190","X","      13.9","X","      17.9","X"
"USW00013833","2008","31.26951","-89.25609","44.7","HATTIESBURG CHAIN MUNICIPAL AIRPORT, MS US","       2.2","W","   1459.1","","    1459.1","0","       111","0","        80","0","        18","0","         0","0","        36","0","         0","0","       281","0","       100","0","       224"," ","        35"," ","        91"," ","   -6.7","0,0103, ","  93.5"," ,0,0902, ","   38.3","0,0721,+","-0.6","0,1029","-2.8","0,1119","-5.6","0,1122","","","-1.1","0,0325","-3.9","0,0214","-6.1","0,0121","-6.7","0,0103","","","     947.7","7","     947.7","0","   1454.5"," ,0","     19.39","0","     26.01","0","     12.78","0","       180","X","       330","X","      14.3","X","      26.4","X"
"USW00013833","2009","31.26951","-89.25609","44.7","HATTIESBURG CHAIN MUNICIPAL AIRPORT, MS US","       2.2","W","   1440.5","","    1440.5","0","       122","0","        86","0","        23","0","         0","0","        35","0","         0","0","       271","0","        85","0","       222"," ","        52"," ","        79"," ","   -6.1","0,0121, "," 134.6"," ,0,0412, ","   40.0","0,0702, ","0.0","0,1126","-2.2","0,1127","","","","","-1.7","0,0304","-2.8","0,0220","-5.0","0,0205","","","","","    1000.0","0","    1000.0","0","   1724.8"," ,0","     19.30","0","     25.54","0","     13.07","0","       290","X","       280","X","      18.3","X","      27.3","X"
"USW00013833","2010","31.26951","-89.25609","44.7","HATTIESBURG CHAIN MUNICIPAL AIRPORT, MS US","       2.1","W","   1511.0","","    1511.0","0","       110","0","        74","0","         7","0","         0","0","        61","0","         0","0","       258","0","       119","0","       236"," ","        42"," ","        83"," ","   -9.4","0,0111, ","  87.6"," ,0,0204, ","   39.4","0,0802, ","-1.1","0,1106","-2.8","0,1206","-5.6","0,1207","-7.2","0,1209","-0.6","0,0307","-2.2","0,0305","-4.4","0,0216","-6.7","0,0113","-9.4","0,0111","    1408.8","8","    1408.8","0","   1014.5"," ,0","     18.63","0","     25.36","0","     11.89","0","       180","X","","","      16.1","X","",""
