"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00042092","1935","36.53333","-116.88333","-46.0","COW CREEK, CA US","   3153.5","","    3153.5","6","         8","6","         5","6","         0","6","","","","","         0","6","         2","6","         0","6","       292","6","       189","6","","","","","   -0.6","6,1217, ","","","","","  12.7"," ,6,0206, ","   50.6","6,0713, ","","","-0.6","6,1217","","","","","","","","","","","","","","","     36.1"," ,6","","","     25.38","6","     32.25","6","     18.51","6","",""
"USC00042092","1936","36.53333","-116.88333","-46.0","COW CREEK, CA US","   3212.1","","    3212.1","6","        23","6","         9","6","         0","6","","","","","         0","6","         2","6","         0","6","       298","6","       199","6","","","","","   -1.1","6,1213, ","","","","","  10.7"," ,6,1002, ","   51.7","6,0804, ","","","0.0","6,1212","","","","","","","","","","","     573.2","2","     573.2","6","     66.9"," ,6","","","     25.39","6","     33.13","6","     17.65","6","",""
"USC00042092","1937","36.53333","-116.88333","-46.0","COW CREEK, CA US","   2976.6","","    2976.6","6","         9","6","         7","6","         0","6","","","","","         0","6","        23","6","         0","6","       307","6","       193","6","","","","","   -7.2","6,0125,+","","","","","   5.6"," ,6,0402, ","   51.1","6,0812,+","","","","","","","-0.6","6,0202","-3.9","6,0127","-7.2","6,0125","-7.2","6,0125","     916.2","2","     916.2","6","     27.5"," ,6","","","     24.33","6","     32.30","6","     16.36","6","",""
"USC00042092","1938","36.53333","-116.88333","-46.0","COW CREEK, CA US","   2980.3","","    2980.3","6","        18","6","        13","6","         0","6","","","","","         0","6","         0","6","         0","6","       296","6","       176","6","","","","","    1.1","6,1126,+","","","","","  15.0"," ,6,1219, ","   51.7","6,0802,+","","","","","","","","","","","","","","","     440.3","3","     440.3","6","     86.7"," ,6","","","     25.02","6","     32.01","6","     18.04","6","",""
"USC00042092","1939","36.53333","-116.88333","-46.0","COW CREEK, CA US","","","","","        18","6","        11","6","         1","6","","","","","         0","6","         0","6","         0","6","       289","6","       203","6","","","","","    0.6","6,0206,+","","","","","  27.7"," ,6,0925, ","   50.0","6,0817,+","","","","","","","","","","","","","","","","","","","     86.8"," ,6","","","     25.06","6","     32.41","6","     17.70","6","",""
"USC00042092","1940","36.53333","-116.88333","-46.0","COW CREEK, CA US","   3165.9","","    3165.9","6","        11","6","         6","6","         0","6","","","","","         0","6","         6","6","         0","6","       291","6","       199","6","","","","","   -2.8","6,1215, ","","","","","  23.4"," ,6,0201, ","   50.6","6,0811,+","","","-2.8","6,1215","-2.8","6,1215","0.0","6,0117","","","","","","","     502.6","6","     502.6","6","     60.8"," ,6","","","     25.42","6","     32.55","6","     18.29","6","",""
"USC00042092","1941","36.53333","-116.88333","-46.0","COW CREEK, CA US","   2706.5","","    2706.5","6","        30","6","        13","6","         0","6","","","","","         0","6","         0","6","         0","6","       288","6","       178","6","","","","","    1.1","6,0103, ","","","","","  14.7"," ,6,0126, ","   51.1","6,0722, ","","","","","","","","","","","","","","","     572.2","2","     572.2","6","    107.0"," ,6","","","     24.14","6","     31.15","6","     17.13","6","",""
"USC00042092","1942","36.53333","-116.88333","-46.0","COW CREEK, CA US","","","","","         9","6","         4","6","         0","6","","","","","         0","6","         6","6","","","","","","","","","","","   -2.8","6,0104, ","","","","","   9.7"," ,6,0811, ","","","","","0.0","6,1209","","","-0.6","6,0109","-2.8","6,0104","","","","","","","","","     23.9"," ,6","","","","","","","     16.94","6","",""
"USC00042092","1943","36.53333","-116.88333","-46.0","COW CREEK, CA US","   3170.8","","    3170.8","6","        19","6","        12","6","         0","6","","","","","         0","6","         3","6","         0","6","       314","6","       196","6","","","","","   -3.9","6,0119, ","","","","","  22.9"," ,6,0222, ","   51.1","6,0727, ","","","","","","","-1.1","6,0120","-3.9","6,0119","","","","","     488.9","9","     488.9","6","     98.1"," ,6","","","     25.69","6","     32.99","6","     18.38","6","",""
"USC00042092","1944","36.53333","-116.88333","-46.0","COW CREEK, CA US","   2847.7","","    2847.7","6","        11","6","         5","6","         0","6","","","","","         0","6","         0","6","         0","6","       282","6","       186","6","","","","","    0.6","6,1219,+","","","","","  18.5"," ,6,0222, ","   50.6","6,0813, ","","","","","","","","","","","","","","","     550.0","0","     550.0","6","     52.2"," ,6","","","     24.38","6","     31.69","6","     17.06","6","",""
"USC00042092","1945","36.53333","-116.88333","-46.0","COW CREEK, CA US","   2853.4","","    2853.4","6","        26","6","         8","6","         0","6","","","","","         0","6","         4","6","         0","6","       285","6","       186","6","","","","","   -0.6","6,1220,+","","","","","   5.6"," ,6,1222, ","   51.7","6,0726, ","","","-0.6","6,1214","","","0.0","6,0103","","","","","","","     621.8","8","     621.8","6","     49.4"," ,6","","","     24.27","6","     31.98","6","     16.56","6","",""
"USC00042092","1946","36.53333","-116.88333","-46.0","COW CREEK, CA US","   2966.0","","    2966.0","6","        17","6","         7","6","         0","6","","","         0","6","         0","6","         4","6","         0","6","       282","6","       184","6","","","","","   -1.1","6,0201, ","","","     0"," ,6,1231,+","  21.3"," ,6,1226, ","   50.6","6,0804,+","","","","","","","-0.6","6,0210","","","","","","","     746.6","6","     746.6","6","     70.6"," ,6","        0"," ,6","     24.67","6","     32.25","6","     17.10","6","",""
"USC00042092","1947","36.53333","-116.88333","-46.0","COW CREEK, CA US","","","","","        10","6","         2","6","         0","6","","","","","","","","","","","","","","","","","","","","","","","","","  10.7"," ,6,1205, ","","","","","","","","","","","","","","","","","","","","","     21.6"," ,6","","","","","","","","","",""
"USC00042092","1948","36.53333","-116.88333","-46.0","COW CREEK, CA US","","","","","         8","0","         0","0","         0","0","","","         0","0","         0","0","         3","0","","","","","","","","","","","   -2.2","0,0129, ","","","     0"," ,0,1231,+","   2.0"," ,0,0601, ","","","","","0.0","0,1224","","","-2.2","6,0129","-2.2","6,0129","","","","","","","","","      7.9"," ,0","        0"," ,0","","","","","     17.23","0","",""
"USC00042092","1949","36.53333","-116.88333","-46.0","COW CREEK, CA US","   3148.6","","    3148.6","0","        19","0","        10","0","         0","0","        1","","         0","0","         0","0","        16","0","         0","0","       290","0","       188","0","","","         2"," ","   -3.3","0,0105, ","   102"," ,0,0112, ","     0"," ,0,1231,+","  16.8"," ,0,0227, ","   52.2","0,0716, ","","","-0.6","0,1212","","","-0.6","0,0216","-3.3","0,0105","","","","","     907.0","0","     907.0","0","     87.6"," ,0","      102"," ,0","     24.68","0","     31.58","0","     17.78","0","",""
"USC00042092","1950","36.53333","-116.88333","-46.0","COW CREEK, CA US","   3237.0","","    3237.0","0","         8","0","         2","0","         0","0","        0","","         0","0","         0","0","         8","0","         0","0","       318","0","       203","0","","","","","   -4.4","0,0105, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  12.2"," ,0,0726, ","   51.7","0,0715,+","","","","","","","-0.6","0,0127","-3.3","0,0107","-4.4","0,0105","","","     595.1","1","     595.1","0","     25.2"," ,0","        0"," ,0","     25.67","0","     33.46","0","     17.89","0","",""
"USC00042092","1951","36.53333","-116.88333","-46.0","COW CREEK, CA US","   3099.2","","    3099.2","0","        12","0","         2","0","         0","0","        0","","         0","0","         0","0","         4","0","         0","0","       297","0","       185","0","","","","","   -1.1","0,1223, ","     0"," ,0,1231,+","     0"," ,0,1231,+","   3.0"," ,0,1212, ","   51.7","0,0718, ","","","-0.6","0,1221","","","-0.6","0,0109","","","","","","","     562.4","4","     562.4","0","     18.2"," ,0","        0"," ,0","     25.03","0","     32.59","0","     17.47","0","",""
