"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00198376","1890","41.9","-71.1","12.2","TAUNTON NUMBER 184, MA US","","","","","","","","","","","         2"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00198376","1891","41.9","-71.1","12.2","TAUNTON NUMBER 184, MA US","","","","","","","","","","","         8"," ","         1"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00198376","1893","41.9","-71.1","12.2","TAUNTON NUMBER 184, MA US","        11","6","       142","6","        40","6","       130","6","        16","6","","","","","  -28.3","6,0117, ","   35.0","6,0722,+","-1.7","6,1017","-2.2","6,1019","-6.7","6,1101","-6.7","6,1101","-9.4","6,1111","-1.1","6,0508","-2.2","6,0426","-5.6","6,0411","-6.7","6,0407","-9.4","6,0319","      8.40","6","     14.66","6","      2.13","6"
"USC00198376","1894","41.9","-71.1","12.2","TAUNTON NUMBER 184, MA US","         6","6","       140","6","        27","6","       141","6","        19","6","","","","","  -25.0","6,0206, ","   36.7","6,0729, ","0.0","6,1008","-5.6","6,1107","-5.6","6,1107","-6.7","6,1108","-10.6","6,1113","0.0","6,0515","-2.2","6,0416","-7.8","6,0403","-7.8","6,0403","-11.1","6,0228","      9.63","6","     15.68","6","      3.58","6"
