"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"MXN00015329","1985","18.4833","-100.2167","933.0","MOCTEZUMA, MX","        71","m","        71","m","        19","m","  32.8"," ,m,0802, ","","","","","   1391.5"," ,m"
"MXN00015329","1988","18.4833","-100.2167","933.0","MOCTEZUMA, MX","","","","","","","","","       0.0","0","       0.0","m","",""
