"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UPM00033759","1960","47.333","29.883","191.0","ZATIS E, UP","       108","I","        50","I","         1","I","","","","","","","  35.8"," ,I,0612, ","","","","","","","","","","","","","","","","","","","","","    550.8"," ,I","",""
"UPM00033759","1961","47.333","29.883","191.0","ZATIS E, UP","       103","I","        47","I","         1","I","","","","","","","  28.2"," ,I,0725, ","","","","","","","","","","","","","","","","","","","","","    393.0"," ,I","",""
"UPM00033759","1962","47.333","29.883","191.0","ZATIS E, UP","       111","I","        51","I","         1","I","","","","","","","  26.3"," ,I,0530, ","","","","","","","","","","","","","","","","","","","","","    539.1"," ,I","",""
"UPM00033759","1963","47.333","29.883","191.0","ZATIS E, UP","        89","I","        48","I","         0","I","","","","","","","  19.2"," ,I,0621, ","","","","","","","","","","","","","","","","","","","","","    405.6"," ,I","",""
"UPM00033759","1964","47.333","29.883","191.0","ZATIS E, UP","        87","I","        37","I","         0","I","","","","","","","  20.4"," ,I,0612, ","","","","","","","","","","","","","","","","","","","","","    323.4"," ,I","",""
"UPM00033759","1965","47.333","29.883","191.0","ZATIS E, UP","        97","I","        50","I","         2","I","","","","","","","  44.2"," ,I,0913, ","","","","","","","","","","","","","","","","","","","","","    494.6"," ,I","",""
"UPM00033759","1966","47.333","29.883","191.0","ZATIS E, UP","       136","I","        73","I","         3","I","","","","","","","  31.7"," ,I,1102, ","","","","","","","","","","","","","","","","","","","","","    692.3"," ,I","",""
"UPM00033759","1967","47.333","29.883","191.0","ZATIS E, UP","        99","I","        43","I","         2","I","","","","","","","  27.4"," ,I,0211, ","","","","","","","","","","","","","","","","","","","","","    373.6"," ,I","",""
"UPM00033759","1968","47.333","29.883","191.0","ZATIS E, UP","       112","I","        59","I","         2","I","","","","","","","  33.1"," ,I,0927, ","","","","","","","","","","","","","","","","","","","","","    569.5"," ,I","",""
"UPM00033759","1969","47.333","29.883","191.0","ZATIS E, UP","       119","I","        48","I","         0","I","","","","","","","  19.2"," ,I,0811, ","","","","","","","","","","","","","","","","","","","","","    432.9"," ,I","",""
"UPM00033759","1970","47.333","29.883","191.0","ZATIS E, UP","       129","I","        56","I","         3","I","","","","","","","  56.0"," ,I,0718, ","","","","","","","","","","","","","","","","","","","","","    617.7"," ,I","",""
"UPM00033759","1971","47.333","29.883","191.0","ZATIS E, UP","       122","I","        53","I","         4","I","","","","","","","  71.2"," ,I,0619, ","","","","","","","","","","","","","","","","","","","","","    611.4"," ,I","",""
"UPM00033759","1972","47.333","29.883","191.0","ZATIS E, UP","        97","I","        44","I","         1","I","","","","","","","  28.2"," ,I,0818, ","","","","","","","","","","","","","","","","","","","","","    407.2"," ,I","",""
"UPM00033759","1973","47.333","29.883","191.0","ZATIS E, UP","       114","I","        47","I","         3","I","","","","","","","  39.1"," ,I,1216, ","","","","","","","","","","","","","","","","","","","","","    482.6"," ,I","",""
