"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00423032","1897","38.45","-113.266667","1996.4","FRISCO, UT US","","","","","        32","6","        25","6","         0","6","","","","","","","","","","","","","","","  20.3"," ,6,1201, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    152.1"," ,6","","","","","",""
"USC00423032","1898","38.45","-113.266667","1996.4","FRISCO, UT US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    3317.9","9","    3317.9","6","","","","","","","",""
"USC00423032","1899","38.45","-113.266667","1996.4","FRISCO, UT US","    399.7","","     399.7","6","        29","6","        22","6","         1","6","         3","6","       143","6","        12","6","       141","6","        27","6","","","  -22.8","6,0206, ","  26.7"," ,6,0326, ","   37.8","6,0724, ","-0.6","6,1003","-3.3","6,1012","-5.0","6,1118","-6.7","6,1203","-8.9","6,1206","0.0","6,0521","-5.0","6,0503","-5.0","6,0503","-7.2","6,0502","-10.0","6,0327","","","","","    165.9"," ,6","     10.48","6","     17.19","6","      3.76","6"
"USC00423032","1900","38.45","-113.266667","1996.4","FRISCO, UT US","","","","","","","","","","","","","","","","","","","","","         6"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00423032","1901","38.45","-113.266667","1996.4","FRISCO, UT US","","","","","        41","6","        31","6","         1","6","","","","","","","","","","","","","","","  34.5"," ,6,0722, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    255.7"," ,6","","","","","",""
"USC00423032","1902","38.45","-113.266667","1996.4","FRISCO, UT US","","","","","        29","6","        15","6","         0","6","","","","","","","","","","","","","","","  19.8"," ,6,1120, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    141.8"," ,6","","","","","",""
"USC00423032","1903","38.45","-113.266667","1996.4","FRISCO, UT US","    406.2","","     406.2","6","        37","6","        26","6","         1","6","         9","6","       151","6","        19","6","       142","6","        31","6","","","  -21.1","6,0213, ","  27.7"," ,6,0517, ","   36.7","6,0627, ","-2.8","6,1030","-2.8","6,1030","-7.2","6,1110","-7.2","6,1110","-9.4","6,1117","-0.6","6,0524","-3.3","6,0522","-4.4","6,0519","-6.7","6,0413","-8.9","6,0412","    3567.1","1","    3567.1","6","    272.2"," ,6","      9.76","6","     16.84","6","      2.67","6"
"USC00423032","1904","38.45","-113.266667","1996.4","FRISCO, UT US","    343.6","","     343.6","6","","","","","","","         0","6","       127","6","        11","6","       140","6","        22","6","         1"," ","  -16.7","6,1227, ","","","   37.2","6,0726, ","-1.7","6,1016","-3.9","6,1017","-4.4","6,1018","-8.3","6,1204","-9.4","6,1205","-1.1","6,0502","-4.4","6,0424","-4.4","6,0424","-7.8","6,0331","-9.4","6,0325","    3090.0","0","    3090.0","6","","","     10.75","6","     17.86","6","      3.64","6"
"USC00423032","1905","38.45","-113.266667","1996.4","FRISCO, UT US","    447.8","","     447.8","6","        63","6","        41","6","         1","6","         3","6","       159","6","         8","6","       148","6","        42","6","","","  -27.8","6,0212, ","  27.2"," ,6,0929, ","   38.3","6,0710, ","-1.1","6,0930","-2.2","6,1009","-5.0","6,1019","-7.2","6,1124","-10.0","6,1129","-2.2","6,0511","-2.2","6,0511","-5.0","6,0510","-7.8","6,0331","-10.0","6,0215","    2979.3","3","    2979.3","6","    300.1"," ,6","     10.70","6","     18.07","6","      3.32","6"
"USC00423032","1909","38.45","-113.266667","1996.4","FRISCO, UT US","","","","","","","","","","","         6","6","       151","6","","","","","","","","","  -22.8","6,1206, ","","","","","0.0","6,1005","-2.2","6,1008","-6.1","6,1031","-6.7","6,1113","-9.4","6,1114","-1.1","6,0524","-2.2","6,0501","-5.0","6,0430","-6.7","6,0407","-11.7","6,0312","","","","","","","","","","","      2.73","6"
