"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00297060","1910","31.95","-108.9","1348.7","PRATT, NM US","","","","","        18","6","        16","6","         1","6","         0","6","","","","","","","","","","","","","     0"," ,6,1231,+","  33.0"," ,6,0714, ","","","","","","","","","","","","","","","","","","","    158.7"," ,6","        0"," ,6","","","","","",""
"USC00297060","1911","31.95","-108.9","1348.7","PRATT, NM US","","","","","        40","6","        36","6","         2","6","","","","","","","","","","","","","","","","","  28.4"," ,6,1214, ","","","","","","","","","","","","","","","","","","","    344.2"," ,6","","","","","","","",""
"USC00297060","1912","31.95","-108.9","1348.7","PRATT, NM US","","","","","        30","6","        24","6","         2","6","         3","6","","","","","","","","","","","","","   203"," ,6,1206, ","  30.5"," ,6,0901, ","","","","","","","","","","","","","","","","","","","    242.7"," ,6","      356"," ,6","","","","","",""
"USC00297060","1913","31.95","-108.9","1348.7","PRATT, NM US","    800.9","","     800.9","6","        44","6","        32","6","         3","6","         4","6","         2","6","        76","6","         4","6","       218","6","        73","6","  -18.9","6,0108, ","    76"," ,6,0111, ","  50.8"," ,6,0207, ","   39.4","6,0709, ","-1.1","6,1027","-2.2","6,1203","-4.4","6,1222","-1.1","6,0425","-5.6","6,0327","-5.6","6,0327","-6.7","6,0128","-13.3","6,0112","    340.7"," ,6","      190"," ,6","     15.44","6","     22.74","6","      8.14","6"
