"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USC00244174","1984","48.7262","-110.456","899.2","HINGHAM 12 N, MT US","","","","","        44","0","        18","0","         0","0","","","","","","","","","","","","","","","","","","","","","","","","","  15.7"," ,0,0831, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    135.1"," ,0","","","","","","","","","",""
"USC00244174","1985","48.7262","-110.456","899.2","HINGHAM 12 N, MT US","","","","","        64","0","        36","0","         0","0","","","","","","","","","","","","","","","","","","","","","","","","","  22.4"," ,0,0529, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    293.3"," ,0","","","","","","","","","",""
"USC00244174","1986","48.7262","-110.456","899.2","HINGHAM 12 N, MT US","","","","","        73","0","        39","0","         2","0","","","","","","","","","","","","","","","         6"," ","","","","","","","","","  35.6"," ,0,0924, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    391.8"," ,0","","","","","","","","","",""
"USC00244174","1987","48.7262","-110.456","899.2","HINGHAM 12 N, MT US","","","","","        35","0","        19","0","         1","0","","","","","","","","","","","","","","","         5"," ","","","","","","","","","  27.9"," ,0,0718, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    194.6"," ,0","","","","","","","","","",""
"USC00244174","1988","48.7262","-110.456","899.2","HINGHAM 12 N, MT US","","","","","        33","0","        16","0","         1","0","","","","","","","","","","","","","","","","","","","","","","","","","  26.9"," ,0,0917, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    153.2"," ,0","","","","","","","","","",""
"USC00244174","1989","48.7262","-110.456","899.2","HINGHAM 12 N, MT US","","","","","        64","0","        40","0","         1","0","","","        15","0","","","","","","","","","","","         2"," ","","","","","","","   152"," ,0,1214, ","  37.8"," ,0,0825, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    342.0"," ,0","     1217"," ,0","","","","","","","",""
"USC00244174","1990","48.7262","-110.456","899.2","HINGHAM 12 N, MT US","","","","","        49","0","        20","0","         2","0","","","","","","","","","","","","","","","         2"," ","","","","","","","","","  56.6"," ,0,0524, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    234.2"," ,0","","","","","","","","","",""
"USC00244174","1991","48.7262","-110.456","899.2","HINGHAM 12 N, MT US","","","","","        53","0","        34","0","         0","0","","","        10","0","","","","","","","","","","","         2"," ","","","","","","","   140"," ,0,1026, ","  22.6"," ,0,0620, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    287.9"," ,0","      659"," ,0","","","","","","","",""
"USC00244174","1992","48.7262","-110.456","899.2","HINGHAM 12 N, MT US","","","","","        58","0","        33","0","         0","0","","","         2","0","","","","","","","","","","","         2"," ","","","","","","","   229"," ,0,1230, ","  22.6"," ,0,0629, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    266.4"," ,0","      420"," ,0","","","","","","","",""
"USC00244174","1993","48.7262","-110.456","899.2","HINGHAM 12 N, MT US","","","","","        71","0","        44","0","         3","0","","","","","","","","","","","","","","","","","","","","","","","","","  30.7"," ,0,0821, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    435.5"," ,0","","","","","","","","","",""
"USC00244174","1994","48.7262","-110.456","899.2","HINGHAM 12 N, MT US","","","","","        49","0","        26","0","         0","0","","","         9","0","","","","","","","","","","","","","","","","","","","   127"," ,0,0116, ","  18.3"," ,0,0606, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    189.4"," ,0","      614"," ,0","","","","","","","",""
"USC00244174","1995","48.7262","-110.456","899.2","HINGHAM 12 N, MT US","","","","","        66","0","        37","0","         2","0","","","         4","0","","","","","","","","","","","","","","","","","","","    38"," ,0,1211,+","  63.5"," ,0,0606, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    377.6"," ,0","      139"," ,0","","","","","","","",""
"USC00244174","1996","48.7262","-110.456","899.2","HINGHAM 12 N, MT US","","","","","        54","0","        32","0","         1","0","","","        15","0","","","","","","","","","","","","","","","","","","","   152"," ,0,0303, ","  26.7"," ,0,0622, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    255.7"," ,0","      990"," ,0","","","","","","","",""
"USC00244174","1997","48.7262","-110.456","899.2","HINGHAM 12 N, MT US","","","","","        41","0","        28","0","         1","0","","","         5","0","","","","","","","","","","","","","","","","","","","   102"," ,0,0310,+","  28.4"," ,0,0525, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    227.3"," ,0","      344"," ,0","","","","","","","",""
"USC00244174","1998","48.7262","-110.456","899.2","HINGHAM 12 N, MT US","","","","","        54","0","        25","0","         0","0","","","         7","0","","","","","","","","","","","         9"," ","","","","","","","    89"," ,0,1118,+","  14.7"," ,0,0704, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    218.3"," ,0","      383"," ,0","","","","","","","",""
"USC00244174","1999","48.7262","-110.456","899.2","HINGHAM 12 N, MT US","","","","","        57","0","        31","0","         0","0","","","         2","0","","","","","","","","","","","         2"," ","         5"," ","","","","","   127"," ,0,0106, ","  18.3"," ,0,0603, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    222.9"," ,0","      263"," ,0","","","","","","","",""
"USC00244174","2000","48.7262","-110.456","899.2","HINGHAM 12 N, MT US","","","","","        62","0","        19","0","         1","0","","","         8","0","","","","","","","","","","","         1"," ","","","","","","","   152"," ,0,0414, ","  27.4"," ,0,0601, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    164.4"," ,0","      616"," ,0","","","","","","","",""
"USC00244174","2001","48.7262","-110.456","899.2","HINGHAM 12 N, MT US","","","","","        39","0","        18","0","         1","0","        5","","         4","0","","","","","","","","","","","","","","","","","    25"," ,0,1130,+","    64"," ,0,0226, ","  28.4"," ,0,0801, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    146.7"," ,0","      232"," ,0","","","","","","","",""
"USC00244174","2002","48.7262","-110.456","899.2","HINGHAM 12 N, MT US","","","","","        66","0","        37","0","         4","0","        0","","         3","0","","","","","","","","","","","","","","","","","     0","T,0,1030,+","   117"," ,0,0523, ","  42.2"," ,0,0522, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    394.9"," ,0","      244"," ,0","","","","","","","",""
"USC00244174","2003","48.7262","-110.456","899.2","HINGHAM 12 N, MT US","","","","","        57","0","        21","0","         0","0","        2","","         7","0","","","","","","","","","","","         1"," ","         3"," ","","","    25"," ,0,1031,+","    76"," ,0,1227, ","  24.1"," ,0,0620, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    208.0"," ,0","      265"," ,0","","","","","","","",""
"USC00244174","2004","48.7262","-110.456","899.2","HINGHAM 12 N, MT US","","","","","        68","0","        33","0","         1","0","        0","","         0","0","","","","","","","","","","","        13"," ","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  27.9"," ,0,0824, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    254.5"," ,0","        0"," ,0","","","","","","","",""
"USC00244174","2005","48.7262","-110.456","899.2","HINGHAM 12 N, MT US","","","","","        60","0","        29","0","         0","0","","","         3","0","","","","","","","","","","","         5"," ","         1"," ","","","","","    76"," ,0,0323, ","  23.9"," ,0,0628, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    215.1"," ,0","      178"," ,0","","","","","","","",""
"USC00244174","2006","48.7262","-110.456","899.2","HINGHAM 12 N, MT US","","","","","        57","0","        29","0","         0","0","","","         3","0","","","","","","","","","","","         4"," ","         1"," ","","","","","    76"," ,0,0320, ","  19.8"," ,0,0615, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    224.7"," ,0","      160"," ,0","","","","","","","",""
"USC00244174","2007","48.7262","-110.456","899.2","HINGHAM 12 N, MT US","","","","","        65","0","        32","0","         0","0","","","         3","0","","","","","","","","","","","         1"," ","         6"," ","","","","","   102"," ,0,0212, ","  19.3"," ,0,0617, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    297.4"," ,0","      191"," ,0","","","","","","","",""
"USC00244174","2008","48.7262","-110.456","899.2","HINGHAM 12 N, MT US","","","","","        58","0","        29","0","         1","0","","","         3","0","","","","","","","","","","","         5"," ","         2"," ","","","","","   102"," ,0,0201, ","  31.0"," ,0,0901, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    256.3"," ,0","      204"," ,0","","","","","","","",""
"USC00244174","2009","48.7262","-110.456","899.2","HINGHAM 12 N, MT US","","","","","        60","0","        27","0","         0","0","        2","","         1","0","","","","","","","","","","","         3"," ","         1"," ","","","    76"," ,0,0404,+","    76"," ,0,0115, ","  15.7"," ,0,0706, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    205.8"," ,0","       76"," ,0","","","","","","","",""
"USC00244174","2010","48.7262","-110.456","899.2","HINGHAM 12 N, MT US","","","","","        74","0","        39","0","         1","0","        0","","         2","0","","","","","","","","","","","        12"," ","         2"," ","","","     0"," ,0,1231,+","    51"," ,0,1220,+","  35.8"," ,0,0529, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    341.0"," ,0","      102"," ,0","","","","","","","",""
"USC00244174","2011","48.7262","-110.456","899.2","HINGHAM 12 N, MT US","","","","","        67","K","        36","K","         0","K","","","","","","","","","","","","","","","","","","","","","","","","","  22.9"," ,K,0604,+","","","","","","","","","","","","","","","","","","","","","","","","","","","    303.7"," ,K","","","","","","","","","",""
"USC00244174","2012","48.7262","-110.456","899.2","HINGHAM 12 N, MT US","","","","","        64","7","        36","7","         0","7","","","","","","","","","","","","","","","         3"," ","         2"," ","","","","","","","  17.5"," ,7,0428, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    285.0"," ,7","","","","","","","","","",""
"USC00244174","2013","48.7262","-110.456","899.2","HINGHAM 12 N, MT US","","","","","        63","7","        33","7","         2","7","","","","","","","","","","","","","","","         1"," ","","","","","","","","","  42.9"," ,7,0603, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    367.4"," ,7","","","","","","","","","",""
"USC00244174","2014","48.7262","-110.456","899.2","HINGHAM 12 N, MT US","","","","","        71","7","        35","7","         0","7","","","","","","","","","","","","","","","         3"," ","","","","","","","","","  17.5"," ,7,0823, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    255.9"," ,7","","","","","","","","","",""
"USC00244174","2015","48.7262","-110.456","899.2","HINGHAM 12 N, MT US","","","","","        65","7","        24","7","         0","7","","","","","","","","","","","","","","","         4"," ","","","","","","","","","  23.6"," ,7,0728, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    244.8"," ,7","","","","","","","","","",""
"USC00244174","2016","48.7262","-110.456","899.2","HINGHAM 12 N, MT US","    135.7","","     135.7","7","        80","7","        33","7","         2","7","","","","","        21","7","       167","7","        37","7","       121","7","        13","7","         1"," ","","","  -29.4","7,1217,+","","","","","  43.2"," ,7,0415, ","   36.7","7,0722, ","-4.4","7,1006","-4.4","7,1006","-4.4","7,1006","-6.7","7,1007","-12.2","7,1011","-1.7","7,0515","-2.8","7,0418","-8.3","7,0411","-8.3","7,0411","-11.7","7,0323","    4029.8","8","    4029.8","7","    359.6"," ,7","","","      7.41","7","     14.37","7","      0.45","7","",""
"USC00244174","2017","48.7262","-110.456","899.2","HINGHAM 12 N, MT US","","","","","        63","7","        21","7","         1","7","","","","","","","","","","","","","","","","","","","","","","","","","  33.0"," ,7,0614, ","","","","","","","","","","","","","","","","","","","","","","","    4407.4","4","    4407.4","7","    204.4"," ,7","","","","","","","","","",""
"USC00244174","2018","48.7262","-110.456","899.2","HINGHAM 12 N, MT US","    174.7","","     174.7","7","        64","7","        26","7","         0","7","","","","","        40","7","       190","7","        81","7","       121","7","        24","7","","","","","  -37.8","7,0212, ","","","","","  24.1"," ,7,0828, ","   40.0","7,0810, ","-2.2","7,0928","-2.2","7,0928","-5.6","7,1013","-9.4","7,1106","-9.4","7,1106","-1.7","7,0426","-3.9","7,0412","-6.1","7,0409","-12.2","7,0407","-12.2","7,0407","","","","","    224.6"," ,7","","","      4.83","7","     11.78","7","     -2.12","7","      20.1","7"
"USC00244174","2019","48.7262","-110.456","899.2","HINGHAM 12 N, MT US","","","","","","","","","","","","","","","","","","","","","","","","","         3"," ","         4"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    4983.1","1","    4983.1"," ","","","","","","","","","","","",""
"USC00244174","2020","48.7262","-110.456","899.2","HINGHAM 12 N, MT US","","","","","","","","","","","","","","","","","","","","","","","","","","","         2"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00244174","2022","48.7262","-110.456","899.2","HINGHAM 12 N, MT US","","","","","        64","7","        24","7","         1","7","","","","","","","","","","","","","","","         1"," ","         4"," ","","","","","","","  27.9"," ,7,1023, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    205.2"," ,7","","","","","","","","","",""
"USC00244174","2023","48.7262","-110.456","899.2","HINGHAM 12 N, MT US","","","","","        49","7","        26","7","         0","7","","","","","","","","","","","","","","","","","         9"," ","","","","","","","  24.6"," ,7,0609, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    217.4"," ,7","","","","","","","","","",""
"USC00244174","2024","48.7262","-110.456","899.2","HINGHAM 12 N, MT US","","","","","        61","7","        34","7","         2","7","","","","","","","","","","","","","","","","","         4"," ","","","","","","","  42.4"," ,7,0508, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    317.1"," ,7","","","","","","","","","",""
