"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DSNW","DSNW_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00509146","1952","61.13333","-145.75","762.9","THOMPSON PASS, AK US","       109","0","        16"," ","   803"," ,0,1225, ","    16874"," ,0"
"USC00509146","1953","61.13333","-145.75","762.9","THOMPSON PASS, AK US","        95","0","        31"," ","  1252"," ,0,0219, ","    19693"," ,0"
"USC00509146","1954","61.13333","-145.75","762.9","THOMPSON PASS, AK US","","","         6"," ","","","",""
