"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"RQC00660040","1955","18.1469","-66.4919","598.9","ACEITUNA WATER TREATMENT PLANT, PR US","       132","0","       102","0","        30","0","        0","","         0","0","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 152.9"," ,0,0912, ","   2173.3"," ,0","        0"," ,0"
"RQC00660040","1957","18.1469","-66.4919","598.9","ACEITUNA WATER TREATMENT PLANT, PR US","       112","0","        86","0","        22","0","        0","","         0","0","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 104.9"," ,0,1014, ","   1652.5"," ,0","        0"," ,0"
"RQC00660040","1958","18.1469","-66.4919","598.9","ACEITUNA WATER TREATMENT PLANT, PR US","       123","0","       106","0","        29","0","        0","","         0","0","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 123.7"," ,0,0421, ","   2099.9"," ,0","        0"," ,0"
"RQC00660040","1959","18.1469","-66.4919","598.9","ACEITUNA WATER TREATMENT PLANT, PR US","","","","","","","        0","","         0","0","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","   2150.6"," ,0","        0"," ,0"
"RQC00660040","1960","18.1469","-66.4919","598.9","ACEITUNA WATER TREATMENT PLANT, PR US","       146","0","       132","0","        40","0","        0","","         0","0","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 129.5"," ,0,0425, ","   3000.4"," ,0","        0"," ,0"
"RQC00660040","1961","18.1469","-66.4919","598.9","ACEITUNA WATER TREATMENT PLANT, PR US","       134","0","       104","0","        27","0","        0","","         0","0","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 131.1"," ,0,0424, ","   2384.5"," ,0","        0"," ,0"
"RQC00660040","1963","18.1469","-66.4919","598.9","ACEITUNA WATER TREATMENT PLANT, PR US","","","","","","","        0","","         0","0","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","   2259.5"," ,0","        0"," ,0"
"RQC00660040","1964","18.1469","-66.4919","598.9","ACEITUNA WATER TREATMENT PLANT, PR US","       119","0","        82","0","        19","0","        0","","         0","0","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  86.9"," ,0,1021, ","   1669.0"," ,0","        0"," ,0"
"RQC00660040","1965","18.1469","-66.4919","598.9","ACEITUNA WATER TREATMENT PLANT, PR US","","","","","","","        0","","         0","0","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","   1882.7"," ,0","        0"," ,0"
"RQC00660040","1966","18.1469","-66.4919","598.9","ACEITUNA WATER TREATMENT PLANT, PR US","","","","","","","        0","","         0","0","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","   1893.6"," ,0","        0"," ,0"
"RQC00660040","1967","18.1469","-66.4919","598.9","ACEITUNA WATER TREATMENT PLANT, PR US","       108","0","        66","0","        16","0","        0","","         0","0","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 103.9"," ,0,0822, ","   1366.5"," ,0","        0"," ,0"
"RQC00660040","1968","18.1469","-66.4919","598.9","ACEITUNA WATER TREATMENT PLANT, PR US","","","","","","","        0","","         0","0","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","   2220.8"," ,0","        0"," ,0"
