"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"IN012041000","1952","19.85","75.4","579.0","AURANGABAD CHIKALTH, IN","        78","I","        39","I","         4","I","","","","","","","","","","","","","  68.1"," ,I,0714, ","","","","","","","    542.1"," ,I","","","",""
"IN012041000","1953","19.85","75.4","579.0","AURANGABAD CHIKALTH, IN","        74","I","        45","I","         6","I","","","","","","","","","","","","","  84.1"," ,I,0725, ","","","","","","","    642.3"," ,I","","","",""
"IN012041000","1954","19.85","75.4","579.0","AURANGABAD CHIKALTH, IN","        83","I","        51","I","         5","I","","","","","","","","","","","","","  77.7"," ,I,0929, ","","","","","","","    655.9"," ,I","","","",""
"IN012041000","1955","19.85","75.4","579.0","AURANGABAD CHIKALTH, IN","       103","I","        66","I","        10","I","","","","","","","","","","","","","  94.2"," ,I,0616, ","","","","","","","    878.0"," ,I","","","",""
"IN012041000","1956","19.85","75.4","579.0","AURANGABAD CHIKALTH, IN","        87","I","        53","I","         8","I","","","","","","","","","","","","","  69.3"," ,I,0831, ","","","","","","","    774.1"," ,I","","","",""
"IN012041000","1957","19.85","75.4","579.0","AURANGABAD CHIKALTH, IN","        75","I","        44","I","         8","I","","","","","","","","","","","","","  50.8"," ,I,0731, ","","","","","","","    642.5"," ,I","","","",""
"IN012041000","1958","19.85","75.4","579.0","AURANGABAD CHIKALTH, IN","        70","I","        46","I","         9","I","","","","","","","","","","","","","  78.8"," ,I,0901, ","","","","","","","    789.9"," ,I","","","",""
"IN012041000","1959","19.85","75.4","579.0","AURANGABAD CHIKALTH, IN","        80","I","        56","I","         9","I","","","","","","","","","","","","","  46.0"," ,I,0914, ","","","","","","","    769.4"," ,I","","","",""
"IN012041000","1960","19.85","75.4","579.0","AURANGABAD CHIKALTH, IN","        66","I","        34","I","         6","I","","","","","","","","","","","","","  60.4"," ,I,0624, ","","","","","","","    565.0"," ,I","","","",""
"IN012041000","1961","19.85","75.4","579.0","AURANGABAD CHIKALTH, IN","        91","I","        56","I","         8","I","","","","","","","","","","","","","  94.5"," ,I,1010, ","","","","","","","    810.1"," ,I","","","",""
"IN012041000","1962","19.85","75.4","579.0","AURANGABAD CHIKALTH, IN","        80","I","        48","I","         7","I","","","","","","","","","","","","","  72.9"," ,I,0606, ","","","","","","","    693.9"," ,I","","","",""
"IN012041000","1963","19.85","75.4","579.0","AURANGABAD CHIKALTH, IN","        76","I","        54","I","         7","I","","","","","","","","","","","","","  82.2"," ,I,0607, ","","","","","","","    712.8"," ,I","","","",""
"IN012041000","1964","19.85","75.4","579.0","AURANGABAD CHIKALTH, IN","        75","I","        46","I","         1","I","","","","","","","","","","","","","  45.6"," ,I,0901, ","","","","","","","    495.5"," ,I","","","",""
"IN012041000","1965","19.85","75.4","579.0","AURANGABAD CHIKALTH, IN","        54","I","        23","I","         8","I","","","","","","","","","","","","","  91.0"," ,I,0614, ","","","","","","","    527.6"," ,I","","","",""
"IN012041000","1966","19.85","75.4","579.0","AURANGABAD CHIKALTH, IN","        66","I","        43","I","        11","I","","","","","","","","","","","",""," 109.0"," ,I,0730, ","","","","","","","    806.2"," ,I","","","",""
"IN012041000","1967","19.85","75.4","579.0","AURANGABAD CHIKALTH, IN","        60","I","        40","I","         4","I","","","","","","","","","","","","","  80.7"," ,I,0617, ","","","","","","","    564.4"," ,I","","","",""
"IN012041000","1968","19.85","75.4","579.0","AURANGABAD CHIKALTH, IN","        67","I","        43","I","         9","I","","","","","","","","","","","","","  61.1"," ,I,1108, ","","","","","","","    699.5"," ,I","","","",""
"IN012041000","1969","19.85","75.4","579.0","AURANGABAD CHIKALTH, IN","        67","I","        46","I","         9","I","","","","","","","","","","","","","  57.0"," ,I,0826, ","","","","","","","    711.6"," ,I","","","",""
"IN012041000","1970","19.85","75.4","579.0","AURANGABAD CHIKALTH, IN","        82","I","        58","I","         8","I","","","","","","","","","","","","","  49.4"," ,I,0804, ","","","","","","","    810.6"," ,I","","","",""
"IN012041000","1981","19.85","75.4","579.0","AURANGABAD CHIKALTH, IN","        79","S","        51","S","         5","S","","","","","         0","S","       342","S","       138","S","","","  32.0"," ,S,0910, ","   42.0","S,0413,+","","","","","    625.9"," ,S","     32.03","S","",""
"IN012041000","2001","19.85","75.4","579.0","AURANGABAD CHIKALTH, IN","","","","","","","","","","","         0","S","       346","S","       172","S","","","","","   43.0","S,0501, ","","","","","","","     32.94","S","",""
"IN012041000","2003","19.85","75.4","579.0","AURANGABAD CHIKALTH, IN","","","","","","","","","","","         0","S","       337","S","       159","S","","","","","   42.6","S,0511, ","","","","","","","     33.16","S","",""
"IN012041000","2004","19.85","75.4","579.0","AURANGABAD CHIKALTH, IN","","","","","","","","","","","         0","S","       351","S","       156","S","","","","","   41.3","S,0414, ","","","","","","","     32.77","S","",""
"IN012041000","2005","19.85","75.4","579.0","AURANGABAD CHIKALTH, IN","","","","","","","","","","","         0","S","       352","S","       144","S","","","","","   42.9","S,0521, ","","","","","","","     32.38","S","",""
"IN012041000","2006","19.85","75.4","579.0","AURANGABAD CHIKALTH, IN","","","","","","","","","","","         0","S","       358","S","       139","S","","","","","   43.0","S,0507, ","","","","","","","     32.22","S","",""
