"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"AYM00089664","1956","-77.8833","166.7333","24.1","MCMURDO SOUND NAF, AY","","","","","","","","","","","","","","","","","","","","","","","","","","","        13"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AYM00089664","1957","-77.8833","166.7333","24.1","MCMURDO SOUND NAF, AY","","","      0.0","","       0.0","X","        54","X","        27","X","         0","X","      236","","        27","X","       225","X","       365","X","       340","X","         0","X","         0","X","        19"," ","","","","","  -41.1","X,0802, ","   305"," ,X,0920, ","   229"," ,X,0514, ","  22.9"," ,X,0514, ","    4.4","X,0105, ","-3.9","X,0101","-3.9","X,0101","-4.4","X,0108","-8.9","X,0110","-8.9","X,0110","-5.6","X,1231","-5.6","X,1231","-5.6","X,1231","-7.8","X,1224","-13.9","X,1204","   13046.1","1","   13046.1","X","    170.1"," ,X","     1688"," ,X","    -17.36","X","    -13.60","X","    -21.11","X","       180","X","      43.2","X"
"AYM00089664","1958","-77.8833","166.7333","24.1","MCMURDO SOUND NAF, AY","","","      0.0","","       0.0","X","        17","X","        11","X","         0","X","      168","","        11","X","       233","X","       365","X","       341","X","         0","X","         0","X","        24"," ","","","","","  -44.4","X,0809, ","   152"," ,X,0923,+","   102"," ,X,0401, ","  10.2"," ,X,0401, ","    3.9","X,0204, ","-4.4","X,0101","-4.4","X,0101","-4.4","X,0101","-6.7","X,0110","-9.4","X,0115","-5.0","X,1231","-5.0","X,1231","-5.0","X,1231","-6.7","X,1222","-8.9","X,1221","   13485.7","7","   13485.7","X","     50.2"," ,X","      502"," ,X","    -18.54","X","    -15.22","X","    -21.85","X","       180","X","      41.1","X"
"AYM00089664","1959","-77.8833","166.7333","24.1","MCMURDO SOUND NAF, AY","","","      0.0","","       0.0","X","        59","X","         7","X","         0","X","      191","","         7","X","       243","X","       365","X","       346","X","         0","X","         0","X","        49"," ","","","","","  -46.7","X,0819, ","    51"," ,X,0830,+","    41"," ,X,0911,+","   4.1"," ,X,0911,+","    3.9","X,0107, ","-7.2","X,0101","-7.2","X,0101","-7.2","X,0101","-7.2","X,0101","-8.9","X,0116","-2.2","X,1231","-2.2","X,1231","-5.6","X,1227","-7.8","X,1210","-11.7","X,1205","   13357.3","3","   13357.3","X","     68.9"," ,X","      656"," ,X","    -18.22","X","    -15.05","X","    -21.38","X","       135","X","      37.0","X"
"AYM00089664","1960","-77.8833","166.7333","24.1","MCMURDO SOUND NAF, AY","","","      0.0","","       0.0","X","        34","X","        13","X","         1","X","       49","","        13","X","       243","X","       366","X","       359","X","         0","X","         0","X","        30"," ","","","","","  -50.6","X,0708, ","   203"," ,X,0121, ","   330"," ,X,0121, ","  33.0"," ,X,0121, ","    2.8","X,1229,+","-4.4","X,0101","-4.4","X,0101","-4.4","X,0101","-8.9","X,0104","-8.9","X,0104","-3.3","X,1231","-3.3","X,1231","-8.3","X,1225","-8.3","X,1225","-8.9","X,1214","   13381.9","9","   13381.9","X","    134.1"," ,X","     1328"," ,X","    -18.21","X","    -14.98","X","    -21.45","X","       180","X","      38.6","X"
"AYM00089664","1961","-77.8833","166.7333","24.1","MCMURDO SOUND NAF, AY","","","      0.0","","       0.0","X","        75","X","        16","X","         0","X","","","        16","X","       219","X","       365","X","       353","X","         0","X","         0","X","        26"," ","","","","","  -43.3","X,0814, ","","","   117"," ,X,0107, ","  11.7"," ,X,0107, ","    5.6","X,0111, ","-3.3","X,0101","-3.3","X,0101","-4.4","X,0103","-6.7","X,0107","-9.4","X,0125","-7.8","X,1231","-7.8","X,1231","-7.8","X,1231","-7.8","X,1231","-10.0","X,1212","   12895.7","7","   12895.7","X","    144.8"," ,X","     1417"," ,X","    -16.94","X","    -13.65","X","    -20.22","X","       180","X","      41.1","X"
"AYM00089664","1962","-77.8833","166.7333","24.1","MCMURDO SOUND NAF, AY","","","      0.0","","       0.0","X","        48","X","        13","X","         0","X","       74","","        13","X","       241","X","       364","X","       359","X","         0","X","         0","X","        44"," ","","","","","  -41.1","X,0912,+","   102"," ,X,0204, ","   114"," ,X,0204, ","  11.4"," ,X,0204, ","    2.2","X,0108, ","-6.1","X,0101","-6.1","X,0101","-6.1","X,0101","-7.2","X,0103","-8.9","X,0122","-4.4","X,1231","-4.4","X,1231","-4.4","X,1231","-6.7","X,1230","-10.0","X,1228","   13601.2","2","   13601.2","X","     96.9"," ,X","      969"," ,X","    -18.99","X","    -15.69","X","    -22.29","X","       180","X","      41.6","X"
"AYM00089664","1963","-77.8833","166.7333","24.1","MCMURDO SOUND NAF, AY","","","      0.0","","       0.0","X","        38","X","        10","X","         0","X","       16","","        10","X","       233","X","       365","X","       348","X","         0","X","         0","X","        67"," ","","","","","  -48.3","X,0803, ","    76"," ,X,1128, ","   102"," ,X,0213, ","  10.2"," ,X,0213, ","    5.6","X,1229, ","-2.2","X,0101","-2.2","X,0101","-5.6","X,0102","-6.7","X,0107","-11.1","X,0123","-5.0","X,1231","-5.0","X,1231","-5.0","X,1231","-7.8","X,1230","-8.9","X,1205","   13267.4","4","   13267.4","X","     66.8"," ,X","      655"," ,X","    -17.96","X","    -14.72","X","    -21.20","X","       180","X","      44.2","X"
"AYM00089664","1964","-77.8833","166.7333","24.1","MCMURDO SOUND NAF, AY","","","      0.0","","       0.0","X","        98","X","        17","X","         0","X","      199","","        18","X","       226","X","       366","X","       356","X","         0","X","         0","X","        42"," ","","","","","  -45.0","X,0816, ","   102"," ,X,0728,+","   165"," ,X,0301, ","  16.5"," ,X,0301, ","    2.2","X,1227,+","-2.2","X,0101","-2.2","X,0101","-5.6","X,0102","-9.4","X,0103","-9.4","X,0103","-2.2","X,1231","-2.2","X,1231","-5.6","X,1225","-7.2","X,1224","-8.9","X,1215","   13110.5","5","   13110.5","X","    166.5"," ,X","     1724"," ,X","    -17.57","X","    -14.39","X","    -20.74","X","       158","X","      41.1","X"
"AYM00089664","1965","-77.8833","166.7333","24.1","MCMURDO SOUND NAF, AY","","","      0.0","","       0.0","X","        43","X","        23","X","         0","X","       33","","        32","X","       220","X","       365","X","       327","X","         0","X","         0","X","        45"," ","         1"," ","","","  -44.4","X,0524, ","   127"," ,X,1130, ","   211"," ,X,0217, ","  21.1"," ,X,0217, ","    5.6","X,0114, ","-1.7","X,0101","-6.7","X,0102","-6.7","X,0102","-6.7","X,0102","-10.0","X,0124","-1.1","X,1231","-2.8","X,1228","-6.7","X,1224","-6.7","X,1224","-9.4","X,1201","   13103.3","3","   13103.3","X","    165.2"," ,X","     1937"," ,X","    -17.53","X","    -14.44","X","    -20.61","X","       135","X","      44.7","X"
"AYM00089664","1966","-77.8833","166.7333","24.1","MCMURDO SOUND NAF, AY","","","      0.0","","       0.0","X","        91","X","        45","X","         3","X","       12","","        46","X","       203","X","       365","X","       345","X","         0","X","         0","X","        32"," ","         2"," ","","","  -44.4","X,0826,+","    51"," ,X,1002, ","   533"," ,X,0211, ","  53.3"," ,X,0211, ","    4.4","X,1223, ","-1.1","X,0101","-4.4","X,0103","-4.4","X,0103","-7.2","X,0109","-10.0","X,0112","-4.4","X,1231","-4.4","X,1231","-4.4","X,1231","-8.3","X,1221","-10.0","X,1213","   12741.9","9","   12741.9","X","    478.9"," ,X","     4811"," ,X","    -16.52","X","    -13.39","X","    -19.66","X","       180","X","      47.3","X"
