"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00205981","1998","44.51556","-84.76083","358.7","N HIGGINS LAKE ST PARK, MI US","         1"," ","","","",""
"USC00205981","1999","44.51556","-84.76083","358.7","N HIGGINS LAKE ST PARK, MI US","         1"," ","         1"," ","     1350"," ,0"
