"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UY000086360","1958","-31.433","-57.967","33.0","SALTO, UY","","","","","","","         0","S","        11","S","         0","S","       253","S","        31","S","   -2.2","S,0526, ","","","   40.0","S,0107, ","0.0","S,0524","-2.2","S,0526","","","-1.1","S,0908","     813.2","2","     813.2","S","","","     17.95","S","     23.80","S","     12.08","S"
"UY000086360","1981","-31.433","-57.967","33.0","SALTO, UY","        80","I","        60","I","        14","I","","","","","","","","","","","","","  92.0"," ,I,1106, ","","","","","","","","","","","","","","","   1194.0"," ,I","","","","","",""
"UY000086360","1982","-31.433","-57.967","33.0","SALTO, UY","        70","I","        53","I","        13","I","","","","","","","","","","","","","  88.0"," ,I,1102, ","","","","","","","","","","","","","","","   1078.0"," ,I","","","","","",""
"UY000086360","1983","-31.433","-57.967","33.0","SALTO, UY","        77","I","        53","I","        18","I","","","","","","","","","","","","","  84.0"," ,I,0215, ","","","","","","","","","","","","","","","   1323.0"," ,I","","","","","",""
"UY000086360","1984","-31.433","-57.967","33.0","SALTO, UY","        88","I","        70","I","        24","I","","","","","","","","","","","",""," 139.0"," ,I,0401, ","","","","","","","","","","","","","","","   1490.5"," ,I","","","","","",""
"UY000086360","1985","-31.433","-57.967","33.0","SALTO, UY","        91","I","        63","I","        14","I","","","","","","","","","","","","","  91.0"," ,I,1019, ","","","","","","","","","","","","","","","   1344.0"," ,I","","","","","",""
"UY000086360","1986","-31.433","-57.967","33.0","SALTO, UY","        82","I","        69","I","        21","I","","","","","","","","","","","",""," 100.0"," ,I,0408, ","","","","","","","","","","","","","","","   1652.0"," ,I","","","","","",""
"UY000086360","1987","-31.433","-57.967","33.0","SALTO, UY","        69","I","        55","I","        12","I","","","","","","","","","","","",""," 177.0"," ,I,0416, ","","","","","","","","","","","","","","","   1138.0"," ,I","","","","","",""
"UY000086360","1988","-31.433","-57.967","33.0","SALTO, UY","        63","I","        44","I","        14","I","","","","","","","","","","","","","  75.0"," ,I,0121, ","","","","","","","","","","","","","","","   1024.7"," ,I","","","","","",""
"UY000086360","1989","-31.433","-57.967","33.0","SALTO, UY","        65","I","        47","I","        14","I","","","","","","","","","","","","","  76.0"," ,I,0416, ","","","","","","","","","","","","","","","   1021.0"," ,I","","","","","",""
"UY000086360","1990","-31.433","-57.967","33.0","SALTO, UY","        92","I","        68","I","        26","I","","","","","","","","","","","",""," 137.0"," ,I,0211, ","","","","","","","","","","","","","","","   1715.0"," ,I","","","","","",""
"UY000086360","1991","-31.433","-57.967","33.0","SALTO, UY","        84","I","        65","I","        19","I","","","","","","","","","","","","","  81.0"," ,I,0410, ","","","","","","","","","","","","","","","   1447.0"," ,I","","","","","",""
"UY000086360","1992","-31.433","-57.967","33.0","SALTO, UY","        74","I","        61","I","        15","I","","","","","","","","","","","","","  91.0"," ,I,0310, ","","","","","","","","","","","","","","","   1199.7"," ,I","","","","","",""
"UY000086360","1993","-31.433","-57.967","33.0","SALTO, UY","        90","I","        72","I","        19","I","","","","","","","","","","","",""," 136.0"," ,I,0510, ","","","","","","","","","","","","","","","   1553.0"," ,I","","","","","",""
"UY000086360","1994","-31.433","-57.967","33.0","SALTO, UY","        77","I","        57","I","        14","I","","","","","","","","","","","","","  60.0"," ,I,0728,+","","","","","","","","","","","","","","","   1042.0"," ,I","","","","","",""
"UY000086360","1995","-31.433","-57.967","33.0","SALTO, UY","        61","I","        45","I","        12","I","","","","","","","","","","","","","  82.0"," ,I,0222, ","","","","","","","","","","","","","","","    958.0"," ,I","","","","","",""
"UY000086360","1996","-31.433","-57.967","33.0","SALTO, UY","        68","I","        49","I","        15","I","","","","","","","","","","","",""," 106.0"," ,I,1109, ","","","","","","","","","","","","","","","   1043.5"," ,I","","","","","",""
"UY000086360","1997","-31.433","-57.967","33.0","SALTO, UY","        79","I","        54","I","        13","I","","","","","","","","","","","",""," 215.0"," ,I,1222, ","","","","","","","","","","","","","","","   1266.0"," ,I","","","","","",""
"UY000086360","1998","-31.433","-57.967","33.0","SALTO, UY","        95","I","        72","I","        23","I","","","","","","","","","","","",""," 270.0"," ,I,0128, ","","","","","","","","","","","","","","","   1873.0"," ,I","","","","","",""
"UY000086360","1999","-31.433","-57.967","33.0","SALTO, UY","        66","I","        42","I","        12","I","","","","","","","","","","","","","  72.0"," ,I,0629, ","","","","","","","","","","","","","","","    817.0"," ,I","","","","","",""
"UY000086360","2009","-31.433","-57.967","33.0","SALTO, UY","","","","","","","         0","S","        11","S","","","","","","","   -3.9","S,0724, ","","","","","-0.8","S,0603","-2.2","S,0625","","","0.0","S,0810","","","","","","","","","","","     12.17","S"
"UY000086360","2012","-31.433","-57.967","33.0","SALTO, UY","","","","","","","         0","S","        16","S","","","","","","","   -5.6","S,0609, ","","","","","-5.0","S,0607","-5.0","S,0607","-5.0","S,0607","-1.6","S,0813","","","","","","","","","","","     12.00","S"
"UY000086360","2016","-31.433","-57.967","33.0","SALTO, UY","       109","S","        71","S","        20","S","","","","","","","","","","","",""," 142.5"," ,S,0419, ","","","","","","","","","","","","","","","   1543.5"," ,S","","","","","",""
"UY000086360","2017","-31.433","-57.967","33.0","SALTO, UY","       107","S","        73","S","        22","S","","","","","","","","","","","",""," 105.9"," ,S,0508, ","","","","","","","","","","","","","","","   1565.2"," ,S","","","","","",""
"UY000086360","2018","-31.433","-57.967","33.0","SALTO, UY","        91","S","        60","S","        20","S","","","","","","","","","","","","","  95.5"," ,S,1113, ","","","","","","","","","","","","","","","   1433.9"," ,S","","","","","",""
"UY000086360","2019","-31.433","-57.967","33.0","SALTO, UY","       108","S","        74","S","        27","S","","","","","","","","","","","",""," 111.8"," ,S,1215, ","","","","","","","","","","","","","","","   1784.7"," ,S","","","","","",""
"UY000086360","2020","-31.433","-57.967","33.0","SALTO, UY","        65","S","        43","S","        12","S","","","","","","","","","","","","","  67.3"," ,S,0606, ","","","","","","","","","","","","","","","    937.9"," ,S","","","","","",""
"UY000086360","2021","-31.433","-57.967","33.0","SALTO, UY","        60","S","        37","S","        14","S","","","","","","","","","","","","","  86.4"," ,S,0504, ","","","","","","","","","","","","","","","    839.6"," ,S","","","","","",""
