"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00068835","1947","41.73333","-73.33333","310.9","WARREN, CT US","    255.3","","     255.3","6","       134","6","        78","6","        14","6","        12","6","         1","6","       161","6","        48","6","       134","6","         2","6","  -18.9","6,0110, ","   330"," ,6,0221, ","  63.2"," ,6,1112, ","   32.2","6,0814,+","-1.1","6,0923","-2.8","6,0927","-5.0","6,1111","-6.7","6,1121","-8.9","6,1127","0.0","6,0516","-2.2","6,0510","-5.0","6,0428","-7.2","6,0401","-8.9","6,0328","   1194.5"," ,6","     1761"," ,6","      8.14","6","     13.75","6","      2.52","6"
"USC00068835","1948","41.73333","-73.33333","310.9","WARREN, CT US","","","","","       160","0","       100","0","         8","0","        22","0","","","","","","","","","","","","","   180"," ,0,0113, "," 115.8"," ,0,1231, ","","","","","","","","","","","","","","","","","","","","","","","   1251.2"," ,0","     1803"," ,0","","","","","",""
