"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DYFG","DYFG_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES"
"USC00360751","1894","41.366667","-75.15","426.7","BLOOMING GROVE, PA US","         1"," ","","","",""
"USC00360751","1897","41.366667","-75.15","426.7","BLOOMING GROVE, PA US","","","    4047.3","3","    4047.3","6"
