"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00424575","1900","41.75","-113.116667","1287.8","KELTON, UT US","","","","","","","","","","","","","","","         7"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00424575","1901","41.75","-113.116667","1287.8","KELTON, UT US","","","","","","","","","","","","","","","         5"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00424575","1902","41.75","-113.116667","1287.8","KELTON, UT US","","","","","","","","","","","","","","","         8"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00424575","1903","41.75","-113.116667","1287.8","KELTON, UT US","","","","","","","","","","","","","","","         1"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00424575","1908","41.75","-113.116667","1287.8","KELTON, UT US","    269.4","","     269.4","6","         6","6","       181","6","        35","6","       128","6","        34","6","         2"," ","  -20.6","6,1219,+","   36.7","6,0801, ","-2.8","6,0923","-2.8","6,0923","-6.7","6,0924","-6.7","6,0924","-8.9","6,1118","-3.9","6,0517","-3.9","6,0517","-5.0","6,0510","-6.7","6,0403","-10.0","6,0401","","","","","      7.78","6","     15.28","6","      0.29","6"
"USC00424575","1909","41.75","-113.116667","1287.8","KELTON, UT US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    4116.1","1","    4116.1","6","","","","","",""
"USC00424575","1910","41.75","-113.116667","1287.8","KELTON, UT US","    237.2","","     237.2","6","        20","6","       196","6","        43","6","       162","6","        50","6","","","  -28.3","6,0105, ","   36.1","6,0727,+","-1.1","6,0825","-2.2","6,1005","-4.4","6,1020","-7.8","6,1104","-9.4","6,1120","-1.1","6,0518","-2.8","6,0517","-7.2","6,0417","-7.2","6,0417","-9.4","6,0228","","","","","      7.90","6","     17.09","6","     -1.30","6"
"USC00424575","1911","41.75","-113.116667","1287.8","KELTON, UT US","    160.4","","     160.4","6","         4","6","       211","6","        31","6","       141","6","        28","6","","","  -19.4","6,1230,+","   35.0","6,0716, ","-3.3","6,0918","-3.3","6,0918","-6.7","6,1007","-6.7","6,1007","-9.4","6,1110","-1.1","6,0602","-2.2","6,0509","-5.6","6,0421","-6.7","6,0417","-9.4","6,0414","    3975.3","3","    3975.3","6","      7.01","6","     15.67","6","     -1.65","6"
"USC00424575","1912","41.75","-113.116667","1287.8","KELTON, UT US","","","","","        17","6","       215","6","","","","","","","","","  -23.3","6,1220, ","","","-1.1","6,0905","-2.8","6,0916","-5.0","6,1024","-6.7","6,1030","-9.4","6,1119","-0.6","6,0616","-3.3","6,0505","-6.7","6,0420","-6.7","6,0420","-9.4","6,0322","","","","","","","","","     -0.81","6"
"USC00424575","1914","41.75","-113.116667","1287.8","KELTON, UT US","","","","","         8","6","       157","6","        34","6","       143","6","        38","6","","","  -20.6","6,0206, ","   35.0","6,0816,+","-1.1","6,0914","-2.2","6,1013","-4.4","6,1107","-7.2","6,1110","-13.3","6,1116","0.0","6,0622","-2.8","6,0327","-5.6","6,0219","-6.7","6,0218","-11.1","6,0217","","","","","      8.53","6","     16.62","6","      0.44","6"
"USC00424575","1915","41.75","-113.116667","1287.8","KELTON, UT US","    196.9","","     196.9","6","        10","6","       167","6","        32","6","       139","6","        41","6","","","  -25.0","6,1231, ","   37.2","6,0723, ","-4.4","6,0914","-4.4","6,0914","-4.4","6,0914","-13.9","6,1113","-13.9","6,1113","-1.1","6,0504","-2.2","6,0406","-5.0","6,0312","-7.8","6,0228","-10.6","6,0209","    3752.2","2","    3752.2","6","      8.40","6","     16.52","6","      0.28","6"
