"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00410479","1981","29.95","-101.15","460.2","BAKERS CROSSING, TX US","        49","0","        32","0","        10","0","        0","","         0","0","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 101.6"," ,0,1011, ","","","","","","","","","    717.0"," ,0","        0"," ,0","",""
"USC00410479","1985","29.95","-101.15","460.2","BAKERS CROSSING, TX US","        54","0","        28","0","         3","0","","","","","","","","","","","","","","","","","  39.1"," ,0,0929, ","","","","","","","","","    321.6"," ,0","","","",""
"USC00410479","1986","29.95","-101.15","460.2","BAKERS CROSSING, TX US","        56","0","        38","0","         7","0","","","         1","0","         0","0","        27","0","","","   -3.3","0,0211,+","","","   152"," ,0,0108, "," 101.6"," ,0,1006, ","-0.6","0,1113","-2.2","0,1114","-2.8","0,0212","-2.8","0,0212","    670.3"," ,0","      152"," ,0","     13.89","0"
"USC00410479","1987","29.95","-101.15","460.2","BAKERS CROSSING, TX US","","","","","","","        0","","         0","0","","","","","         1"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","","","","","        0"," ,0","",""
