"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"CA002100161","2000","62.3667","-140.8667","663.0","BEAVER CREEK YTG, YT CA","         4","C","   120"," ,C,0926, ","    538.4"," ,C","      646"," ,C"
"CA002100161","2001","62.3667","-140.8667","663.0","BEAVER CREEK YTG, YT CA","         9","C","   100"," ,C,0212, ","    473.5"," ,C","      937"," ,C"
"CA002100161","2002","62.3667","-140.8667","663.0","BEAVER CREEK YTG, YT CA","         6","C","   110"," ,C,0118, ","    436.9"," ,C","      659"," ,C"
