"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00027720","1962","35.13333","-112.91667","1598.1","SELIGMAN 13 SSW, AZ US","","","","","","","","","","","","","","","","","","","","","","","","","        20"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00027720","1963","35.13333","-112.91667","1598.1","SELIGMAN 13 SSW, AZ US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    2705.4","4","    2705.4","0","","","","","","","","","",""
"USC00027720","1964","35.13333","-112.91667","1598.1","SELIGMAN 13 SSW, AZ US","    295.3","","     295.3","0","        37","0","        29","0","         2","0","        5","","         6","0","         3","0","       186","0","         3","0","       192","0","        36","0","         2"," ","  -18.9","0,1116, ","    76"," ,0,0303, ","    76"," ,0,0303,+","  39.4"," ,0,0731, ","   37.8","0,0707, ","-0.6","0,1020","-3.3","0,1102","-5.0","0,1103","-10.6","0,1113","-10.6","0,1113","-1.1","0,0510","-6.7","0,0508","-6.7","0,0508","-6.7","0,0508","-14.4","0,0325","","","","","    310.4"," ,0","      304"," ,0","     10.29","0","     20.42","0","      0.16","0"
"USC00027720","1965","35.13333","-112.91667","1598.1","SELIGMAN 13 SSW, AZ US","","","","","","","","","","","        2","","         2","0","","","","","","","","","","","        13"," ","","","    51"," ,0,1210, ","    51"," ,0,1210, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","       76"," ,0","","","","","",""
"USC00027720","1966","35.13333","-112.91667","1598.1","SELIGMAN 13 SSW, AZ US","","","","","","","","","","","","","","","","","","","","","","","","","        24"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00027720","1967","35.13333","-112.91667","1598.1","SELIGMAN 13 SSW, AZ US","","","","","","","","","","","","","","","","","","","","","","","","","        17"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00027720","1968","35.13333","-112.91667","1598.1","SELIGMAN 13 SSW, AZ US","","","","","        27","0","        21","0","         2","0","","","         0","0","","","","","","","","","","","         4"," ","","","","","    10"," ,0,1214, ","  26.4"," ,0,0724, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    198.6"," ,0","       10"," ,0","","","","","",""
"USC00027720","1969","35.13333","-112.91667","1598.1","SELIGMAN 13 SSW, AZ US","","","","","        55","0","        38","0","         2","0","","","         4","0","","","","","","","","","","","        18"," ","","","","","   127"," ,0,0311, ","  40.6"," ,0,1021, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    380.2"," ,0","      331"," ,0","","","","","",""
"USC00027720","1970","35.13333","-112.91667","1598.1","SELIGMAN 13 SSW, AZ US","","","","","","","","","","","","","","","","","","","","","","","","","        12"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00027720","1971","35.13333","-112.91667","1598.1","SELIGMAN 13 SSW, AZ US","","","","","","","","","","","","","","","","","","","","","","","","","        26"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
