"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CBNL","1999","37.1317","-122.17","801.6","BEN LOMOND CALIFORNIA, CA US","","","","","         0","U","        18","U","","","","","","","   -2.8","U,0406, ","","","-0.6","U,1221","","","-0.6","U,0409","-2.8","U,0406","","","","","","","","","      9.89","U"
"USR0000CBNL","2000","37.1317","-122.17","801.6","BEN LOMOND CALIFORNIA, CA US","    454.5","","     454.5","U","         0","U","         4","U","         0","U","       138","U","        22","U","   -0.6","U,0102, ","   40.0","U,0614, ","0.0","U,1111","","","0.0","U,0224","","","    1589.0","0","    1589.0","U","     14.07","U","     18.75","U","      9.39","U"
"USR0000CBNL","2001","37.1317","-122.17","801.6","BEN LOMOND CALIFORNIA, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","    2049.6","6","    2049.6","U","","","","","",""
"USR0000CBNL","2003","37.1317","-122.17","801.6","BEN LOMOND CALIFORNIA, CA US","    504.6","","     504.6","U","         0","U","         3","U","         0","U","       153","U","        22","U","   -0.6","U,1227, ","   35.6","U,0921, ","0.0","U,1226","","","0.0","U,0403","","","    1990.8","8","    1990.8","U","     14.05","U","     18.68","U","      9.42","U"
"USR0000CBNL","2004","37.1317","-122.17","801.6","BEN LOMOND CALIFORNIA, CA US","    385.0","","     385.0","U","         0","U","         5","U","         0","U","       149","U","         5","U","   -2.2","U,1130, ","   34.4","U,0811, ","0.0","U,1129","-2.2","U,1130","-0.6","U,0104","","","    1952.3","3","    1952.3","U","     13.75","U","     18.46","U","      9.05","U"
"USR0000CBNL","2005","37.1317","-122.17","801.6","BEN LOMOND CALIFORNIA, CA US","    394.4","","     394.4","U","         0","U","         2","U","         0","U","       136","U","        15","U","    0.0","U,0207,+","   36.1","U,0806, ","","","","","0.0","U,0207","","","    2177.9","9","    2177.9","U","     13.83","U","     18.35","U","      9.32","U"
"USR0000CBNL","2006","37.1317","-122.17","801.6","BEN LOMOND CALIFORNIA, CA US","    542.2","","     542.2","U","         0","U","        13","U","         0","U","       142","U","        19","U","   -2.8","U,0311, ","   40.0","U,0723, ","","","","","-1.1","U,0313","-2.8","U,0311","    2086.8","8","    2086.8","U","     13.96","U","     18.00","U","      9.93","U"
"USR0000CBNL","2007","37.1317","-122.17","801.6","BEN LOMOND CALIFORNIA, CA US","    329.5","","     329.5","U","         0","U","        13","U","         0","U","       139","U","         9","U","   -3.3","U,0113, ","   35.0","U,0705, ","0.0","U,1226","","","0.0","U,0301","-2.2","U,0114","    1913.5","5","    1913.5","U","     13.67","U","     17.97","U","      9.37","U"
"USR0000CBNL","2008","37.1317","-122.17","801.6","BEN LOMOND CALIFORNIA, CA US","    648.8","","     648.8","U","         0","U","        17","U","         0","U","       156","U","        16","U","   -1.7","U,1217, ","   37.8","U,0710,+","0.0","U,1214","","","-0.6","U,0421","","","    2199.6","6","    2199.6","U","     14.64","U","     19.07","U","     10.20","U"
"USR0000CBNL","2009","37.1317","-122.17","801.6","BEN LOMOND CALIFORNIA, CA US","    552.2","","     552.2","U","         0","U","         9","U","         0","U","       137","U","        24","U","   -3.3","U,1208, ","   36.1","U,0926,+","-2.2","U,1207","-2.2","U,1207","-0.6","U,0415","","","    1891.8","8","    1891.8","U","     14.30","U","     18.50","U","     10.11","U"
