"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00345590","2010","36.1169","-97.6069","310.9","MARSHALL 3 SSE MESONET, OK US","","","","","","","","","","","         0","0","","","","","","","","","","","","","     0"," ,0,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    786.1"," ,0","        0"," ,0","","","","","",""
"USC00345590","2011","36.1169","-97.6069","310.9","MARSHALL 3 SSE MESONET, OK US","   1436.0","","    1436.0","K","","","","","","","","","         4","K","        99","K","        12","K","       214","K","       107","K","  -31.7","K,0210, ","","","","","   43.9","K,0824,+","0.0","K,1020","-3.9","K,1103","-6.1","K,1104","-8.3","K,1206","-9.4","K,1207","-2.8","K,0405","-2.8","K,0405","-4.4","K,0310","-7.2","K,0222","-9.4","K,0212","    2220.5","5","      31.1","K,3,2","    2220.5","K","      39.4","K,3,2","      -3.9","K,3,2","      -0.6","K,3,2","      14.2","K,3,2","      20.8","K,3,2","","","","","     16.05","K","     23.39","K","      8.71","K"
"USC00345590","2012","36.1169","-97.6069","310.9","MARSHALL 3 SSE MESONET, OK US","   1335.9","","    1335.9","7","","","","","","","","","         0","7","        87","7","         4","7","       227","7","        98","7","  -13.9","7,1229, ","","","","","   45.0","7,0801, ","-1.1","7,1007","-5.0","7,1027","-5.0","7,1027","-8.9","7,1210","-8.9","7,1210","-1.7","K,0310","-2.8","K,0304","-5.6","K,0225","-9.4","K,0212","-9.4","K,0212","    1762.9","9","","","    1762.9","7","","","","","","","","","","","","","","","     17.13","7","     24.30","7","      9.96","7"
"USC00345590","2013","36.1169","-97.6069","310.9","MARSHALL 3 SSE MESONET, OK US","   1027.7","","    1027.7","7","","","","","","","","","         0","7","       116","7","        12","7","       192","7","        65","7","  -16.7","7,1210, ","","","","","   39.4","7,0831, ","-0.6","7,1019","-6.7","7,1112","-6.7","7,1112","-6.7","7,1112","-8.9","7,1113","0.0","7,0504","-2.8","7,0424","-8.9","7,0326","-8.9","7,0326","-8.9","7,0326","    2250.3","3","","","    2250.3","7","","","","","","","","","","","","","","","     14.35","7","     20.88","7","      7.83","7"
"USC00345590","2014","36.1169","-97.6069","310.9","MARSHALL 3 SSE MESONET, OK US","   1092.8","","    1092.8","7","","","","","","","","","         4","7","       108","7","        18","7","       207","7","        74","7","  -20.0","7,0106, ","","","","","   38.9","7,0822,+","-1.1","7,1031","-3.9","7,1111","-6.7","7,1112","-6.7","7,1112","-12.2","7,1117","-0.6","7,0502","-5.6","7,0415","-5.6","7,0415","-6.7","7,0317","-14.4","7,0304","    2526.3","3","      28.3","7,3,2","    2526.3","7","      36.1","7,3,2","      -1.7","7,3,2","       0.0","7,3,2","      13.9","7,3,2","      19.5","7,3,2","","","","","     14.65","7","     21.54","7","      7.77","7"
"USC00345590","2015","36.1169","-97.6069","310.9","MARSHALL 3 SSE MESONET, OK US","   1084.4","","    1084.4","7","","","","","","","","","         0","7","        90","7","        10","7","       214","7","        83","7","  -13.9","7,0305,+","","","","","   39.4","7,0809,+","-1.7","7,1108","-3.3","7,1113","-4.4","7,1121","-6.7","7,1217","-8.9","7,1229","-0.6","7,0410","-2.8","7,0404","-13.9","7,0305","-13.9","7,0305","-13.9","7,0305","    2206.5","5","      30.0","7,3,2","    2206.5","7","      38.3","7,3,2","      -1.7","7,3,2","       0.0","7,3,2","      14.6","7,3,2","      20.6","7,3,2","   1082.7"," ,7","","","     15.68","7","     22.28","7","      9.09","7"
"USC00345590","2016","36.1169","-97.6069","310.9","MARSHALL 3 SSE MESONET, OK US","   1224.9","","    1224.9","7","","","","","","","","","         2","7","        93","7","         7","7","       226","7","        86","7","  -18.3","7,1219,+","","","","","   39.4","7,0724,+","-0.6","7,1118","-5.6","7,1119","-5.6","7,1119","-10.6","7,1208","-10.6","7,1208","-3.3","7,0402","-3.3","7,0402","-5.0","7,0320","-8.3","7,0226","-9.4","7,0118","    1868.5","5","      30.6","7,3,2","    1868.5","7","      38.3","7,3,2","      -2.8","7,3,2","       0.0","7,3,2","      15.1","7,3,2","      21.5","7,3,2","","","","","     16.45","7","     23.31","7","      9.58","7"
"USC00345590","2017","36.1169","-97.6069","310.9","MARSHALL 3 SSE MESONET, OK US","   1092.9","","    1092.9","7","","","","","","","","","         2","7","        69","7","         8","7","       225","7","        70","7","  -20.0","7,0107, ","","","","","   41.1","7,0722, ","-1.1","7,1027","-3.9","7,1028","-5.6","7,1122","-10.0","7,1207","-10.0","7,1207","-2.8","7,0315","-2.8","7,0315","-4.4","7,0312","-7.8","7,0225","-8.9","7,0108","    1781.6","6","      30.6","7,3,2","    1781.6","7","      38.3","7,3,2","      -1.1","7,3,2","       0.0","7,3,2","      14.7","7,3,2","      21.2","7,3,2","    913.5"," ,7","","","     16.24","7","     22.83","7","      9.64","7"
"USC00345590","2018","36.1169","-97.6069","310.9","MARSHALL 3 SSE MESONET, OK US","   1200.9","","    1200.9","7","        83","7","        50","7","        12","7","","","         0","7","       109","7","         9","7","       198","7","        85","7","  -16.7","7,0117, ","","","  51.3"," ,7,1007, ","   44.4","7,0720, ","-5.0","7,1109","-5.0","7,1109","-5.0","7,1109","-7.2","7,1110","","","-1.1","7,0419","-4.4","7,0416","-4.4","7,0416","-6.7","7,0221","-13.3","7,0212","    2161.2","2","      30.6","7,3,2","    2161.2","7","      38.9","7,3,2","      -2.2","7,3,2","      -0.6","7,3,2","      13.8","7,3,2","      20.1","7,3,2","    841.8"," ,7","","","     15.16","7","     21.64","7","      8.68","7"
"USC00345590","2019","36.1169","-97.6069","310.9","MARSHALL 3 SSE MESONET, OK US","   1118.7","","    1118.7","7","","","","","","","","","         0","7","        95","7","        12","7","       196","7","        70","7","  -12.8","7,0304, ","","","","","   39.4","7,0812,+","0.0","7,1011","-2.2","7,1029","-6.7","7,1031","-6.7","7,1031","-11.7","7,1112","-1.1","7,0412","-3.3","7,0331","-8.3","7,0306","-8.3","7,0306","-11.7","7,0305","    2310.6","6","      28.9","7,3,2","    2310.6","7","      37.8","7,3,2","      -1.7","7,3,2","       0.0","7,3,2","      13.5","7,3,2","      19.7","7,3,2","","","","","     15.12","7","     21.24","7","      9.01","7"
"USC00345590","2020","36.1169","-97.6069","310.9","MARSHALL 3 SSE MESONET, OK US","   1001.0","","    1001.0","7","","","","","","","","","         0","7","        88","7","         5","7","       210","7","        81","7","  -14.4","7,1214, ","","","","","   40.0","7,0828, ","-2.2","7,1026","-2.2","7,1026","-5.0","7,1130","-10.6","7,1213","-10.6","7,1213","-1.1","7,0418","-2.2","7,0415","-4.4","7,0306","-6.7","7,0227","-11.1","7,0221","    2098.2","2","      28.9","7,3,2","    2098.2","7","      36.7","7,3,2","       0.6","7,3,2","       1.7","7,3,2","      13.7","7,3,2","      20.5","7,3,2","","","","","     15.45","7","     22.10","7","      8.81","7"
"USC00345590","2021","36.1169","-97.6069","310.9","MARSHALL 3 SSE MESONET, OK US","   1060.2","","    1060.2","7","","","","","","","","","         5","7","        81","7","        13","7","       216","7","        79","7","  -26.7","7,0216, ","","","","","   37.8","7,0731, ","-1.1","7,1112","-2.2","7,1113","-4.4","7,1125","-8.9","7,1218","-8.9","7,1218","-2.8","7,0421","-2.8","7,0421","-5.0","7,0222","-12.8","7,0220","-12.8","7,0220","    2267.2","2","","","    2267.2","7","","","","","","","","","","","","","","","     15.58","7","     22.24","7","      8.92","7"
