"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00023244","1945","37.4058","-122.0481","11.9","MOFFETT FEDERAL AIRFIELD, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","        38"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00023244","1946","37.4058","-122.0481","11.9","MOFFETT FEDERAL AIRFIELD, CA US","","","     85.4","","      85.4","X","        44","X","        24","X","         1","X","","","","","         0","X","        19","X","         0","X","       152","X","         5","X","       115"," ","","","","","   -3.3","X,0201, ","","","","","  27.4"," ,X,1119, ","   35.0","X,0802,+","0.0","X,1111","","","","","0.0","X,0214","-3.3","X,0201","","","    1688.8","8","    1688.8","X","    245.7"," ,X","","","     13.52","X","     19.33","X","      7.71","X","","","","","","","","","","","",""
"USW00023244","1947","37.4058","-122.0481","11.9","MOFFETT FEDERAL AIRFIELD, CA US","","","    128.3","","     128.3","X","        41","X","        19","X","         0","X","","","","","         0","X","        26","X","         0","X","       179","X","         8","X","        80"," ","","","         1"," ","   -2.8","X,0118,+","","","","","  24.4"," ,X,1009, ","   35.0","X,0921,+","0.0","X,1111","","","","","0.0","X,0131","-2.8","X,0118","","","    1658.8","8","    1658.8","X","    152.2"," ,X","","","     14.19","X","     20.19","X","      8.19","X","","","","","","","","","","","",""
"USW00023244","1948","37.4058","-122.0481","11.9","MOFFETT FEDERAL AIRFIELD, CA US","","","     58.4","","      58.4","X","        65","X","        29","X","         1","X","","","         0","X","         0","X","        22","X","         0","X","       150","X","         3","X","        50"," ","","","         2"," ","   -2.2","X,0213, ","","","     0"," ,X,1231,+","  38.6"," ,X,1226, ","   33.9","X,0622, ","-0.6","X,1127","","","","","0.0","X,0311","-2.2","X,0213","","","    1847.0","0","    1847.0","X","    268.5"," ,X","        0"," ,X","     13.38","X","     19.23","X","      7.53","X","","","","","       135","X","","","","","      19.5","X"
"USW00023244","1949","37.4058","-122.0481","11.9","MOFFETT FEDERAL AIRFIELD, CA US","","","     72.1","","      72.1","X","        60","X","        30","X","         0","X","        0","","         0","X","         0","X","        33","X","         0","X","       148","X","         4","X","        64"," ","","","         2"," ","   -6.1","X,0105, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  17.0"," ,X,0319, ","   35.6","X,0604, ","-2.8","X,1212","-2.8","X,1212","","","-2.2","X,0214","-2.2","X,0214","-5.0","X,0111","    1918.2","2","    1918.2","X","    235.5"," ,X","        0"," ,X","     13.35","X","     18.95","X","      7.74","X","","","","","       180","X","","","","","      23.6","X"
"USW00023244","1950","37.4058","-122.0481","11.9","MOFFETT FEDERAL AIRFIELD, CA US","","","    121.0","","     121.0","X","        67","X","        38","X","         4","X","","","         0","X","         0","X","        16","X","         0","X","       149","X","         8","X","        64"," ","","","","","   -5.6","X,0106, ","","","     0"," ,X,1231,+","  47.8"," ,X,1118, ","   36.7","X,0529, ","","","","","","","0.0","X,0313","-2.2","X,0202","-5.6","X,0106","    1843.1","1","    1843.1","X","    394.7"," ,X","        0"," ,X","     14.23","X","     19.41","X","      9.05","X","","","","","","","","","","","",""
"USW00023244","1951","37.4058","-122.0481","11.9","MOFFETT FEDERAL AIRFIELD, CA US","","","     63.9","","      63.9","X","        58","X","        31","X","         0","X","        0","","         0","X","         0","X","        10","X","         0","X","       123","X","         3","X","        92"," ","","","         1"," ","   -2.2","X,1209, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  25.1"," ,X,1228, ","   35.6","X,0908, ","-0.6","X,1208","-2.2","X,1209","","","0.0","X,0311","","","","","    1510.0","0","    1510.0","X","    308.6"," ,X","        0"," ,X","     13.76","X","     18.63","X","      8.90","X","","","","","","","","","","","",""
"USW00023244","1952","37.4058","-122.0481","11.9","MOFFETT FEDERAL AIRFIELD, CA US","","","    101.2","","     101.2","X","        66","X","        41","X","         4","X","        0","","         0","X","         0","X","         5","X","         0","X","       133","X","         4","X","       142"," ","","","         2"," ","   -2.2","X,0102, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  36.3"," ,X,0111, ","   33.9","X,0901, ","","","","","","","-0.6","X,0109","-2.2","X,0102","","","    1738.9","9","    1738.9","X","    482.0"," ,X","        0"," ,X","     14.02","X","     18.79","X","      9.25","X","","","","","       135","X","","","","","      25.2","X"
"USW00023244","1953","37.4058","-122.0481","11.9","MOFFETT FEDERAL AIRFIELD, CA US","","","     95.4","","      95.4","X","        53","X","        21","X","         0","X","        0","","         0","X","         0","X","         1","X","         0","X","       133","X","         3","X","       121"," ","","","","","    0.0","X,0303, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  21.6"," ,X,1113, ","   33.9","X,0913,+","","","","","","","0.0","X,0303","","","","","    1612.7","7","    1612.7","X","    156.7"," ,X","        0"," ,X","     14.31","X","     19.33","X","      9.29","X","","","","","       360","X","","","","","      27.8","X"
"USW00023244","1954","37.4058","-122.0481","11.9","MOFFETT FEDERAL AIRFIELD, CA US","","","     81.4","","      81.4","X","        48","X","        27","X","         2","X","        0","","         0","X","         0","X","         2","X","         0","X","       132","X","         3","X","       160"," ","","","","","    0.0","X,1221,+","     0"," ,X,1231,+","     0"," ,X,1231,+","  29.0"," ,X,0316, ","   33.9","X,0924,+","0.0","X,1221","","","","","0.0","X,0125","","","","","    1482.2","2","    1482.2","X","    268.6"," ,X","        0"," ,X","     14.00","X","     19.05","X","      8.95","X","","","","","","","","","","","",""
