"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"SF003044460","1921","-28.95","31.7","38.0","MTUNZINI, SF","","","","","        62","I","        57","I","        17","I","  76.2"," ,I,1119,+","   1211.4"," ,I"
"SF003044460","1922","-28.95","31.7","38.0","MTUNZINI, SF","","","","","        31","I","        31","I","        14","I","  57.2"," ,I,0807, ","    769.7"," ,I"
"SF003044460","1923","-28.95","31.7","38.0","MTUNZINI, SF","","","","","        45","I","        38","I","        11","I","  61.7"," ,I,0126, ","    790.1"," ,I"
"SF003044460","1927","-28.95","31.7","38.0","MTUNZINI, SF","","","","","        54","I","        52","I","        18","I","  53.3"," ,I,0219, ","    949.7"," ,I"
"SF003044460","1928","-28.95","31.7","38.0","MTUNZINI, SF","","","","","        54","I","        53","I","        11","I","  74.9"," ,I,0501, ","    912.4"," ,I"
"SF003044460","1929","-28.95","31.7","38.0","MTUNZINI, SF","","","","","        65","I","        63","I","         9","I"," 121.4"," ,I,0304, ","   1175.3"," ,I"
"SF003044460","1930","-28.95","31.7","38.0","MTUNZINI, SF","","","","","        56","I","        54","I","        11","I","  89.2"," ,I,0117, ","    956.9"," ,I"
"SF003044460","1931","-28.95","31.7","38.0","MTUNZINI, SF","","","","","        64","I","        58","I","        10","I","  48.3"," ,I,0301, ","    774.2"," ,I"
"SF003044460","1932","-28.95","31.7","38.0","MTUNZINI, SF","","","","","        70","I","        66","I","        12","I"," 227.3"," ,I,0221, ","   1377.9"," ,I"
"SF003044460","1933","-28.95","31.7","38.0","MTUNZINI, SF","","","","","        62","I","        53","I","         5","I","  69.9"," ,I,0118, ","    718.6"," ,I"
"SF003044460","1934","-28.95","31.7","38.0","MTUNZINI, SF","","","","","        74","I","        72","I","        17","I","  90.4"," ,I,1207, ","   1259.4"," ,I"
"SF003044460","1935","-28.95","31.7","38.0","MTUNZINI, SF","","","","","        65","I","        59","I","         9","I"," 119.4"," ,I,0518, ","   1020.8"," ,I"
"SF003044460","1936","-28.95","31.7","38.0","MTUNZINI, SF","","","","","        68","I","        64","I","        15","I","  89.9"," ,I,0119, ","   1270.1"," ,I"
"SF003044460","1937","-28.95","31.7","38.0","MTUNZINI, SF","","","","","        70","I","        63","I","        10","I"," 118.4"," ,I,0613, ","   1037.5"," ,I"
"SF003044460","1938","-28.95","31.7","38.0","MTUNZINI, SF","","","","","        67","I","        63","I","         8","I"," 115.6"," ,I,0719, ","   1009.9"," ,I"
"SF003044460","1939","-28.95","31.7","38.0","MTUNZINI, SF","","","","","        77","I","        66","I","        16","I"," 112.8"," ,I,0912, ","   1403.7"," ,I"
"SF003044460","1941","-28.95","31.7","38.0","MTUNZINI, SF","","","","","        74","I","        61","I","        10","I","  79.8"," ,I,1130, ","    861.6"," ,I"
"SF003044460","1943","-28.95","31.7","38.0","MTUNZINI, SF","","","","","        93","I","        81","I","        22","I","  73.7"," ,I,0705, ","   1356.2"," ,I"
"SF003044460","1944","-28.95","31.7","38.0","MTUNZINI, SF","","","","","        63","I","        60","I","        12","I","  63.0"," ,I,0306, ","   1028.1"," ,I"
"SF003044460","1945","-28.95","31.7","38.0","MTUNZINI, SF","","","","","        71","I","        57","I","         8","I"," 113.3"," ,I,0305, ","    928.8"," ,I"
"SF003044460","1946","-28.95","31.7","38.0","MTUNZINI, SF","","","","","        73","I","        66","I","         6","I","  75.9"," ,I,0312, ","    792.9"," ,I"
"SF003044460","1947","-28.95","31.7","38.0","MTUNZINI, SF","","","","","        78","I","        69","I","        14","I","  80.3"," ,I,0223, ","   1161.4"," ,I"
"SF003044460","1948","-28.95","31.7","38.0","MTUNZINI, SF","","","","","        65","I","        59","I","         9","I","  44.2"," ,I,0321, ","    734.7"," ,I"
"SF003044460","1949","-28.95","31.7","38.0","MTUNZINI, SF","","","","","        72","I","        63","I","        13","I"," 160.0"," ,I,0429, ","   1155.3"," ,I"
"SF003044460","1950","-28.95","31.7","38.0","MTUNZINI, SF","","","","","        73","I","        55","I","         5","I","  91.4"," ,I,0220, ","    678.4"," ,I"
"SF003044460","1951","-28.95","31.7","38.0","MTUNZINI, SF","","","","","        91","I","        65","I","         8","I","  68.6"," ,I,0819, ","    935.8"," ,I"
"SF003044460","1952","-28.95","31.7","38.0","MTUNZINI, SF","","","","","       103","I","        78","I","         8","I","  35.6"," ,I,0315, ","    881.9"," ,I"
"SF003044460","1954","-28.95","31.7","38.0","MTUNZINI, SF","","","","","        64","I","        60","I","        15","I"," 107.0"," ,I,0214, ","   1367.4"," ,I"
"SF003044460","1955","-28.95","31.7","38.0","MTUNZINI, SF","","","","","        46","I","        45","I","        16","I"," 125.6"," ,I,0131, ","   1135.5"," ,I"
