"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"MGM00044237","2005","48.533","101.383","1509.0","ERDENEMANDAL, MG","       113","S","        69","S","         1","S","   33.3","S,0710, ","      6.83","S"
"MGM00044237","2007","48.533","101.383","1509.0","ERDENEMANDAL, MG","       109","S","        84","S","         8","S","   36.7","S,0605, ","      9.36","S"
"MGM00044237","2008","48.533","101.383","1509.0","ERDENEMANDAL, MG","       102","S","        70","S","         2","S","   34.8","S,0802, ","      8.13","S"
"MGM00044237","2010","48.533","101.383","1509.0","ERDENEMANDAL, MG","       120","S","        79","S","         4","S","   33.5","S,0626, ","      6.32","S"
"MGM00044237","2012","48.533","101.383","1509.0","ERDENEMANDAL, MG","       135","S","        70","S","         0","S","   31.0","S,0516, ","      5.28","S"
"MGM00044237","2013","48.533","101.383","1509.0","ERDENEMANDAL, MG","       110","S","        65","S","         0","S","   28.6","S,0605, ","      7.35","S"
"MGM00044237","2014","48.533","101.383","1509.0","ERDENEMANDAL, MG","       109","S","        66","S","         0","S","   31.4","S,0724, ","      8.46","S"
"MGM00044237","2015","48.533","101.383","1509.0","ERDENEMANDAL, MG","       110","S","        79","S","         2","S","   33.3","S,0809, ","      8.69","S"
"MGM00044237","2016","48.533","101.383","1509.0","ERDENEMANDAL, MG","       122","S","        64","S","         2","S","   32.8","S,0731, ","      6.57","S"
"MGM00044237","2017","48.533","101.383","1509.0","ERDENEMANDAL, MG","       114","S","        82","S","         6","S","   34.4","S,0714, ","      9.02","S"
"MGM00044237","2018","48.533","101.383","1509.0","ERDENEMANDAL, MG","       114","S","        80","S","         0","S","   30.3","S,0613, ","      7.90","S"
"MGM00044237","2019","48.533","101.383","1509.0","ERDENEMANDAL, MG","       101","S","        86","S","         0","S","   30.4","S,0712, ","      8.60","S"
"MGM00044237","2020","48.533","101.383","1509.0","ERDENEMANDAL, MG","       112","S","        71","S","         0","S","   29.8","S,0430, ","      7.75","S"
"MGM00044237","2022","48.533","101.383","1509.0","ERDENEMANDAL, MG","       115","S","        79","S","         0","S","   31.9","S,0628, ","      7.76","S"
"MGM00044237","2023","48.533","101.383","1509.0","ERDENEMANDAL, MG","       103","S","        63","S","         0","S","   31.9","S,0729, ","      7.52","S"
