"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CA002400F63","1997","64.95","-63.5833","583.0","CAPE MERCY, NU CA","      0.0","","       0.0","C","","","","","","","","","       101","C","       301","C","       226","C","         0","C","         0","C","  -39.1","C,0301, ","","","","","   14.2","C,0504, ","-1.5","C,0801","-2.4","C,0803","-5.1","C,0916","-7.4","C,0926","-9.8","C,0930","-0.6","C,0731","-2.4","C,0726","-7.5","C,0601","-7.5","C,0601","-10.3","C,0529","","","","","","","","","     -8.97","C","     -6.20","C","    -11.74","C"
"CA002400F63","1998","64.95","-63.5833","583.0","CAPE MERCY, NU CA","      0.0","","       0.0","C","","","","","","","","","       116","C","       282","C","       243","C","         0","C","         0","C","  -36.2","C,0223, ","","","","","   12.5","C,0721, ","0.0","C,0809","-3.5","C,0919","-4.4","C,0920","-7.2","C,1010","-9.2","C,1016","-0.1","C,0723","-3.0","C,0623","-6.1","C,0529","-7.5","C,0527","-10.0","C,0525","    9572.6","6","    9572.6","C","","","","","     -9.47","C","     -7.44","C","    -11.51","C"
"CA002400F63","1999","64.95","-63.5833","583.0","CAPE MERCY, NU CA","      0.0","","       0.0","C","","","","","","","","","       108","C","       331","C","       270","C","         0","C","         0","C","  -33.0","C,0127, ","","","","","   13.0","C,0711, ","-0.9","C,0801","-4.0","C,0827","-4.7","C,0828","-9.6","C,1006","-9.6","C,1006","-0.6","C,0731","-2.3","C,0704","-4.4","C,0617","-6.8","C,0603","-9.7","C,0524","    9747.7","7","    9747.7","C","","","","","    -10.20","C","     -8.07","C","    -12.32","C"
"CA002400F63","2002","64.95","-63.5833","583.0","CAPE MERCY, NU CA","      0.0","","       0.0","C","","","","","","","","","       111","C","       317","C","       268","C","         0","C","         0","C","  -37.8","C,0219, ","","","","","   15.2","C,0728, ","-1.4","C,0821","-2.2","C,0822","-4.6","C,0906","-6.7","C,0930","-9.8","C,1004","-3.1","C,0724","-3.1","C,0724","-5.0","C,0612","-7.5","C,0530","-9.8","C,0524","   10255.9","9","   10255.9","C","","","","","     -9.95","C","     -7.83","C","    -12.07","C"
"CA002400F63","2003","64.95","-63.5833","583.0","CAPE MERCY, NU CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    9880.3","3","    9880.3"," ","","","","","","","","","",""
"CA002400F63","2004","64.95","-63.5833","583.0","CAPE MERCY, NU CA","      0.0","","       0.0","C","","","","","","","","","       127","C","       314","C","       257","C","         0","C","         0","C","  -37.0","C,0311, ","","","","","   16.4","C,0801, ","-0.1","C,0821","-3.3","C,0914","-4.7","C,0918","-8.6","C,0927","-9.4","C,1001","-2.1","C,0728","-2.2","C,0721","-4.7","C,0627","-7.8","C,0523","-12.7","C,0505","","","","","","","","","     -9.83","C","     -7.42","C","    -12.24","C"
"CA002400F63","2005","64.95","-63.5833","583.0","CAPE MERCY, NU CA","      0.0","","       0.0","C","","","","","","","","","       104","C","       308","C","       254","C","         0","C","         0","C","  -33.4","C,0208, ","","","","","   15.1","C,0716, ","-0.5","C,0804","-2.2","C,0902","-5.7","C,0918","-6.8","C,0926","-9.9","C,1006","-0.2","C,0721","-2.7","C,0705","-4.5","C,0703","-7.6","C,0529","-10.1","C,0514","    9982.9","9","    9982.9","C","","","","","     -8.70","C","     -6.33","C","    -11.07","C"
"CA002400F63","2006","64.95","-63.5833","583.0","CAPE MERCY, NU CA","","","","","         0","C","         0","C","         0","C","         0","C","","","","","","","","","","","","","     0"," ,C,1231,+","     0"," ,C,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","      0.0"," ,C","        0"," ,C","","","","","",""
"CA002400F63","2007","64.95","-63.5833","583.0","CAPE MERCY, NU CA","      0.0","","       0.0","C","","","","","","","","","       109","C","       302","C","       261","C","         0","C","         0","C","  -36.0","C,0313, ","","","","","   12.8","C,0803, ","-0.3","C,0814","-2.3","C,0906","-4.9","C,0918","-7.1","C,1008","-9.8","C,1016","-0.1","C,0727","-2.2","C,0624","-4.5","C,0617","-7.0","C,0605","-9.1","C,0529","","","","","","","","","     -9.33","C","     -6.93","C","    -11.74","C"
"CA002400F63","2008","64.95","-63.5833","583.0","CAPE MERCY, NU CA","      0.0","","       0.0","C","","","","","","","","","       127","C","       311","C","       252","C","         0","C","         0","C","  -38.7","C,0207, ","","","","","   16.6","C,0716, ","-1.1","C,0814","-2.5","C,0821","-4.7","C,0915","-6.9","C,0929","-10.3","C,1011","-0.6","C,0711","-4.0","C,0704","-5.1","C,0603","-6.7","C,0526","-9.4","C,0514","   10165.1","1","   10165.1","C","","","","","     -9.69","C","     -7.38","C","    -12.00","C"
