"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES"
"RPW00041227","1945","14.6","121.0","4.3","MANILA NF, RP","        13"," ","        23"," "
"RPW00041227","1946","14.6","121.0","4.3","MANILA NF, RP","         4"," ","",""
