"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"FMC00914808","1994","9.6333","138.1667","9.1","RUMUNG, FM FM","       234","0","       170","0","        30","0","        0","","         0","0","         1"," ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 138.2"," ,0,0829, ","   2643.4"," ,0","        0"," ,0"
"FMC00914808","1995","9.6333","138.1667","9.1","RUMUNG, FM FM","       241","0","       202","0","        29","0","        0","","         0","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  70.4"," ,0,1220, ","   2743.2"," ,0","        0"," ,0"
"FMC00914808","1996","9.6333","138.1667","9.1","RUMUNG, FM FM","       247","0","       213","0","        37","0","        0","","         0","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 111.8"," ,0,0813, ","   3359.2"," ,0","        0"," ,0"
"FMC00914808","1997","9.6333","138.1667","9.1","RUMUNG, FM FM","       262","0","       150","0","        25","0","        0","","         0","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 124.5"," ,0,1020, ","   2236.9"," ,0","        0"," ,0"
"FMC00914808","1999","9.6333","138.1667","9.1","RUMUNG, FM FM","       271","0","       200","0","        27","0","        0","","         0","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 102.1"," ,0,0530, ","   3049.5"," ,0","        0"," ,0"
"FMC00914808","2000","9.6333","138.1667","9.1","RUMUNG, FM FM","       280","0","       217","0","        43","0","        0","","         0","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 114.3"," ,0,0528, ","   3729.2"," ,0","        0"," ,0"
"FMC00914808","2001","9.6333","138.1667","9.1","RUMUNG, FM FM","       257","0","       180","0","        32","0","        0","","         0","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  98.6"," ,0,0701, ","   2939.4"," ,0","        0"," ,0"
"FMC00914808","2002","9.6333","138.1667","9.1","RUMUNG, FM FM","       263","0","       185","0","        40","0","        0","","         0","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 201.4"," ,0,0812, ","   3452.2"," ,0","        0"," ,0"
"FMC00914808","2004","9.6333","138.1667","9.1","RUMUNG, FM FM","       235","0","       157","0","        27","0","        0","","         0","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 106.7"," ,0,1201, ","   2443.7"," ,0","        0"," ,0"
"FMC00914808","2006","9.6333","138.1667","9.1","RUMUNG, FM FM","       252","0","       187","0","        50","0","        0","","         0","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 125.7"," ,0,1228, ","   3506.9"," ,0","        0"," ,0"
"FMC00914808","2007","9.6333","138.1667","9.1","RUMUNG, FM FM","       266","0","       195","0","        36","0","        0","","         0","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 104.4"," ,0,0405, ","   3295.2"," ,0","        0"," ,0"
"FMC00914808","2009","9.6333","138.1667","9.1","RUMUNG, FM FM","       246","0","       164","0","        34","0","        0","","         0","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 105.7"," ,0,0728, ","   2853.1"," ,0","        0"," ,0"
"FMC00914808","2011","9.6333","138.1667","9.1","RUMUNG, FM FM","       282","K","       208","K","        50","K","","","","","","","","","",""," 114.6"," ,K,0413, ","   3744.5"," ,K","",""
"FMC00914808","2014","9.6333","138.1667","9.1","RUMUNG, FM FM","       254","7","       194","7","        39","7","","","","","","","","","",""," 147.1"," ,7,0930, ","   3645.2"," ,7","",""
"FMC00914808","2020","9.6333","138.1667","9.1","RUMUNG, FM FM","       209","7","       152","7","        28","7","","","","","","","","","",""," 135.4"," ,7,1021, ","   2588.8"," ,7","",""
"FMC00914808","2021","9.6333","138.1667","9.1","RUMUNG, FM FM","       248","7","       166","7","        24","7","","","","","","","","","","","  98.0"," ,7,0414, ","   2493.8"," ,7","",""
"FMC00914808","2022","9.6333","138.1667","9.1","RUMUNG, FM FM","       274","7","       184","7","        23","7","","","","","","","","","","","  98.8"," ,7,1026, ","   2424.1"," ,7","",""
"FMC00914808","2023","9.6333","138.1667","9.1","RUMUNG, FM FM","       242","7","       178","7","        43","7","","","","","","","","","",""," 125.0"," ,7,0722, ","   3494.1"," ,7","",""
"FMC00914808","2024","9.6333","138.1667","9.1","RUMUNG, FM FM","       220","7","       125","7","        37","7","","","","","","","","","",""," 152.7"," ,7,0129, ","   2797.5"," ,7","",""
