"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00143527","1894","38.8586","-99.3358","612.6","HAYS 1 S, KS US","    698.7","","     698.7","6","","","","","","","","","","","        21","6","       147","6","        21","6","       205","6","        73","6","","","","","  -30.0","6,0124, ","","","","","","","   42.2","6,0727, ","-1.1","6,0915","-3.3","6,0930","-8.3","6,1008","-8.3","6,1008","-9.4","6,1111","-0.6","6,0606","-6.7","6,0519","-6.7","6,0519","-6.7","6,0519","-10.6","6,0329","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     11.75","6","     20.97","6","      2.52","6"
"USC00143527","1896","38.8586","-99.3358","612.6","HAYS 1 S, KS US","","","","","","","","","","","","","","","         3","6","       139","6","        12","6","       182","6","        66","6","","","","","  -23.9","6,0103, ","","","","","","","   40.6","6,0815, ","-2.8","6,1011","-2.8","6,1011","-6.7","6,1106","-6.7","6,1106","-11.1","6,1119","0.0","6,0517","-5.6","6,0418","-5.6","6,0418","-7.2","6,0406","-11.7","6,0403","    3167.8","8","","","","","    3167.8","6","","","","","","","","","","","","","","","","","","","","","","","","","     12.77","6","     20.87","6","      4.66","6"
"USC00143527","1897","38.8586","-99.3358","612.6","HAYS 1 S, KS US","","","","","","","","","","","","","","","","","","","         9","6","       197","6","        77","6","","","","","","","","","","","","","   41.7","6,0729, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     21.43","6","",""
"USC00143527","1898","38.8586","-99.3358","612.6","HAYS 1 S, KS US","","","","","","","","","","","","","","","","","","","","","","","","","         2"," ","         3"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00143527","1899","38.8586","-99.3358","612.6","HAYS 1 S, KS US","","","","","","","","","","","","","","","         7","6","       138","6","        17","6","       196","6","        77","6","","","","","  -29.4","6,0204, ","","","","","","","   41.7","6,0827, ","0.0","6,0930","-2.2","6,1016","-9.4","6,1102","-9.4","6,1102","-9.4","6,1102","-0.6","6,0505","-3.9","6,0422","-5.6","6,0421","-6.7","6,0405","-9.4","6,0404","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     12.08","6","     20.22","6","      3.94","6"
"USC00143527","1900","38.8586","-99.3358","612.6","HAYS 1 S, KS US","    827.4","","     827.4","0","        38","0","        35","0","        11","0","        2","","         4","0","         2","0","       138","0","         9","0","       187","0","        81","0","         2"," ","         6"," ","  -22.2","0,1231, ","   178"," ,0,0227, ","   178"," ,0,0410,+","  57.2"," ,0,0416, ","   41.7","0,0628, ","-0.6","0,1008","-4.4","0,1108","-4.4","0,1108","-8.3","0,1113","-9.4","0,1114","-1.7","0,0414","-6.1","0,0413","-6.1","0,0413","-7.8","0,0412","-10.0","0,0315","    2547.0","0","","","","","    2547.0","0","","","","","","","","","","","","","","","","","","","","","    670.3"," ,0","      572"," ,0","     12.91","0","     21.18","0","      4.64","0"
"USC00143527","1901","38.8586","-99.3358","612.6","HAYS 1 S, KS US","","","","","","","","","","","","","","","","","","","","","","","","","","","         2"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00143527","1902","38.8586","-99.3358","612.6","HAYS 1 S, KS US","    616.7","","     616.7","0","        51","0","        50","0","         9","0","        0","","         9","0","        11","0","       135","0","        26","0","       181","0","        59","0","         1"," ","         7"," ","  -26.1","0,0201,+","     0"," ,0,1231,+","   305"," ,0,1214, "," 109.7"," ,0,0923, ","   42.2","0,0818, ","-3.9","0,1028","-3.9","0,1028","-8.9","0,1116","-8.9","0,1116","-8.9","0,1116","-1.1","0,0426","-3.9","0,0411","-5.6","0,0401","-6.7","0,0318","-16.1","0,0317","    2868.5","5","","","","","    2868.5","0","","","","","","","","","","","","","","","","","","","","","    874.5"," ,0","      736"," ,0","     11.63","0","     19.31","0","      3.95","0"
"USC00143527","1903","38.8586","-99.3358","612.6","HAYS 1 S, KS US","    501.8","","     501.8","0","        50","0","        46","0","        12","0","        0","","        11","0","         3","0","       159","0","        19","0","       178","0","        50","0","         6"," ","        16"," ","  -26.1","0,0216, ","     0","T,0,0327, ","   305"," ,0,0227, ","  66.5"," ,0,0817, ","   38.3","0,0721,+","0.0","0,0916","-2.2","0,1016","-5.0","0,1111","-11.1","0,1117","-11.1","0,1117","-1.1","0,0504","-3.9","0,0501","-6.1","0,0430","-9.4","0,0325","-9.4","0,0325","    3210.0","0","","","","","    3210.0","0","","","","","","","","","","","","","","","","","","","","","    810.8"," ,0","     1135"," ,0","     10.75","0","     18.62","0","      2.89","0"
"USC00143527","1904","38.8586","-99.3358","612.6","HAYS 1 S, KS US","","","","","","","","","","","        0","","         1","0","         6","0","       166","0","","","","","","","         1"," ","","","  -22.8","0,0128, ","     0"," ,0,1231,+","    25"," ,0,0123, ","","","","","-6.7","0,1025","-6.7","0,1025","-6.7","0,1025","-6.7","0,1025","-12.2","0,1126","0.0","0,0515","-2.2","0,0421","-5.6","0,0417","-7.2","0,0402","-11.7","0,0326","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","       25"," ,0","","","","","      2.04","0"
