"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00513078","1954","20.0","-155.66667","812.3","WAIMEA KOHALA AIRPORT, HI US","    338.7","","     338.7","0","       116","0","        28","0","         3","0","        0","","         0","0","         0","0","         0","0","         0","0","       319","0","         1","0","         1"," ","    5.0","0,0108, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 161.3"," ,0,1211, ","   32.2","0,0427, ","","","","","    508.4"," ,0","        0"," ,0","     18.32","0","     23.28","0","     13.36","0"
"USC00513078","1955","20.0","-155.66667","812.3","WAIMEA KOHALA AIRPORT, HI US","     32.0","","      32.0","0","        81","0","        24","0","         2","0","        0","","         0","0","         0","0","         0","0","         0","0","       280","0","         0","0","","","    6.1","0,0318,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  30.5"," ,0,1220, ","   26.7","0,1110,+","     488.5","5","     488.5","0","    340.6"," ,0","        0"," ,0","     16.89","0","     21.84","0","     11.94","0"
"USC00513078","1956","20.0","-155.66667","812.3","WAIMEA KOHALA AIRPORT, HI US","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","     375.4","4","     375.4","0","    605.3"," ,0","        0"," ,0","","","","","",""
"USC00513078","1957","20.0","-155.66667","812.3","WAIMEA KOHALA AIRPORT, HI US","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","    411.7"," ,0","        0"," ,0","","","","","",""
"USC00513078","1958","20.0","-155.66667","812.3","WAIMEA KOHALA AIRPORT, HI US","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","    498.1"," ,0","        0"," ,0","","","","","",""
"USC00513078","1959","20.0","-155.66667","812.3","WAIMEA KOHALA AIRPORT, HI US","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","         3"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","     370.0","0","     370.0"," ","    531.7"," ,0","        0"," ,0","","","","","",""
"USC00513078","1960","20.0","-155.66667","812.3","WAIMEA KOHALA AIRPORT, HI US","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","         9"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","    356.5"," ,0","        0"," ,0","","","","","",""
"USC00513078","1961","20.0","-155.66667","812.3","WAIMEA KOHALA AIRPORT, HI US","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","         8"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","    285.5"," ,0","        0"," ,0","","","","","",""
"USC00513078","1962","20.0","-155.66667","812.3","WAIMEA KOHALA AIRPORT, HI US","    117.1","","     117.1","0","       107","0","        23","0","         1","0","        0","","         0","0","         0","0","         0","0","         0","0","       339","0","         0","0","         2"," ","    3.3","0,0222, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  32.0"," ,0,0119, ","   27.2","0,0910, ","","","","","    274.3"," ,0","        0"," ,0","     17.58","0","     23.52","0","     11.63","0"
"USC00513078","1963","20.0","-155.66667","812.3","WAIMEA KOHALA AIRPORT, HI US","    189.1","","     189.1","0","       136","0","        36","0","         3","0","        0","","         0","0","         0","0","         0","0","         0","0","       346","0","         0","0","","","    4.4","0,0118,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  98.0"," ,0,0117, ","   27.8","0,0706, ","     378.8","8","     378.8","0","    486.6"," ,0","        0"," ,0","     17.83","0","     23.68","0","     11.99","0"
"USC00513078","1964","20.0","-155.66667","812.3","WAIMEA KOHALA AIRPORT, HI US","    139.9","","     139.9","0","       121","0","        32","0","         5","0","        0","","         0","0","         0","0","         0","0","         0","0","       327","0","         0","0","","","    5.0","0,0218, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  44.7"," ,0,0325, ","   27.8","0,0604, ","     428.6","6","     428.6","0","    486.4"," ,0","        0"," ,0","     17.62","0","     22.85","0","     12.40","0"
"USC00513078","1965","20.0","-155.66667","812.3","WAIMEA KOHALA AIRPORT, HI US","","","","","       130","0","        48","0","         4","0","        0","","         0","0","","","","","         0","0","       296","0","         0","0","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  58.9"," ,0,0216, ","   27.8","0,1008,+","     483.8","8","     483.8","0","    632.4"," ,0","        0"," ,0","","","     22.75","0","",""
"USC00513078","1966","20.0","-155.66667","812.3","WAIMEA KOHALA AIRPORT, HI US","    272.8","","     272.8","0","       147","0","        39","0","         0","0","        0","","         0","0","         0","0","         0","0","         0","0","       306","0","         0","0","","","    4.4","0,0123, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  24.1"," ,0,0208, ","   27.8","0,0522, ","","","","","    338.3"," ,0","        0"," ,0","     18.18","0","     22.90","0","     13.46","0"
"USC00513078","1967","20.0","-155.66667","812.3","WAIMEA KOHALA AIRPORT, HI US","    278.5","","     278.5","0","       160","0","        59","0","         3","0","        0","","         0","0","         0","0","         0","0","         0","0","       316","0","         0","0","","","    6.7","0,0107, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  66.0"," ,0,0112, ","   26.7","0,1009,+","     254.8","8","     254.8","0","    665.0"," ,0","        0"," ,0","     18.26","0","     22.96","0","     13.56","0"
"USC00513078","1968","20.0","-155.66667","812.3","WAIMEA KOHALA AIRPORT, HI US","    149.4","","     149.4","0","       120","0","        66","0","         6","0","        0","","         0","0","         0","0","         0","0","         0","0","       328","0","         0","0","","","    3.9","0,0202, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 108.7"," ,0,0421, ","   28.3","0,1003, ","     402.8","8","     402.8","0","    908.5"," ,0","        0"," ,0","     17.58","0","     23.80","0","     11.37","0"
"USC00513078","1969","20.0","-155.66667","812.3","WAIMEA KOHALA AIRPORT, HI US","    120.8","","     120.8","0","       128","0","        44","0","         2","0","        0","","         0","0","         0","0","         0","0","         0","0","       290","0","         0","0","","","    2.2","0,0225, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  41.9"," ,0,0109, ","   28.9","0,0311, ","     510.3","3","     510.3","0","    427.9"," ,0","        0"," ,0","     17.08","0","     22.94","0","     11.22","0"
