"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00261371","1989","36.1413","-114.7275","387.1","CALLVILLE BAY, NV US","","","","","","","","","","","","","","","","","","","","","","","","","         4"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00261371","1991","36.1413","-114.7275","387.1","CALLVILLE BAY, NV US","","","","","        22","0","        17","0","         0","0","        0","","         0","0","","","","","         0","0","       262","0","       151","0","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  15.2"," ,0,0228, ","   47.8","0,0704, ","","","","","","","","","","","","","","","    143.7"," ,0","        0"," ,0","","","     28.73","0","",""
"USC00261371","1992","36.1413","-114.7275","387.1","CALLVILLE BAY, NV US","","","","","        38","0","        24","0","         1","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  28.7"," ,0,0213, ","","","","","","","","","","","","","","","","","    301.2"," ,0","        0"," ,0","","","","","",""
"USC00261371","1993","36.1413","-114.7275","387.1","CALLVILLE BAY, NV US","   1884.6","","    1884.6","0","        30","0","        16","0","         2","0","        0","","         0","0","         0","0","        11","0","         0","0","       256","0","       161","0","","","   -2.2","0,1221,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  28.4"," ,0,0220,+","   47.2","0,0803, ","-1.7","0,1126","-2.2","0,1127","","","-1.1","0,0106","-2.2","0,0105","     974.3","3","     974.3","0","    196.4"," ,0","        0"," ,0","     20.81","0","     28.73","0","     12.89","0"
"USC00261371","1994","36.1413","-114.7275","387.1","CALLVILLE BAY, NV US","   2187.0","","    2187.0","0","        23","0","        11","0","         0","0","        0","","         0","0","         0","0","        11","0","         0","0","       267","0","       162","0","","","   -2.2","0,1209, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  15.2"," ,0,0819, ","   49.4","0,0701,+","0.0","0,1121","-2.2","0,1209","","","-0.6","0,0202","","","     967.8","8","     967.8","0","    100.3"," ,0","        0"," ,0","     21.84","0","     29.92","0","     13.75","0"
"USC00261371","1995","36.1413","-114.7275","387.1","CALLVILLE BAY, NV US","   2048.5","","    2048.5","0","        27","0","        12","0","         1","0","        0","","         0","0","         0","0","         1","0","         0","0","       288","0","       154","0","","","    0.0","0,1227, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  25.4"," ,0,0105, ","   48.9","0,0730, ","0.0","0,1227","","","","","","","","","     864.4","4","     864.4","0","    107.2"," ,0","        0"," ,0","     21.88","0","     29.66","0","     14.10","0"
"USC00261371","1996","36.1413","-114.7275","387.1","CALLVILLE BAY, NV US","   2262.2","","    2262.2","0","        15","0","         7","0","         0","0","        0","","         0","0","         0","0","         9","0","         0","0","       282","0","       173","0","","","   -2.2","0,1219, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  20.6"," ,0,0712, ","   47.2","0,0801,+","0.0","0,1204","-2.2","0,1219","","","-1.1","0,0227","","","     671.7","7","     671.7","0","     81.8"," ,0","        0"," ,0","     22.47","0","     30.40","0","     14.55","0"
"USC00261371","1997","36.1413","-114.7275","387.1","CALLVILLE BAY, NV US","   2156.9","","    2156.9","0","        22","0","        11","0","         1","0","        0","","         0","0","         0","0","        12","0","         0","0","       271","0","       171","0","","","   -2.2","0,1228,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  49.8"," ,0,0811, ","   46.1","0,0717, ","-1.1","0,1212","-2.2","0,1227","","","0.0","0,0119","","","     872.0","0","     872.0","0","    130.8"," ,0","        0"," ,0","     21.79","0","     29.59","0","     13.99","0"
"USC00261371","1998","36.1413","-114.7275","387.1","CALLVILLE BAY, NV US","   1839.9","","    1839.9","0","        46","0","        22","0","         0","0","","","         0","0","         0","0","        11","0","         0","0","       264","0","       138","0","","","   -4.4","0,1225,+","","","     0"," ,0,1231,+","  19.8"," ,0,0815, ","   49.4","0,0717, ","0.0","0,1208","-4.4","0,1221","-4.4","0,1221","0.0","0,0108","","","     992.3","3","     992.3","0","    174.7"," ,0","        0"," ,0","     20.94","0","     28.52","0","     13.36","0"
"USC00261371","1999","36.1413","-114.7275","387.1","CALLVILLE BAY, NV US","   1987.9","","    1987.9","0","        26","0","        16","0","         0","0","        0","","         0","0","         0","0","         3","0","         0","0","       294","0","       155","0","","","   -1.1","0,1216,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  12.7"," ,0,0430, ","   47.2","0,0723, ","-1.1","0,1215","","","","","0.0","0,0117","","","     760.4","4","     760.4","0","    105.3"," ,0","        0"," ,0","     21.75","0","     29.95","0","     13.55","0"
"USC00261371","2001","36.1413","-114.7275","387.1","CALLVILLE BAY, NV US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     954.9","9","     954.9","0","","","","","","","","","",""
"USC00261371","2003","36.1413","-114.7275","387.1","CALLVILLE BAY, NV US","   2196.4","","    2196.4","0","        26","0","        14","0","         1","0","        0","","         0","0","         0","0","        10","0","         0","0","       272","0","       163","0","","","   -2.8","0,0306, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  27.7"," ,0,0226, ","   49.4","0,0711, ","-1.1","0,1217","-2.2","0,1228","","","-0.6","0,0307","-2.8","0,0306","","","","","    137.3"," ,0","        0"," ,0","     22.53","0","     30.67","0","     14.39","0"
"USC00261371","2004","36.1413","-114.7275","387.1","CALLVILLE BAY, NV US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     778.7","7","     778.7","0","","","","","","","","","",""
"USC00261371","2006","36.1413","-114.7275","387.1","CALLVILLE BAY, NV US","","","","","        18","0","         9","0","         1","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  25.9"," ,0,0320, ","","","","","","","","","","","","","","","","","    113.2"," ,0","        0"," ,0","","","","","",""
"USC00261371","2007","36.1413","-114.7275","387.1","CALLVILLE BAY, NV US","","","","","","","","","","","","","","","","","","","","","","","","","         1"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
