"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00347570","2010","35.12278","-99.36","538.0","RETROP 2 S MESONET, OK US","   1246.8","","    1246.8","0","        0","","         0","0","         0","0","        91","0","         8","0","       213","0","        98","0","  -15.0","0,0108, ","     0"," ,0,1231,+","     0"," ,0,1231,+","   40.6","0,0823,+","-1.1","0,1105","-2.2","0,1118","-5.6","0,1125","-6.7","0,1206","-10.0","0,1226","-1.1","0,0408","-3.9","0,0322","-4.4","0,0321","-7.8","0,0224","-10.6","0,0130","    2274.3","3","","","    2274.3","0","","","","","","","","","","","","","        0"," ,0","     15.94","0","     22.64","0","      9.23","0"
"USC00347570","2011","35.12278","-99.36","538.0","RETROP 2 S MESONET, OK US","   1594.8","","    1594.8","K","","","","","         2","K","        81","K","        10","K","       226","K","       121","K","  -18.9","K,0210, ","","","","","   43.3","K,0805,+","-1.1","K,1103","-3.9","K,1117","-6.1","K,1205","-7.2","K,1206","-8.9","K,1207","-1.1","K,0330","-3.3","K,0309","-5.0","K,0222","-10.0","K,0211","-10.0","K,0211","    1944.5","5","","","    1944.5","K","","","","","","","","","","","    394.6"," ,K","","","     17.19","K","     24.65","K","      9.73","K"
"USC00347570","2012","35.12278","-99.36","538.0","RETROP 2 S MESONET, OK US","   1370.2","","    1370.2","7","","","","","         0","7","        70","7","         5","7","       230","7","       116","7","  -12.8","7,1226, ","","","","","   43.9","7,0803,+","-0.6","7,1008","-3.9","7,1027","-5.6","7,1127","-10.0","7,1210","-10.0","7,1210","-3.3","K,0304","-3.3","K,0304","-7.2","K,0212","-7.2","K,0212","","","    1693.3","3","","","    1693.3","7","","","","","","","","","","","","","","","     17.56","7","     24.75","7","     10.37","7"
"USC00347570","2013","35.12278","-99.36","538.0","RETROP 2 S MESONET, OK US","   1195.5","","    1195.5","7","","","","","         0","7","       100","7","        11","7","       204","7","        95","7","  -15.0","7,1207, ","","","","","   41.7","7,0627, ","-3.3","7,1112","-3.3","7,1112","-6.1","7,1113","-8.9","7,1205","-8.9","7,1205","-0.6","7,0503","-3.9","7,0424","-6.7","7,0326","-6.7","7,0326","-8.9","7,0201","    2047.7","7","","","    2047.7","7","","","","","","","","","","","","","","","     15.43","7","     22.37","7","      8.48","7"
"USC00347570","2014","35.12278","-99.36","538.0","RETROP 2 S MESONET, OK US","   1138.0","","    1138.0","7","","","","","         0","7","        90","7","        15","7","       214","7","        86","7","  -15.6","7,0303, ","","","","","   38.9","7,0825,+","-0.6","7,1101","-3.9","7,1111","-6.7","7,1112","-6.7","7,1112","-8.9","7,1117","-1.1","7,0415","-3.3","7,0325","-4.4","7,0317","-8.3","7,0304","-15.6","7,0303","    2276.5","5","      28.3","7,3,2","    2276.5","7","      35.6","7,3,2","       0.6","7,3,2","       0.6","7,3,2","      14.9","7,3,2","      20.0","7,3,2","","","","","     15.45","7","     22.36","7","      8.54","7"
