"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CSM00078762","2018","9.994","-84.209","920.8","JUAN SANTAMARIA INTERNATIONAL, CS","   1792.4","","    1792.4","S","         0","S","         0","S","         0","S","       336","S","         3","S","   11.7","S,0804, ","   32.9","S,0425,+","","","","","     23.68","S","     29.05","S","     18.30","S"
"CSM00078762","2019","9.994","-84.209","920.8","JUAN SANTAMARIA INTERNATIONAL, CS","","","","","","","","","","","","","","","","","","","       0.0","0","       0.0","S","","","","","",""
"CSM00078762","2020","9.994","-84.209","920.8","JUAN SANTAMARIA INTERNATIONAL, CS","   1885.0","","    1885.0","S","         0","S","         0","S","         0","S","       335","S","        12","S","   15.9","S,0901,+","   34.0","S,0406, ","","","","","     23.97","S","     29.21","S","     18.73","S"
