"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"SPE00120251","1960","41.6183","0.6217","191.0","LLEIDA OBSERVATORIO, SP","        87","E","        41","E","         7","E","         0"," ","        28","E","  -10.6","E,0112, ","  43.1"," ,E,1003, ","0.0","E,1130","-3.0","E,1213","","","","","","","0.0","E,0209","-2.2","E,0131","-6.8","E,0117","-6.8","E,0117","-10.6","E,0112","    554.0"," ,E","      9.20","E"
"SPE00120251","1961","41.6183","0.6217","191.0","LLEIDA OBSERVATORIO, SP","        56","E","        27","E","         0","E","         0"," ","        24","E","   -6.2","E,1220, ","  20.8"," ,E,0919, ","-0.2","E,1202","-3.2","E,1219","-6.2","E,1220","","","","","-0.4","E,0220","-4.8","E,0118","-4.8","E,0118","","","","","    268.1"," ,E","      9.76","E"
"SPE00120251","1962","41.6183","0.6217","191.0","LLEIDA OBSERVATORIO, SP","        74","E","        37","E","         2","E","         0"," ","        37","E","  -14.6","E,1227, ","  28.8"," ,E,1014, ","-2.2","E,1115","-2.2","E,1115","-5.8","E,1224","-7.0","E,1225","-11.6","E,1226","-0.6","E,0323","-3.2","E,0216","","","","","","","    355.1"," ,E","      9.17","E"
"SPE00120251","1963","41.6183","0.6217","191.0","LLEIDA OBSERVATORIO, SP","        94","E","        49","E","         1","E","         0"," ","        43","E","  -11.6","E,0206, ","  30.3"," ,E,0913, ","-0.2","E,1214","-3.6","E,1215","-6.0","E,1216","-11.2","E,1217","-11.2","E,1217","-0.6","E,0325","-11.6","E,0206","-11.6","E,0206","-11.6","E,0206","-11.6","E,0206","    391.9"," ,E","      8.52","E"
"SPE00120251","1964","41.6183","0.6217","191.0","LLEIDA OBSERVATORIO, SP","","","","","","","         0"," ","        43","E","   -4.4","E,0212, ","","","-0.8","E,1206","-2.2","E,1214","","","","","","","-0.6","E,0310","-3.2","E,0309","-4.4","E,0212","","","","","","","      9.34","E"
"SPE00120251","1965","41.6183","0.6217","191.0","LLEIDA OBSERVATORIO, SP","","","","","","","         0"," ","        45","E","   -6.2","E,0106, ","","","-2.8","E,1124","-2.8","E,1124","","","","","","","-2.0","E,0309","-3.2","E,0221","-6.0","E,0220","","","","","","","      8.92","E"
"SPE00120251","1966","41.6183","0.6217","191.0","LLEIDA OBSERVATORIO, SP","","","","","","","         0"," ","        30","E","   -4.2","E,1222, ","","","-0.4","E,1031","-2.4","E,1120","","","","","","","-0.2","E,0321","-2.8","E,0113","","","","","","","","","      9.27","E"
"SPE00120251","1967","41.6183","0.6217","191.0","LLEIDA OBSERVATORIO, SP","        54","E","        31","E","         2","E","         0"," ","        40","E","   -4.8","E,1213, ","  39.2"," ,E,1023, ","-1.6","E,1206","-3.0","E,1211","-4.6","E,1212","","","","","-1.6","E,0402","-2.6","E,0210","","","","","","","    358.6"," ,E","      9.03","E"
"SPE00120251","1968","41.6183","0.6217","191.0","LLEIDA OBSERVATORIO, SP","        75","E","        36","E","         1","E","         0"," ","        31","E","   -4.6","E,0124, ","  34.0"," ,E,0810, ","0.0","E,1213","-3.2","E,1229","","","","","","","0.0","E,0317","-2.8","E,0205","-4.6","E,0124","","","","","    364.2"," ,E","      9.58","E"
"SPE00120251","1969","41.6183","0.6217","191.0","LLEIDA OBSERVATORIO, SP","        84","E","        53","E","         3","E","         0"," ","        41","E","   -5.0","E,1211,+","  40.7"," ,E,1019, ","-1.0","E,1117","-3.2","E,1120","-4.4","E,1129","","","","","-0.4","E,0330","-2.2","E,0217","-4.8","E,0102","","","","","    524.0"," ,E","      8.67","E"
