"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UKW00015034","1950","52.35","-0.11667","40.2","WYTON, UK","","","","","","","","","","","","","","","","","        73"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UKW00015034","1951","52.35","-0.11667","40.2","WYTON, UK","     14.7","","      14.7","X","        0","","         0","X","        48","X","         1","X","        45","X","         0","X","       237"," ","         9"," ","   -8.9","X,1213, ","     0","T,X,0103,+","   26.1","X,0719, ","0.0","X,1023","-2.2","X,1025","-8.9","X,1213","-8.9","X,1213","-8.9","X,1213","-0.6","X,0430","-2.8","X,0422","-4.4","X,0128","      9.45","X","     13.17","X","      5.73","X"
