"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"IDM00097722","1996","-3.35","128.883","10.0","AMAHAI, ID","         0"," ","         0","S","","","","","","","   17.2","S,0904, ","","","","","     20.21","S"
"IDM00097722","2010","-3.35","128.883","10.0","AMAHAI, ID","","","","","         0","S","       330","S","        84","S","","","   35.2","S,0301, ","     31.06","S","",""
"IDM00097722","2012","-3.35","128.883","10.0","AMAHAI, ID","","","","","         0","S","       333","S","        48","S","","","   34.9","S,0129, ","     30.25","S","",""
"IDM00097722","2022","-3.35","128.883","10.0","AMAHAI, ID","","","","","         0","S","       354","S","        29","S","","","   33.8","S,0202,+","     30.41","S","",""
