"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"CA00407N51G","1998","53.3333","-104.0","372.0","NIPAWIN, SK CA","     82.5","","      82.5","C","","","","","","","","","","","        58","C","       195","C","       111","C","       102","C","         2","C","  -37.6","C,0113, ","","","","","","","   33.5","C,0806, ","-0.7","C,0921","-2.6","C,1001","-8.3","C,1031","-8.3","C,1031","-8.9","C,1110","0.0","C,0606","-5.1","C,0507","-5.1","C,0507","-7.1","C,0419","-10.1","C,0323","    5430.2","2","    5430.2","C","","","","","      2.48","C","      8.40","C","     -3.45","C","","","",""
"CA00407N51G","1999","53.3333","-104.0","372.0","NIPAWIN, SK CA","     52.4","","      52.4","C","","","","","","","","","","","        55","C","       206","C","        98","C","        72","C","         1","C","  -37.3","C,0112, ","","","","","","","   33.7","C,0825, ","-0.1","C,0910","-8.2","C,1002","-8.2","C,1002","-8.2","C,1002","-8.9","C,1003","0.0","C,0518","-3.1","C,0508","-4.9","C,0416","-6.8","C,0401","-10.6","C,0324","    5894.2","2","    5894.2","C","","","","","      2.31","C","      8.41","C","     -3.79","C","","","",""
"CA00407N51G","2000","53.3333","-104.0","372.0","NIPAWIN, SK CA","     58.1","","      58.1","C","","","","","","","","","","","        81","C","       213","C","       117","C","        71","C","         2","C","  -40.8","C,0119, ","","","","","","","   32.8","C,0729, ","-0.8","C,0831","-3.4","C,0922","-7.0","C,1005","-7.0","C,1005","-12.2","C,1007","-3.8","C,0517","-3.8","C,0517","-5.1","C,0513","-11.2","C,0415","-11.2","C,0415","    6093.4","4","    6093.4","C","","","","","      0.56","C","      6.67","C","     -5.56","C","","","",""
"CA00407N51G","2001","53.3333","-104.0","372.0","NIPAWIN, SK CA","     61.5","","      61.5","C","","","","","","","","","","","        58","C","       207","C","       110","C","        98","C","         2","C","  -40.6","C,0210, ","","","","","","","   34.1","C,0804, ","-1.2","C,0921","-5.1","C,0923","-5.1","C,0923","-9.2","C,1006","-9.2","C,1006","-0.3","C,0523","-3.7","C,0510","-7.0","C,0422","-7.0","C,0422","-12.7","C,0421","    6339.5","5","    6339.5","C","","","","","      2.34","C","      8.87","C","     -4.20","C","","","",""
"CA00407N51G","2002","53.3333","-104.0","372.0","NIPAWIN, SK CA","    117.1","","     117.1","C","","","","","","","","","","","        73","C","       236","C","       141","C","        85","C","         7","C","  -44.6","C,0128, ","","","","","","","   35.1","C,0713,+","0.0","C,0922","-4.7","C,0924","-4.7","C,0924","-7.5","C,0928","-9.1","C,1013","-1.3","C,0524","-4.7","C,0523","-4.7","C,0523","-7.8","C,0507","-9.3","C,0505","    6412.1","1","    6412.1","C","","","","","      0.41","C","      6.63","C","     -5.82","C","","","",""
"CA00407N51G","2003","53.3333","-104.0","372.0","NIPAWIN, SK CA","    115.7","","     115.7","C","","","","","","","","","","","        82","C","       193","C","       133","C","       108","C","         8","C","  -41.4","C,0123,+","","","","","","","   36.7","C,0816, ","0.0","C,0914","-2.2","C,0929","-4.6","C,0930","-9.3","C,1030","-9.3","C,1030","-0.4","C,0519","-2.3","C,0511","-6.1","C,0429","-8.3","C,0406","-12.1","C,0405","    6522.7","7","    6522.7","C","","","","","      0.93","C","      7.28","C","     -5.43","C","","","",""
"CA00407N51G","2004","53.3333","-104.0","372.0","NIPAWIN, SK CA","     17.7","","      17.7","C","       126","C","        55","C","         1","C","      141","","","","        79","C","       224","C","       123","C","        47","C","         0","C","  -47.0","C,0129, ","   290"," ,C,0228, ","","","  41.8"," ,C,0714, ","   29.2","C,0628, ","-1.2","C,0911","-3.4","C,1001","-5.6","C,1002","-7.0","C,1004","-12.9","C,1108","-2.8","C,0526","-2.8","C,0526","-5.1","C,0516","-7.8","C,0510","-11.6","C,0330","    6556.7","7","    6556.7","C","    511.3"," ,C","","","     -0.28","C","      5.61","C","     -6.16","C","","","",""
"CA00407N51G","2005","53.3333","-104.0","372.0","NIPAWIN, SK CA","     33.9","","      33.9","C","       106","C","        38","C","         4","C","","","         8","C","        69","C","       217","C","       100","C","        69","C","         0","C","  -41.1","C,0116, ","","","   140"," ,C,1213, ","  36.6"," ,C,0910, ","   30.7","C,0805,+","-2.5","C,0914","-2.5","C,0914","-9.2","C,1003","-9.2","C,1003","-9.2","C,1003","-1.8","C,0515","-3.5","C,0514","-11.5","C,0511","-11.5","C,0511","-11.5","C,0511","    6519.2","2","    6519.2","C","    452.1"," ,C","      829"," ,C","      1.60","C","      8.18","C","     -4.97","C","","","",""
"CA00407N51G","2006","53.3333","-104.0","372.0","NIPAWIN, SK CA","     49.0","","      49.0","C","","","","","","","","","","","        67","C","       200","C","       127","C","        98","C","         0","C","  -37.4","C,0216, ","","","","","","","   31.8","C,0522, ","-1.3","C,0908","-3.3","C,1004","-5.7","C,1011","-7.0","C,1015","-10.1","C,1021","-2.3","C,0520","-2.3","C,0520","-4.8","C,0511","-11.9","C,0407","-11.9","C,0407","    5747.7","7","    5747.7","C","","","","","      1.91","C","      8.23","C","     -4.40","C","","","",""
"CA00407N51G","2007","53.3333","-104.0","372.0","NIPAWIN, SK CA","     66.7","","      66.7","C","","","","","","","","","","","        87","C","       202","C","       129","C","        73","C","         1","C","  -38.1","C,0205, ","","","","","","","   32.2","C,0730, ","-2.9","C,0911","-2.9","C,0911","-6.2","C,1005","-9.9","C,1027","-9.9","C,1027","-2.7","C,0525","-2.7","C,0525","-10.4","C,0519","-10.4","C,0519","-10.4","C,0519","    6335.4","4","    6335.4","C","","","","","      0.48","C","      6.53","C","     -5.57","C","","","",""
