"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00293951","1914","33.16667","-107.73333","2011.7","HERMOSA, NM US","    620.6","","     620.6","6","        51","6","        36","6","         4","6","        10","6","         0","6","       140","6","         1","6","       203","6","        59","6","         1"," ","  -15.6","6,0312, ","   203"," ,6,0311, ","  63.5"," ,6,0702, ","   36.7","6,0816,+","0.0","6,1013","-2.2","6,1015","-6.7","6,1114","-6.7","6,1114","-10.0","6,1119","-1.1","6,0503","-2.2","6,0502","-4.4","6,0413","-6.7","6,0323","-10.6","6,0316","","","","","    509.8"," ,6","      749"," ,6","     13.07","6","     21.10","6","      5.04","6"
"USC00293951","1915","33.16667","-107.73333","2011.7","HERMOSA, NM US","    140.4","","     140.4","6","        51","6","        44","6","         2","6","","","         2","6","       172","6","         0","6","       174","6","        25","6","         3"," ","  -20.6","6,1228,+","","","  50.0"," ,6,0721, ","   35.0","6,0710,+","0.0","6,0927","-2.8","6,1006","-5.0","6,1026","-11.1","6,1111","-11.1","6,1111","-0.6","6,0521","-3.3","6,0508","-5.0","6,0402","-10.0","6,0322","-10.0","6,0322","    2899.5","5","    2899.5","6","    471.6"," ,6","","","     10.10","6","     19.20","6","      1.00","6"
"USC00293951","1916","33.16667","-107.73333","2011.7","HERMOSA, NM US","     50.7","","      50.7","6","        56","6","        41","6","         5","6","         6","6","         0","6","       151","6","         4","6","       124","6","         1","6","         7"," ","  -17.2","6,0201, ","   152"," ,6,0120, ","  74.4"," ,6,1013, ","   32.2","6,0704, ","-1.7","6,1016","-3.9","6,1020","-6.1","6,1026","-9.4","6,1109","-9.4","6,1109","-0.6","6,0517","-3.9","6,0516","-6.1","6,0409","-7.2","6,0408","-9.4","6,0223","    2977.8","8","    2977.8","6","    535.2"," ,6","      508"," ,6","      9.68","6","     17.38","6","      2.00","6"
"USC00293951","1917","33.16667","-107.73333","2011.7","HERMOSA, NM US","     71.0","","      71.0","6","        50","6","        30","6","         0","6","         6","6","         0","6","       189","6","         0","6","       123","6","         1","6","","","  -15.0","6,0304, ","   102"," ,6,0218, ","  21.6"," ,6,0120, ","   32.8","6,0725, ","0.0","6,0927","-5.0","6,1019","-5.0","6,1019","-7.8","6,1020","-9.4","6,1030","-1.1","6,0602","-2.2","6,0530","-6.1","6,0507","-10.6","6,0405","-10.6","6,0405","    3655.4","4","    3655.4","6","    237.0"," ,6","      355"," ,6","      8.71","6","     17.05","6","      0.37","6"
"USC00293951","1918","33.16667","-107.73333","2011.7","HERMOSA, NM US","     29.6","","      29.6","6","        65","6","        44","6","         4","6","        14","6","        11","6","       158","6","        15","6","       114","6","         0","6","         2"," ","  -28.9","6,1224, ","   610"," ,6,1222, ","  38.9"," ,6,0822, ","   30.6","6,0801,+","-0.6","6,0928","-6.1","6,1027","-6.1","6,1027","-10.6","6,1108","-10.6","6,1108","0.0","6,0602","-3.9","6,0513","-6.1","6,0421","-9.4","6,0406","-9.4","6,0406","    3406.6","6","    3406.6","6","    454.2"," ,6","     2005"," ,6","      8.21","6","     15.68","6","      0.75","6"
"USC00293951","1919","33.16667","-107.73333","2011.7","HERMOSA, NM US","     74.3","","      74.3","6","        60","6","        48","6","         3","6","         6","6","         2","6","       168","6","         3","6","       149","6","         6","6","","","  -20.6","6,0103, ","    76"," ,6,1128, ","  35.1"," ,6,0806, ","   33.9","6,0624, ","-2.8","6,1008","-2.8","6,1008","-5.0","6,1028","-12.2","6,1101","-12.2","6,1101","-0.6","6,0605","-3.9","6,0603","-7.2","6,0417","-7.2","6,0417","-10.6","6,0318","    3801.2","2","    3801.2","6","    473.7"," ,6","      201"," ,6","      8.91","6","     17.40","6","      0.43","6"
"USC00293951","1920","33.16667","-107.73333","2011.7","HERMOSA, NM US","     82.6","","      82.6","6","        58","6","        46","6","         4","6","         9","6","         3","6","       181","6","         4","6","       158","6","         7","6","         2"," ","  -23.3","6,0115, ","   762"," ,6,1025, ","  56.1"," ,6,1025, ","   33.9","6,0705,+","0.0","6,1008","-2.2","6,1011","-6.1","6,1015","-9.4","6,1021","-9.4","6,1021","0.0","6,0517","-2.8","6,0515","-5.0","6,0506","-9.4","6,0427","-9.4","6,0427","    3201.6","6","    3201.6","6","    496.0"," ,6","     2057"," ,6","      9.20","6","     18.21","6","      0.20","6"
"USC00293951","1921","33.16667","-107.73333","2011.7","HERMOSA, NM US","     65.6","","      65.6","6","        64","6","        47","6","         1","6","         3","6","         0","6","       166","6","         1","6","       178","6","         4","6","","","  -17.2","6,0209,+","   127"," ,6,1206, ","  40.1"," ,6,0708, ","   35.0","6,0701, ","-1.1","6,1018","-2.8","6,1021","-5.0","6,1026","-7.2","6,1029","-10.6","6,1111","-1.1","6,0512","-2.2","6,0505","-6.1","6,0428","-10.6","6,0426","-10.6","6,0426","    3332.3","3","    3332.3","6","    430.8"," ,6","      203"," ,6","     10.20","6","     19.86","6","      0.53","6"
"USC00293951","1922","33.16667","-107.73333","2011.7","HERMOSA, NM US","    214.8","","     214.8","6","        45","6","        25","6","         0","6","         3","6","         3","6","       175","6","         2","6","       169","6","        34","6","","","  -18.9","6,1117, ","   203"," ,6,1117, ","  21.6"," ,6,1129, ","   36.1","6,0721,+","0.0","6,1008","-2.8","6,1016","-6.1","6,1023","-7.2","6,1025","-9.4","6,1031","0.0","6,0615","-5.0","6,0513","-5.0","6,0513","-7.2","6,0511","-12.2","6,0419","    3090.1","1","    3090.1","6","    218.1"," ,6","      355"," ,6","     10.12","6","     19.80","6","      0.44","6"
"USC00293951","1923","33.16667","-107.73333","2011.7","HERMOSA, NM US","     93.8","","      93.8","6","        64","6","        54","6","         2","6","         3","6","         6","6","       178","6","         6","6","       168","6","        14","6","","","  -30.6","6,1212, ","   152"," ,6,0203, ","  38.6"," ,6,0805, ","   35.0","6,0630, ","-1.1","6,0920","-2.2","6,0929","-5.0","6,1015","-7.2","6,1025","-9.4","6,1026","0.0","6,0528","-2.8","6,0503","-5.0","6,0409","-7.2","6,0330","-12.2","6,0324","    3108.5","5","    3108.5","6","    631.2"," ,6","     1523"," ,6","      9.26","6","     18.31","6","      0.21","6"
